name,size,about
AFRICAM R1A,1,"Training in expository, argumentative, and other styles of w
riting. The assignments will focus on themes and issues in A
frican American life and culture. Satisfies the first half o
f the Reading and Composition requirement."
AFRICAM R1AN,1,"To provide Summer Bridge students with training in expositor
y, argumentative, and other styles of writing. The assignmen
ts will focus on themes and issues in African American life 
and culture. Satisfies the first half of the Reading and Com
position requirement."
AFRICAM R1B,1,"Continued training in expository and argumentative writing, 
with more emphasis on literary interpretation. Satisfies the
 second half of the Reading and Composition requirement."
AFRICAM 4A,1,"Emphasis on pre-colonial social, cultural, political, and ec
onomic structures; introduction to art, literature, oral tra
ditions, and belief systems."
AFRICAM 4B,1,"Emphasis on social, political, and economic change in 20th c
entury Africa; with further emphasis upon the roles of moder
nization, urbanization, and the emergence of contemporary Af
rican states."
AFRICAM N4A,1,"Emphasis on pre-colonial social, cultural, political, and ec
onomic structures; introduction to art, literature, oral tra
ditions, and belief systems."
AFRICAM 5A,1,"A study of the genesis, development, and scope of African Am
erican culture, approached through an examination of selecte
d art forms, historical themes, and intellectual currents."
AFRICAM 5B,1,"Emphasis on the social experience of African Americans. An i
nterdisciplinary approach designed to help students understa
nd the forces and ideas that are influencing the individual 
and collective African American experience."
AFRICAM 7A,1,"This course introduces students to speaking, listening, read
ing, and writing in Wolof. Instruction is mixed English and 
Wolof. Emphasis is placed on developing student ability to c
reate and to communicate with basic Wolof structures and voc
abulary in culturally and socially appropriate context. Spea
king and listening abilities are developed through oral exer
cises, class discussions, and recordings available from Berk
eley Language Center. Reading"
AFRICAM 7B,1,"This course introduces students to speaking, listening, read
ing, and writing in Wolof. Instruction is mixed English and 
Wolof. Emphasis is placed on developing student ability to c
reate and to communicate with basic Wolof structures and voc
abulary in a culturally and socially appropriate context. Sp
eaking and listening abilities are developed through oral ex
ercises, class discussions, and recordings available from th
e Berkeley Language Center."
AFRICAM 8A,1,"This course reviews and expands students' knowledge of funda
mental structures from Elementary Wolof and appropriate cult
ural contexts of these structures in oral and written commun
ication. More grammar and vocabulary in a culturally and soc
ially appropriate context is developed. Speaking ability is 
expanded through oral exercises, individual reports, class d
iscussions, and recordings available at the Berkeley Languag
e Center. Writing and reading"
AFRICAM 8B,1,"This course reviews and expands students' knowledge of funda
mental structures from Elementary Wolof, and appropriate cul
tural contexts of these structures in oral and written commu
nication. More grammar and vocabulary in a culturally and so
cially appropriate context is developed. Speaking ability is
 expanded through oral exercises, individual reports, class 
discussions, and recordings available at the Berkeley Langua
ge Center. Writing and"
AFRICAM 9A,1,"This course reviews and expands students' knowledge from Int
ermediate Wolof. Oral and written communication will be pres
ented in appropriate cultural contexts. Developing oral lang
uage skills will be strongly emphasized as part of this cour
se and will be expanded through individual presentations, cl
ass discussions, and recordings available at the Berkeley La
nguage Center. Writing, grammar, vocabulary, and reading are
 expanded through compositions, written exercises"
AFRICAM 9B,1,"This course reviews and expands students' knowledge from Int
ermediate Wolof. Oral and written communication will be pres
ented in appropriate cultural contexts. Developing oral lang
uage skills will be strongly emphasized as part of this cour
se and will be expanded through individual presentations, cl
ass discussions, and recordings available at the Berkeley La
nguage Center. Writing, grammar, vocabulary and reading are 
expanded through compositions, written exercises"
AFRICAM 10A,1,"This course reviews and expands students' knowledge of funda
mental structures from Elementary Swahili and appropriate cu
ltural contexts of these structures in oral and written comm
unication. More grammar and vocabulary in a culturally and s
ocially appropriate context is developed. Speaking ability i
s expanded through oral exercises, individual reports, class
 discussions, and recordings available at Berkeley Language 
Center. Writing and reading"
AFRICAM 10B,1,"This course reviews and expands students' knowledge of funda
mental structures from Elementary Swahili and appropriate cu
ltural contexts of these structures in oral and written comm
unication. More grammar and vocabulary in a culturally and s
ocially appropriate context is developed. Speaking ability i
s expanded through oral exercises, individual reports, class
 discussions, and recordings available at the Berkeley Langu
age Center. Writing and"
AFRICAM 11A,1,"This course introduces students to the basics of speaking, l
istening, reading, and writing in Swahili. Instruction is mi
xed English and Swahili. Emphasis is placed on developing st
udent ability to create and to communicate with basic struct
ures and vocabulary in culturally and socially appropriate c
ontext. Speaking and listening abilities are developed throu
gh oral exercises, class discussions, and recordings availab
le from Berkeley Language Center."
AFRICAM 11B,1,"This course introduces students to the basics of speaking, l
istening, reading, and writing in Swahili. Instruction is mi
xed English and Swahili. Emphasis is placed on developing st
udent ability to create and to communicate with basic struct
ures and vocabulary in a culturally and socially appropriate
 context. Speaking and listening abilities are developed thr
ough oral exercises, class discussions, and recordings avail
able from Berkeley Language"
AFRICAM 12,1,"This will be an intensive introduction of the Swahili langua
ge to beginners specifically designed for second language Sw
ahili learners. The course is equivalent to two semesters of
 studying Swahili, with a full academic year credit. In orde
r to attain the necessary proficiency (1-1+, using Interagen
cy Round Table (ILR) scale) by the end of 8 weeks, students 
will need to commit themselves to use"
AFRICAM 13A,1,"This course introduces students to speaking, listening, read
ing, and writing in Zulu. Instruction is mixed English and Z
ulu. Emphasis is placed on developing student ability to cre
ate and to communicate with basic Zulu structures and vocabu
lary in a culturally and socially appropriate context. Speak
ing and listening abilities are developed through oral exerc
ises, class discussions, and recordings available from Berke
ley Language Center. Reading and writing"
AFRICAM 13B,1,"This course introduces students to speaking, listening, read
ing, and writing in Zulu. Instruction is mixed English and Z
ulu. Emphasis is placed on developing student ability to cre
ate and to communicate with basic Zulu structures and vocabu
lary in a culturally and socially appropriate context. Speak
ing and listening abilities are developed through oral exerc
ises, class discussions, and recordings available from Berke
ley Language Center. Reading and writing"
