name,size,about
ARCH 11A,1,"Introductory studio course: theories of representation and the use of several visual means, including freehand drawing and digital media, to analyze and convey ideas regarding the environment. Topics include contour, scale, perspective, color, tone, texture, and design."
ARCH 11B,1,"Introduction to design concepts and conventions of graphic representation and model building as related to the study of architecture, landscape architecture, urban design, and city planning. Students draw in plan, section, elevation, axonometric, and perspective and are introduced to digital media. Design projects address concepts of order, site analysis, scale, structure, rhythm, detail, culture, and landsc"
ARCH 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
ARCH 39A,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
ARCH 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
ARCH 98,1,"This is a special topics course intended to fulfill the individual interests of students, and provide a vehicle for professors to instruct students based on new and innovative developments in the field of architecture."
ARCH 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
ARCH 100A,1,"Introductory courses in the design of buildings. Problems emphasize conceptual strategies of form and space, site relationships and social, technological and environmental determinants. 100A focuses on the conceptual design process."
ARCH 100B,1,"Introductory courses in the design of buildings. Problems emphasize conceptual strategies of form and space, site relationships and social, technological and environmental determinants. 100B stresses tectonics, materials, and energy considerations. Studio work is supplemented by lectures, discussions, readings and field trips."
ARCH 100C,1,"This is a studio course in architectural design. Students work on individual and group design projects that build on topics from Architecture 100B with additional integration of conditions pertinent to architectural production that may include architectural precedents, context, landscape and urban issues, envelope, performance, structure, and tectonics in the design of buildings."
ARCH 100D,1,"Students work on individual and/or group design projects that build on topics from previous studios with additional integration of conditions pertinent to architectural production that may include architectural precedents, context, landscape and urban issues, envelope, structure, and tectonics in the design of buildings. It may also include relevent and pertinent social, cultural, and technological issues facing architecture and design."
ARCH 102A,1,"This course is a course in architectural research methods with an emphasis on collaborative work. Students will work on individual facets of a collective topic of critical importance to the contemporary discipline of architecture within areas of faculty expertise. These include: architectural history and theory, structures, materials and methods of construction, building performance, energy and environment, and social factors and human behavior"
ARCH 102B,1,"Through individual and collective efforts, students will address topics selected in the previous semester under the guidance of faculty mentors. Topics in the field which may serve as a basis for capstone projects include: the history and theory of architecture; structures; the materials and methods of construction; building performance; energy and the environment; and social factors and human behavior. This course is aimed at students who"
ARCH 105,1,"This course explores the issues and practices of green architectural design through critical readings of seminal and current texts, lectures, films, field trips and projects that use both design and analysis as means of inquiry.The course examines varied approaches to sustainable design including using nature and wilderness as models, biophilia, biomimicry, material sources and reuse, accounting systems such as LEED, Zero Net Carbon and the 2030 Challenge"
ARCH 107,1,"Introduction to the business of architecture including client, developer and contractor relations, design proposals, competitions, and other marketing approaches as well as ethical issues of professional practice."
ARCH 108,1,"An intensive and structured exposure to the professional practice, using the resources of practicing architects' offices as the ""laboratory."" The seminar discussion focus on understanding how design happens, how projects are managed and how buildings are constructed."
ARCH 109,1,"Selected topics in the theories and concepts of architectural design. For current offerings, see department website."
ARCH 110AC,1,This class focuses on the significance of the physical environment in human life as citizens and as future design professionals and it introduces students to the field of
ARCH 111,1,"Introduction to international housing from the Architectural and City Planning perspective. Housing issues (social, cultural, and policy) ranging from micro-scale (house) to macro-scale (city) presented with a comparison of housing situations in developed and developing countries."
ARCH 119,1,"Selected topics in the social and cultural basis of design. For current offerings, see departmental website."
ARCH 122,1,"This course introduces students to Architecture's New Media; why and how computers are being used in architecture, and what are their current and expected impacts on the discipline and practice of architecture. Topics include presentation and re-presentation (including sketching, drafting, modeling, animating, and rendering); generating design solutions (including generative systems, expert systems, genetic algorithms, and neural networks); evaluation and prediction"
ARCH 123,1,"The course provides students with practical hands-on experience in using professional architectural drafting software (e.g., Autocad). The course covers the process of creating, manipulating, and communicating through digital drawings."
ARCH 124A,1,"The course provides students with practical hands-on experience in using professional architectural modeling software (e.g., 3DStudioMax, Maya, Rhino, etc.). The course covers the process of creating, manipulating, and communicating through digital architectural models."
ARCH 124B,1,"The course provides students with practical hands-on experience in using professional architectural modeling software (e.g., 3DStudioMax, Maya, Rhino, etc.). The course covers the process of creating, manipulating, and communicating through digital architectural models."
ARCH 127,1,"This course introduces students to designing web-accessible, Multi User, Virtual Environments (MUVEs), inhabited through avatars. Such worlds are used in video games and web-based applications, and are assuming their role as alternative 'places' to physical spaces, where people shop, learn, are entertained, and socialize. Virtual worlds are designed according to the same principles that guide the design of physical spaces, with allowances made for the absence of gravity"
ARCH 129,1,"Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website."
ARCH 130,1,"This class introduces students to the history and practice of design theory from the late 19th century to the present, with emphasis on developments of the last four decades. Readings and lectures explore specific constellations of theory and practice in relation to changing social and historical conditions. The course follows the rise of modernist design thinking, with particular emphasis on the growing influence of technical rationality across"
ARCH 133,1,"This seminar examines the relationship between architecture and the processes associated with globalization. The social and spatial changes connected to the global economic restructuring of the last four decades are explored in relation to disctinctive national conditions and their connection to historical forces such as colonization and imperialism. Theoretical arguments about international urban political economy, uneven development, deindustrialization"
ARCH 136,1,"The concept of space as it is applied to the fields of architecture, geography and urbanism can be understood as a barometer of the condition that we call ""modernity."" This course explores connections between the larger cultural frameworks of the past century, and the idea of space as it has been perceived, conceived and lived during this period. Readings include essays from the disciplines of philosophy, geography, architecture"
ARCH 139,1,"Topics cover contemporary and historical issues in architectural design theory and criticism. For current offerings, see department website."
ARCH 140,1,"This course provides undergraduates and graduates with an introduction to issues of physical building performance including building thermodynamics, daylighting, and solar control. The course presents the fundamentals of building science while recongnizing the evolving nature of building technologies, energy efficiency, ecology, and responsible design. The course begins with a detailed explication of the thermal properties of materials, heat"
ARCH 142,1,"Presentations on a variety of topics related to sustainability, offering perspectives from leading practioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional writing assignments."
ARCH 144,1,"This course focuses on what architects need to know about acoustics. The first part deals with the fundamentals of acoustics including how sound levels are described and measured, and human response to sound. The course then covers building acoustics, mechanical equipment noise and vibration control, office acoustics, design of sound amplification systems, and environmental acoustics."
ARCH 149,1,"Special topics include climatic design, heating, ventilating, air-conditioning systems, lighting, and acoustics. For current offerings, see department website."
ARCH 150,1,"Study of forces, materials, and structural significance in the design of buildings. Emphasis on understanding the structural behavior of real building systems."
