source,target,type,weight
HISTART 10B,HISTART 11,directed,3
HISTART 10,HISTART 98,directed,3
HISTART 10,HISTART C196A,directed,3
HISTART C196A,HISTART C196B,directed,3
HISTART 12,HISTART C196W,directed,3
HISTART 10,HISTART 198,directed,3
HISTART 10,HISTART N199,directed,3
HISTART 10B,HISTART 11,directed,3
HISTART 10,HISTART 98,directed,3
HISTART C196B,HISTART C196A,directed,3
HISTART 10,HISTART C196A,directed,3
HISTART C196A,HISTART C196B,directed,3
HISTART 12,HISTART C196W,directed,3
HISTART 10,HISTART 198,directed,3
HISTART 10,HISTART N199,directed,3
