name,size,about
HISTART R1B,1,"How do mechanisms of perception structure responses to visua
l art? What is at stake when words describe images? By means
 of intensive looking, thinking, speaking, and writing, this
 course introduces the student to a series of problems and i
ssues in the description and analysis of works of art. Becau
se the course is also an introduction to the historical stud
y of art, it is intended for students with no previous cours
e work in the field. Satisfies"
HISTART 10,1,"An introduction to the art of Egypt, Greece, Rome, and the E
uropean Middle Ages. Works of painting, sculpture, and archi
tecture are presented chronologically and interpreted within
 their particular historical circumstances. The course focus
es on themes such as the social and ideological functions of
 art, strategies of realism and abstraction, rhetorics of th
e material and immaterial, patronage and the construction of
 viewing"
HISTART 10B,1,"An historical survey of selected works of painting, sculptur
e, and architecture from the Renaissance to the present. Str
ess is placed on the acquistion of perceptual and critical s
kills, the analysis and interpretation of style and meaning,
 and the ability to relate works to a broader visual traditi
on and historical context."
HISTART N10,1,"An introduction to the art of ancient Egypt, Greece, Rome, a
nd the European Middle Ages. Painting, sculpture, and archit
ecture are presented chronologically and considered in relat
ion to their historical and cultural circumstances. The cour
se aims to provide students with a basic knowledge of how ar
tworks balance past tradition with innovation; how people ac
tually looked at artworks and what they valued in them; how 
works of art were commissioned and"
HISTART 11,1,"An introduction to the historical circumstances and visual c
haracter of Western art from the Renaissance to the present.
 Not a chronological survey, but an exploration of topics an
d themes central to this period. For example: What tasks did
 painting and sculpture perform in the past? For whom, at wh
ose expense? How do the rise of landscape painting, the cult
 of the artist, and the new emphasis on the nude relate to t
he emergence of modern"
HISTART C11,1,"An introduction to the historical circumstances and visual c
haracter of Western art from the Renaissance to the present.
 Not a chronological survey, but an exploration of topics an
d themes central to this period. For example: What tasks did
 painting and sculpture perform in the past? For whom, at wh
ose expense? How do the rise of landscape painting, the cult
 of the artist, and the new emphasis on the nude relate to t
he emergence of modern society? Do stylistic labels"
HISTART N11,1,"This course is an introduction to the visual arts of Europe 
and the USA from the 14th century to the present day. This c
ourse will attempt to situate works of art into long, genera
l trends in art practice of the Western tradition, though it
 will prioritize sustained focus on single case-studies whic
h punctuate the five centuries of art for which this course 
offers a historical account; attention will also gather arou
nd particular representative"
HISTART 12,1,"A historical survey of selected works of painting, sculpture
, and architecture from the Renaissance to the present. Stre
ss is placed on the acquisition of perceptual and critical s
kills, the analysis and interpretation of style and meaning,
 and the ability to relate works to a broader visual traditi
on and historical context."
HISTART 14,1,"This course will explore ways in which the “the origins of a
rt”—of human creativity in the visual and spatial arts—have 
been considered by a variety of artists, critics, and schola
rs."
HISTART 15A,1,"This course introduces students to the rich museum culture o
f London. Through lectures, seminars, and visits to museums 
we will explore how museums create histories of art, society
, and national identity. The course draws on the approaches 
of several disciplines–art, social, and cultural history, an
thropology, social geography, and critical theory–to interro
gate the ways that museums reflect and shape what we know an
d how we see. Exploring a selection of"
HISTART 21,1,"This course is an exercise in thinking about human perceptio
n and knowing in relation to the history of Islamic art and 
visual culture. It tracks the expression of theories of beau
ty and truth in great works of art and architecture, spannin
g from the seventh century CE to the present day, and includ
ing sites across the Middle East, Asia, North Africa, East A
frica, Europe, and the United States. Equally, it aims to ex
amine our own contemporary habits of"
HISTART 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Fresh
man Seminars are offered in all campus departments, and topi
cs may vary from department to department and semester to se
mester. Enrollment limited to fifteen freshman."
HISTART 27,1,"Rather than follow a master chronology that would attempt to
 contain Africa’s multiple cultural formations in a single n
arrative, this course will introduce students to African art
 through an investigation of a range of aesthetic traditions
 and movements across sub-Saharan Africa that are meaningful
ly reinvigorated in contemporary artistic production and pop
ular visual culture. Our continual return to the cultural po
litics of the present will provide"
HISTART 30,1,"The course offers an introduction to the art and architectur
e of South and Southeast Asia from ca. 2500 BCE to the colon
ial period. Proceeding in a chronological order, we will eng
age with key moments of artistic production in the region. W
e will locate art and architecture within the larger world o
f political economies, religion and philosophy, gender and s
exuality, urbanity, and state formations to generate the dep
th and context required for"
HISTART N31,1,"This course surveys the artistic traditions of China, Korea,
 and Japan over six millennia. Through lectures and readings
, students are introduced to themes central to the developme
nt of art in East Asia. We begin with the form, meaning, and
 function of archaeological remains, then turn to consider t
he role of art in Buddhist ritual and worship. Lectures on s
ecular painting will focus on the complex interactions of te
xt"
HISTART 32,1,"This course will introduce the arts and culture of Korea fro
m the prehistoric period through the early twentieth century
. Significant examples of painting, ceramics, sculpture, met
alwork, and photography will be closely examined in their po
litical, social, and cultural contexts. Korean art will also
 be presented in its East Asian context and compared to Chin
ese and Japanese art. No prior knowledge of Korean"
HISTART 33,1,"A survey of Buddhist art and architecture of Asia from 566 B
.C.E. to the 19th century, including India, China, Japan, Ti
bet, Sri Lanka, and Southeast Asia. How works of art and arc
hitecture reflect or engage with the doctrine and practice o
f different schools of Buddhism. Topics include the making o
f ""the Buddha image,"" the relationship between patronage, st
yles, and the ritual use"
HISTART 34,1,"An introduction to the arts of China, designed for newcomers
 to the history of art or to the study of Chinese culture. L
ectures will survey six millennia of Chinese art thematicall
y and chronologically, including the burial arts of the Neol
ithic period through the Tang dynasty (4th M. BCE-10th C. CE
), Buddhist and Daoist ritual arts, and painting and calligr
aphy. Lectures, readings, and discussions will introduce stu
dents to various systems"
HISTART 35,1,"This course is an introduction to art and architecture in Ja
pan. It is intended for newcomers to the history of art and/
or to the study of Japanese history and culture. Lectures wi
ll proceed chronologically, beginning with the archaeologica
l objects and tumuli of neolithic Japan and ending with the 
popular graphic arts of the seventeenth to nineteenth centur
ies and modern transformations of art."
HISTART 36,1,"This course is an introduction to the art and architecture o
f modern South, Southeast, and East Asia. Using a comparativ
e perspective, each week will focus on a set of case studies
—the work of particular artists and art movements or the arc
hitecture of specific Asian cities—to reconstruct an expansi
ve history of modern art and architecture in Asia from 1800 
to the present. Class lectures will be completed by a close 
examination of modern Asian art collections on campus"
