source,target,type,weight
ART 15,ART 98,directed,3
ART 13,ART 102,directed,3
ART 15,ART 102,directed,3
ART 16,ART 102,directed,3
ART 8,ART 116,directed,3
ART 15,ART 116,directed,3
ART 15,ART 117,directed,3
ART 16,ART 117,directed,3
ART 15,ART N117,directed,3
ART 117,ART N117,directed,3
ART 8,ART N117,directed,3
ART 8,ART N117,directed,3
ART 15,ART 118,directed,3
ART 15,ART 119,directed,3
ART 8,ART 119,directed,3
ART 15,ART 120,directed,3
ART 15,ART 122,directed,3
ART 15,ART 123,directed,3
ART 15,ART 124,directed,3
ART 15,ART 130,directed,3
ART 15,ART 132,directed,3
ART 16,ART 132,directed,3
ART 15,ART 133,directed,3
ART 16,ART 133,directed,3
ART 15,ART 137,directed,3
ART 15,ART 138,directed,3
ART 15,ART 141,directed,3
ART 15,ART 141,directed,3
ART 8,ART 141,directed,3
ART 15,ART 141,directed,3
ART 8,ART 142,directed,3
ART 15,ART 142,directed,3
ART 15,ART 160,directed,3
ART 15,ART 160,directed,3
ART 8,ART 162,directed,3
ART 15,ART 162,directed,3
ART 15,ART 164,directed,3
ART 15,ART 171,directed,3
ART 16,ART 171,directed,3
ART 15,ART N171,directed,3
ART 15,ART 172,directed,3
ART 15,ART 172,directed,3
ART 8,ART 172,directed,3
ART 15,ART 174,directed,3
ART 23AC,ART 178,directed,3
ART 15,ART 178,directed,3
ART 8,ART 178,directed,3
ART 15,ART 180,directed,3
ART 16,ART 180,directed,3
ART 15,ART 184,directed,3
ART 15,ART 185,directed,3
ART 12,ART 185,directed,3
ART 15,ART H195A,directed,3
ART 12,ART H195A,directed,3
ART 15,ART H195B,directed,3
ART 12,ART H195B,directed,3
ART 15,ART 196,directed,3
ART 15,ART 198,directed,3
ART 15,ART N199,directed,3
ART 15,ART 8,directed,3
ART 15,ART 8,directed,3
ART 15,ART 98,directed,3
ART 13,ART 102,directed,3
ART 15,ART 102,directed,3
ART 16,ART 102,directed,3
ART 8,ART 116,directed,3
ART 117,ART 116,directed,3
ART 15,ART 116,directed,3
ART 15,ART 117,directed,3
ART 16,ART 117,directed,3
ART 15,ART N117,directed,3
ART 117,ART N117,directed,3
ART 8,ART N117,directed,3
ART 8,ART N117,directed,3
ART 15,ART 118,directed,3
ART 15,ART 119,directed,3
ART 8,ART 119,directed,3
ART 15,ART 120,directed,3
ART 15,ART 122,directed,3
ART 15,ART 123,directed,3
ART 15,ART 124,directed,3
ART 15,ART 130,directed,3
ART 15,ART 132,directed,3
ART 16,ART 132,directed,3
ART 15,ART 133,directed,3
ART 16,ART 133,directed,3
ART 15,ART 137,directed,3
ART 15,ART 138,directed,3
ART 15,ART 141,directed,3
ART 15,ART 141,directed,3
ART 8,ART 141,directed,3
ART 15,ART 141,directed,3
ART 8,ART 142,directed,3
ART 15,ART 142,directed,3
ART 15,ART 160,directed,3
ART 15,ART 160,directed,3
ART 8,ART 162,directed,3
ART 15,ART 162,directed,3
ART 15,ART 164,directed,3
ART 15,ART 171,directed,3
ART 16,ART 171,directed,3
ART 15,ART N171,directed,3
ART 15,ART 172,directed,3
ART 15,ART 172,directed,3
ART 8,ART 172,directed,3
ART 15,ART 174,directed,3
ART 23AC,ART 178,directed,3
ART 15,ART 178,directed,3
ART 8,ART 178,directed,3
ART 15,ART 180,directed,3
ART 16,ART 180,directed,3
ART 15,ART 184,directed,3
ART 15,ART 185,directed,3
ART 12,ART 185,directed,3
ART 15,ART H195A,directed,3
ART 12,ART H195A,directed,3
ART 15,ART H195B,directed,3
ART 12,ART H195B,directed,3
ART 15,ART 196,directed,3
ART 15,ART 198,directed,3
ART 15,ART N199,directed,3
