source,target,type,weight
ASAMST 20A,ASAMST 121,directed,3
ASAMST 20A,ASAMST 122,directed,3
ASAMST 20A,ASAMST 123,directed,3
ASAMST 20A,ASAMST 124,directed,3
ASAMST 20A,ASAMST 125,directed,3
ASAMST 20A,ASAMST 126,directed,3
ASAMST 20A,ASAMST 127,directed,3
ASAMST 20A,ASAMST 141,directed,3
ASAMST 20B,ASAMST 141,directed,3
ASAMST 20A,ASAMST 145AC,directed,3
ASAMST 20B,ASAMST 145AC,directed,3
ASAMST 20A,ASAMST 150,directed,3
ASAMST 20B,ASAMST 150,directed,3
ASAMST 20A,ASAMST 151,directed,3
ASAMST 20B,ASAMST 151,directed,3
ASAMST 20A,ASAMST 151AC,directed,3
ASAMST 20B,ASAMST 151AC,directed,3
