name,size,about
ASAMST R2A,1,"Through the study of the literary, political, social and psychological dimensions of representative works of Asian American literature, this course introduces students to close textual analysis, fosters critical judgment, and reinforces academic writing skills. Satisfies the first half of the Reading and Composition requirement."
ASAMST R2B,1,"This course examines literary works by Asian American, African American, Chicano, and Native American writers in their political and social contexts, focusing on similarities and differences between the experiences of ethnic minorities in the U.S. Emphasis is on literary interpretation and sustained analytical writing. Satisfies the second half of the Reading and Composition requirement."
ASAMST 20A,1,"Introductory comparative analysis of the Asian American experience from 1848 to present. Topics include an analysis of the Asian American perspective; cultural roots; immigration and settlement patterns; labor, legal, political, and social history."
ASAMST 20AC,1,"This course will be a survey of contemporary issues affecting the Asian American community. We will look at the different theories that explain the current status of Asian Americans and the interrelationship between the Asian American community, nation, and world. The course will focus on the issue of race relations, the commonalities and differences between Asian Americans and other race and ethnic groups."
ASAMST 20B,1,"The course examines critical issues in Asian American communities today. In particular, the course will focus on key themes, such as immigration, identity, discrimination, mental health and political power. An important objective of this course is educating students on social justice issues facing the Asian American community."
ASAMST 20C,1,"Analysis of social, intellectual, and artistic currents in Asian American communities. Focus will be on social practices, popular culture, the arts and expression (e.g. language and literature), and the historical and political contexts in which they are produced and consumed."
ASAMST W20AC,1,"This course will be a survey of contemporary issues affecting the Asian American community. We will look at the different theories that explain the current status of Asian Americans and the interrelationship between the Asian American community, nation, and world. The course will focus on the issue of race relations, the commonalities and differences between Asian Americans and other race and ethnic groups."
ASAMST 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen."
ASAMST 39,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
ASAMST 97,1,"University organized and supervised field program involving experiences in schools, school-related activities, community and community-related activities."
ASAMST 98,1,Group study of selected topics which will vary from semester to semester.
ASAMST 99,1,Individual research on a topic which leads to the writing of a major paper. Regular meetings with faculty sponsor.
ASAMST 121,1,"Chinese American history, 1848 to present. Topics include influence of traditional values, Eastern and Western; patterns of immigration and settlement; labor history; the influence of public policy, foreign and domestic, on the Chinese individual and community."
ASAMST 122,1,"This course will be presented as a proseminar with selected topics in order to give students an opportunity to participate in the dynamics of the study of Japanese American history. Topics include immigration, anti-Japanese racism, labor, concentration camps, agriculture, art and literature, and personality and culture."
ASAMST 123,1,Koreans in America from 1876 to the present. Topics include comparative immigration and settlement patterns; labor and socio-economic life; political activities; community organization; and issues related to the contemporary population influx.
ASAMST 124,1,Topics include consequences of the Spanish-American War on Filipino emigration; conditions in Hawaii and California and the need for Filipino labor; community development; changing relations between the U.S. and the Philippines; effects ofthe independence movement and World War II on Filipino Americans; and contemporary issues.
ASAMST 125,1,"This course will introduce students to the sociocultural, economic, educational, and political issues facing Southeast Asian refugees in the U.S. While the course focus is on the Asian American experience, references will be made to the pre-migration experiences and histories of the Southeast Asian refugee groups. The processes and problems in the formulation of refugee programs and services in the U.S. also will be addressed in their implications"
ASAMST 126,1,"This course will examine Southeast Asian migration and resettlement in the U.S. in the context of the United States involvement in Vietnam, Laos, and Cambodia during the Vietnam War. It will also address the post-war ""legacies"" and their impact on the societies and politics of the three countries as well as neighboring states in the region. Asylum politics and refugee camp experiences will be addressed in the discussion of the formation"
ASAMST 127,1,"Examines immigration and social history of South Asian Americans from the early 20th century to present. Development of South Asian American communities within the social, political and economic contexts of South Asia and the U.S."
