name,size,about
EPS 3,1,"An overview of the processes that control water supply to na
tural ecosystems and human civilization. Hydrologic cycle, f
loods, droughts, groundwater. Patterns of water use, threats
 to water quality, effects of global climate change on futur
e water supplies. Water issues facing California."
EPS 7,1,"This course covers the physical processes that determine Ear
th's past, present, and future climate, with a particular fo
cus on the essentially irreversible climate change (a.k.a., 
global warming) caused by the burning of coal, oil, and natu
ral gas. Topics will also"
EPS 10,1,"A science-based course on the most significant eruptions Ear
th has produced. Most eruptions discussed will be from withi
n historic time and will involve information from geology (v
olcanology), geography, archaeology, history, art, and paleo
environmental records such as tree-rings and ice-cores. Afte
r a two-class introduction to volcanoes, volcanic activity, 
and volcanology, and the hazards vs benefits of eruptions, e
ach class will feature one"
EPS C12,1,"A tour of the mysteries and inner workings of our solar syst
em. What are planets made of? Why do they orbit the sun the 
way they do? How do planets form, and what are they made of?
 Why do some bizarre moons have oceans, volcanoes, and ice f
loes? What makes the Earth hospitable for life? Is the Earth
 a common type of planet or some cosmic quirk? This course w
ill introduce basic physics, chemistry, and math to understa
nd planets, moons, rings"
EPS W12,1,"A tour of the mysteries and inner workings of our solar syst
em. What are planets made of? Why do they orbit the sun the 
way they do? How do planets form, and what are they made of?
 Why do some bizarre moons have oceans, volcanoes, and ice f
loes? What makes the Earth hospitable for life? Is the Earth
 a common type of planet or some cosmic quirk? This course w
ill introduce basic physics, chemistry"
EPS 20,1,"Introduction to earthquakes, their causes and effects. Gener
al discussion of basic principles and methods of seismology 
and geological tectonics, distribution of earthquakes in spa
ce and time, effects of earthquakes, and earthquake hazard a
nd risk, with particular emphasis on the situation in Califo
rnia."
EPS C20,1,"Introduction to earthquakes, their causes and effects. Gener
al discussion of basic principles and methods of seismology 
and geological tectonics, distribution of earthquakes in spa
ce and time, effects of earthquakes, and earthquake hazard a
nd risk, with particular emphasis on the situation in Califo
rnia."
EPS 24,1,"The freshman seminar in earth and planetary science is desig
ned to provide new students with an opportunity to explore a
 topic in geology or earth sciences with a faculty member in
 a small seminar setting. Topics will vary from semester to 
semester but will include such possible topics as great voya
ges of geologic discovery and the role of atmospheric scienc
es in geologic study."
EPS 39,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
EPS 39A,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
EPS 50,1,"An introduction to the physical and chemical processes that 
have shaped the earth through time, with emphasis on the the
ory of plate tectonics. Laboratory work will involve the pra
ctical study of minerals, rocks, and geologic maps and exerc
ises on geological processes."
EPS 80,1,"This course focuses on the processes on and in the earth tha
t shape the environment. Humanity's use of land and oceans i
s examined based on an understanding of these processes."
EPS 81,1,"An introductory survey of the atmospheres of Earth and other
 planets, spanning diverse phenomena such as hurricanes, dro
ught, Martian dust storms, and the exotic winds on planets o
rbiting other stars. This course introduces the basics of pl
anetary weather and climate, showing through exploration of 
a diverse set of atmospheres and paleoclimates that the worl
d around us need not always be the way we currently observe 
it. Topics include atmospheric composition"
EPS C82,1,"This course offers multidisciplinary approach to begin answe
ring the question ""Why are oceans important to us?"" Upon a p
hysical, chemical, and geologic base, we introduce the alien
 world of sea life, the importance of the ocean to the globa
l carbon cycle, and the principles of ecology with a focus o
n the important concept of energy flow through food webs. Le
ctures expand beyond science to include current topics as di
verse as"
EPS N82,1,"The geology, physics, chemistry, and biology of the world oc
eans. The application of oceanographic sciences to human pro
blems will be explored through special topics such as energy
 from the sea, marine pollution, food from the sea, and clim
ate change."
EPS 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
EPS 88,1,"Earthquakes and El Ninos are examples of natural hazards in 
California. The course uses Python/Jupyter Notebook and real
-world observations to introduce students to these and other
 Earth phenomena and their underlying physics. The students 
will learn how to access and visualize the data, extract sig
nals, and make probability forecasts. The final module is a 
project that synthesizes the course material to make a proba
bilistic forecast. The course will be co-taught"
EPS 98,1,"Group studies of selected topics which vary from semester to
 semester."
EPS 100A,1,"Introduction to structural, compositional, and physical prop
erties of minerals, their analogs and related substances, th
eir genesis in various geological and synthetic processes, a
nd laboratory techniques to identify and investigate mineral
s. One field trip to selected mineral deposits and visits to
 laboratories."
EPS 100B,1,"Introduction to the principal geologic environments where ro
cks are formed and displayed. Igneous, sedimentary, and meta
morphic processes discussed in the context of global tectoni
cs."
EPS C100,1,"For undergraduates interested in improving their ability to 
communicate their scientific knowledge by teaching ocean sci
ence in elementary schools or science centers/aquariums. The
 course will combine instruction in inquiry-based teaching m
ethods and learning pedagogy with six weeks of supervised te
aching experience in a local school classroom or the Lawrenc
e Hall of Science with a partner. Thus, students will practi
ce communicating"
EPS 101,1,"Geological mapping, field observation, and problem-solving i
n the Berkeley hills and environs leading to original interp
retation of geological processes and history from stratigrap
hic, structural, and lithological investigations. Integratio
n of the Berkeley hills geology into the Coast Ranges and Ca
lifornia as a whole through field trips to key localities. T
raining in digital field mapping, global positioning systems
, and laser surveying. Interdisciplinary"
EPS 102,1,"Formation and evolution of the earth. Nucleosynthesis; forma
tion of the solar system; planetary accretion; dating the ea
rth and solar system; formation of the core, mantle, oceans,
 and atmosphere; plate tectonics; heat transfer and internal
 dynamics; stratigraphic record of environment, and evolutio
n; climate history and climate change."
