name,size,about
BIO ENG 10,1,"This course is intended for lower division students interested in acquiring a foundation in biomedicine with topics ranging from evolutionary biology to human physiology. The emphasis is on the integration of engineering applications to biology and health. The specific lecture topics and exercises will include the key aspects of genomics and proteomics as well as topics on plant and animal evolution, stem cell biomedicine, and tissue regeneration"
BIO ENG 11,1,"This course focuses on providing students with a foundation in organic chemistry and biochemistry needed to understand contemporary problems in synthetic biology, biomaterials and computational biology."
BIO ENG 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
BIO ENG 25,1,"This introductory seminar is designed to give freshmen and sophomores an opportunity to explore specialties related to engineering in the pharmaceutical/biotech field. A series of one-hour seminars will be presented by industry professionals, professors, and researchers. Topics may include biotechnology and pharmaceutical manufacturing; process and control engineering; drug inspection process; research and development; compliance and validation;"
BIO ENG 26,1,This introductory seminar is designed to give freshmen and sophomores a glimpse of a broad selection of bioengineering research that is currently underway at Berkeley and UCSF. Students will become familiar with bioengineering applications in the various concentration areas and see how engineering principles can be applied to biological and medical problems.
BIO ENG 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
BIO ENG 98,1,Organized group study on various topics under the sponsorship of a member of the Bioengineering faculty.
BIO ENG 99,1,Supervised independent study for lower division students.
BIO ENG 100,1,"The goal of this semester course is to present the issues of professional conduct in the practice of engineering, research, publication, public and private disclosures, and in managing professional and financial conflicts. The method is through historical didactic presentations, case studies, presentations of methods for problem solving in ethical matters, and classroom debates on contemporary ethical issues. The faculty will be drawn from national"
BIO ENG 101,1,"This course teaches the fundamental principles underlying modern sensing and control instrumentation used in biology and medicine. The course takes an integrative analytic and hands-on approach to measurement theory and practice by presenting and analyzing example instruments currently used for biology and medical research, including EEG, ECG, pulsed oximeters, Complete Blood Count (CBC), etc."
BIO ENG 102,1,"This course introduces, develops and applies the methods of continuum mechanics to biomechanical phenomena abundant in biology and medicine. It is intended for upper level undergraduate students who have been exposed to vectors, differential equations, and undergraduate course(s) in physics and certain aspects of modern biology."
BIO ENG 103,1,"Thermodynamic and kinetic concepts applied to understanding the chemistry and structure of biomolecules (proteins, membranes, DNA, and RNA) and their thermodynamic and kinetic features in the crowded cellular environment. Topics include entropy, bioenergetics, free energy, chemical potential, reaction kinetics, enzyme kinetics, diffusion and transport, non-equilibrium systems, and their connections to the cellular environment."
BIO ENG 104,1,"The transport of mass, momentum, and energy are critical to the function of living systems and the design of medical devices. Biological transport phenomena are present at a wide range of length scales: molecular, cellular, organ (whole and by functional unit), and organism. This course develops and applies scaling laws and the methods of continuum mechanics to biological transport phenomena over a range of length and time scales. The course"
BIO ENG 105,1,"This course provides students with an introduction to medical device design through fundamentals of circuit design/analysis, signal processing, and instrumentation development from concept to market. Important concepts will include impulse responses of systems, op-amps, interference, and noise; the origin of biological signals and recording mechanisms; and design considerations including sensitivity, accuracy, and market potential. This course is designed"
BIO ENG C106A,1,"An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications"
BIO ENG C106B,1,This course is a sequel to 
BIO ENG 110,1,"This course introduces students to the physiology of human organ systems, with an emphasis on quantitative problem solving, engineering-style modeling, and applications to clinical medicine."
BIO ENG 111,1,"This course is intended for upper level engineering undergraduate students interested in the development of novel functional proteins and peptide motifs and characterization of their physical and biological properties using various instrumentation tools in quantitative manners. The emphasis of the class is how to develop novel proteins and peptide motifs, and to characterize their physical and biological functions using various analytical"
BIO ENG C112,1,"This course applies methods of statistical continuum mechanics to subcellar biomechanical phenomena ranging from nanoscale (molecular) to microscale (whole cell and cell population) biological processes at the interface of mechanics, biology, and chemistry."
BIO ENG 113,1,"This course will teach the main concepts and current views on key attributes of embryonic stem cells (ESC), will introduce theory of their function in embryonic development, methods of ESC derivation, propagation, and characterization, and will discuss currently developing stem cell technologies."
BIO ENG 114,1,"This course will teach the main concepts and current views on key attributes of animal cells (somatic, embryonic, pluripotent, germ-line; with the focus on mammalian cells), will introduce theory of the regulation of cell function, methods for deliberate control of cell properties and resulting biomedical and bioengineering technologies."
BIO ENG 115,1,"This class provides a conceptual and practical understanding of cell and tissue bioengineering that is vital for careers in medicine, biotechnology, and bioengineering. Students are introduced to cell biology laboratory techniques, including immunofluorescence, quantitative image analysis, protein quantification, protein expression, gene expression, and cell culture."
BIO ENG 116,1,"The goal of tissue engineering is to fabricate substitutes to restore tissue structure and functions. Understanding cell function in response to environmental cues will help us to establish design criteria and develop engineering tools for tissue fabrication. This course will introduce the basic concepts and approaches in the field, and train students to design and engineer biological substitutes."
BIO ENG C117,1,This course covers the structure and mechanical functions of load bearing tissues and their replacements. Natural and synthetic load-bearing biomaterials for clinical applications are reviewed. Biocompatibility of biomaterials and host response to structural implants are examined. Quantitative treatment of biomechanical issues and constitutive relationships of tissues are covered in order to design biomaterial replacements for structural
