name,size,about
UGBA C5,1,"Terms offered: Fall 2019, Fall 2018, Spring 2017, Fall 2015"
UGBA 10,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
UGBA 24,1,"Terms offered: Spring 2020, Fall 2013, Spring 2007"
UGBA 39AC,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
UGBA 39D,1,"Terms offered: Spring 2008, Fall 2007"
UGBA 39E,1,"Terms offered: Fall 2019, Spring 2018, Fall 2016"
UGBA 88,1,"Terms offered: Spring 2020, Fall 2019"
UGBA C95B,1,Terms offered: Spring 2019
UGBA 96,1,"Terms offered: Fall 2019, Spring 2019, Fall 2018"
UGBA 98,1,"Terms offered: Spring 2015, Fall 2014, Spring 2014"
UGBA 100,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
UGBA 101A,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
UGBA 101B,1,"Terms offered: Summer 2020 First 6 Week Session, Summer 2020 Second 6 Week Session, Spring 2020"
UGBA 102A,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
UGBA 102B,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019"
UGBA W102A,1,"Terms offered: Summer 2020 First 6 Week Session, Summer 2019 First 6 Week Session, Summer 2018 First 6 Week Session"
UGBA 103,1,"Terms offered: Summer 2020 First 6 Week Session, Summer 2020 Second 6 Week Session, Spring 2020"
UGBA 104,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
UGBA 105,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
UGBA 106,1,"Terms offered: Summer 2020 First 6 Week Session, Summer 2020 Second 6 Week Session, Spring 2020"
UGBA 107,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
UGBA 113,1,"Terms offered: Fall 2010, Fall 2009"
UGBA 115,1,"Terms offered: Summer 2020 3 Week Session, Spring 2020, Fall 2019"
UGBA 117,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017"
