name,size,about
CELTIC R1A,1,"Reading and composition course based on works of Celtic writ
ers both in English and in translations from Celtic language
s. In addition to training in textual analysis and descripti
ve and argumentative writing, the courses will discuss the n
otion of Celtic ""voices"": distinctive modes of cultural expr
ession chosen by important authors from a Celtic milieu. Rea
dings will be chosen from a variety of modern Irish, Welsh, 
highland Scots"
CELTIC R1B,1,"Reading and composition course based on works of Celtic writ
ers both in English and in translations from Celtic language
s. In addition to training in textual analysis and descripti
ve and argumentative writing, the courses will discuss the n
otion of Celtic ""voices"": distinctive modes of cultural expr
ession chosen by important authors from a Celtic milieu. Rea
dings will be chosen from a variety of modern Irish,"
CELTIC 15,1,"A beginning course in Modern Irish. Students will be learnin
g the basics of Irish grammar, and developing ability to und
erstand, speak, read and write the language."
CELTIC 16,1,"Introduction to modern Welsh conversation and grammar. Empha
sis in the first-semester class is on pronunciation, masteri
ng consonant mutations, using several tenses (present, perfe
ct, imperfect, past), and the acquisition of basic vocabular
y and idiom. Simple written materials based on traditional W
elsh stories will supplement classroom oral-aural work."
CELTIC 70,1,"An overview of the history of Celtic-speaking peoples from I
ndo-European times, including linguistic/archaeological evid
ence for the emergence of the Celtic language group in 1st m
illenium B.C. Europe. Celtic religion and comparative Indo-E
uropean mythology. Discussion of the validity of classical r
eports of the Celtic culture. Celtic tribal migrations in th
e historical period; the foundation of Brittany. The decline
 and suppression of modern Celtic"
CELTIC 85,1,"The second semester of Modern Irish. Continuing instruction 
in speaking, comprehension, reading and writing skills. By t
he end of this semester, students will have become acquainte
d with all of the central grammatical constructions of Irish
, and will be ready to begin reading accessible Irish prose."
CELTIC 86,1,"Continuation of Celtic Studies 16, emphasizing progress in c
onversation, grammar, and idiom. Using tenses previously lea
rned, students will learn how to ask and answer many types o
f questions and will learn conjugated prepositions and idiom
atic uses of prepositions. Future and conditional tenses and
 simple relative clauses will be introduced. Level-appropria
te written materials will supplement class work, and student
s will begin learning"
CELTIC 98,1,"Group study of selected topics not covered by regularly sche
duled courses."
CELTIC 99,1,"Directed individual study on special topics approved by Celt
ic Studies."
CELTIC 102A,1,"This course will teach students to speak, read, and write mo
dern literary Breton. We will follow the curriculum establis
hed by the only good introductory Breton text in English, wh
ich I will supplement with exercises and readings from curre
nt Breton publications and contemporary literature. Students
 will have covered most of the grammar of Breton by the end 
of the course."
CELTIC 102B,1,"Advanced readings in Breton. Continuation of Celtic Studies 
102A. This course will teach students to speak, read, and wr
ite modern literary Breton. It will follow the curriculum es
tablished by the only good Breton text in English, which wil
l be supplemented with exercises and readings from current B
reton publications and contemporary literature."
CELTIC 105A,1,"A detailed introduction to the orthography, phonology and gr
ammar of Old Irish designed to provide the student with the 
subsequent capacity to read with comprehension and to transl
ate (with the aid of dictionary or glossary) any edited text
 in Old Irish or Middle Irish."
