source,target,type,weight
CHEM 1A,CHEM 1AD,directed,3
CHEM 1A,CHEM 1AD,directed,3
CHEM 1A,CHEM 4A,directed,3
CHEM 1AL,CHEM 4A,directed,3
CHEM 1B,CHEM 12A,directed,3
CHEM 4B,CHEM 12A,directed,3
CHEM 3A,CHEM 12A,directed,3
CHEM 3A,CHEM 12A,directed,3
CHEM 3AL,CHEM 12A,directed,3
CHEM 1B,CHEM 12B,directed,3
CHEM 4B,CHEM 12B,directed,3
CHEM 12A,CHEM 12B,directed,3
CHEM 3B,CHEM 12B,directed,3
CHEM 3B,CHEM 12B,directed,3
CHEM 3BL,CHEM 12B,directed,3
CHEM 1A,CHEM 15,directed,3
CHEM 1AL,CHEM 15,directed,3
CHEM 15,CHEM 96,directed,3
CHEM 15,CHEM 98,directed,3
CHEM 3A,CHEM 103,directed,3
CHEM 15,CHEM 103,directed,3
CHEM 15,CHEM 104A,directed,3
CHEM 104A,CHEM 104B,directed,3
CHEM 103,CHEM 104B,directed,3
CHEM 15,CHEM 104B,directed,3
CHEM 1B,CHEM 105,directed,3
CHEM 1B,CHEM 105,directed,3
CHEM 15,CHEM 105,directed,3
CHEM 4B,CHEM 108,directed,3
CHEM 104B,CHEM 108,directed,3
CHEM 103,CHEM 108,directed,3
CHEM 15,CHEM 108,directed,3
CHEM 15,CHEM C110L,directed,3
CHEM 3B,CHEM 113,directed,3
CHEM 15,CHEM 113,directed,3
CHEM 3B,CHEM 114,directed,3
CHEM 15,CHEM 114,directed,3
CHEM 15,CHEM 115,directed,3
CHEM 4B,CHEM 120A,directed,3
CHEM 15,CHEM 120A,directed,3
CHEM 4B,CHEM 120B,directed,3
CHEM 15,CHEM 120B,directed,3
CHEM 120A,CHEM 121,directed,3
CHEM 120B,CHEM 121,directed,3
CHEM 15,CHEM 121,directed,3
CHEM 120A,CHEM 122,directed,3
CHEM 15,CHEM 122,directed,3
CHEM 15,CHEM 125,directed,3
CHEM 15,CHEM 130B,directed,3
CHEM 3A,CHEM C130,directed,3
CHEM 1A,CHEM C130,directed,3
CHEM 3B,CHEM C130,directed,3
CHEM 15,CHEM C130,directed,3
CHEM 3B,CHEM 135,directed,3
CHEM 15,CHEM 135,directed,3
CHEM 1B,CHEM C138,directed,3
CHEM 1A,CHEM C138,directed,3
CHEM 15,CHEM C138,directed,3
CHEM 15,CHEM 143,directed,3
CHEM 4B,CHEM 146,directed,3
CHEM 143,CHEM 146,directed,3
CHEM 15,CHEM 146,directed,3
CHEM 104B,CHEM C150,directed,3
CHEM 15,CHEM C150,directed,3
CHEM 15,CHEM C170L,directed,3
CHEM 15,CHEM C178,directed,3
CHEM 130B,CHEM C182,directed,3
CHEM 15,CHEM C182,directed,3
CHEM 15,CHEM C191,directed,3
CHEM 15,CHEM 192,directed,3
CHEM 15,CHEM H193,directed,3
CHEM 15,CHEM H194,directed,3
CHEM 15,CHEM 195,directed,3
CHEM 15,CHEM 196,directed,3
CHEM 15,CHEM 197,directed,3
CHEM 15,CHEM 198,directed,3
CHEM 15,CHEM 1A,directed,3
CHEM 1A,CHEM 1AD,directed,3
CHEM 1A,CHEM 1AD,directed,3
CHEM 15,CHEM 1AD,directed,3
CHEM 15,CHEM 1AL,directed,3
CHEM 15,CHEM 1B,directed,3
CHEM 15,CHEM W1A,directed,3
CHEM 15,CHEM 3A,directed,3
CHEM 15,CHEM 3AL,directed,3
CHEM 15,CHEM 3B,directed,3
CHEM 15,CHEM 3BL,directed,3
CHEM 1A,CHEM 4A,directed,3
CHEM 1AL,CHEM 4A,directed,3
CHEM 15,CHEM 4A,directed,3
CHEM 15,CHEM 4B,directed,3
CHEM 1B,CHEM 12A,directed,3
CHEM 4B,CHEM 12A,directed,3
CHEM 3A,CHEM 12A,directed,3
CHEM 3A,CHEM 12A,directed,3
CHEM 3AL,CHEM 12A,directed,3
CHEM 15,CHEM 12A,directed,3
CHEM 1B,CHEM 12B,directed,3
CHEM 4B,CHEM 12B,directed,3
CHEM 12A,CHEM 12B,directed,3
CHEM 3B,CHEM 12B,directed,3
CHEM 3B,CHEM 12B,directed,3
CHEM 3BL,CHEM 12B,directed,3
CHEM 15,CHEM 12B,directed,3
CHEM 1A,CHEM 15,directed,3
CHEM 1AL,CHEM 15,directed,3
CHEM 15,CHEM 96,directed,3
CHEM 15,CHEM 98,directed,3
CHEM 3A,CHEM 103,directed,3
CHEM 15,CHEM 103,directed,3
CHEM 104B,CHEM 104A,directed,3
CHEM 104B,CHEM 104A,directed,3
