name,size,about
CHEM 1A,1,"Stoichiometry of chemical reactions, quantum mechanical desc
ription of atoms, the elements and periodic table, chemical 
bonding, real and ideal gases, thermochemistry, introduction
 to thermodynamics and equilibrium, acid-base and solubility
 equilibria, introduction to oxidation-reduction reactions, 
introduction to chemical kinetics."
CHEM 1AD,1,"An interactive general chemistry course that uses modern dig
ital technology, offered in a smaller classroom setting to f
acilitate student participation and foster an engaging learn
ing environment. Topics cover the Chemistry 1A curriculum, r
anging from quantum mechanics and interactions of atoms and 
molecules to properties and equilibria of bulk materials. Th
e course involves a blend of classroom lectures and peer lea
rning with substantial web-based assignments and"
CHEM 1AL,1,"An experimental approach to chemical sciences with emphasis 
on developing fundamental, reproducible laboratory technique
 and a goal of understanding and achieving precision and acc
uracy in laboratory experiments. Proper use of laboratory eq
uipment and standard wet chemical methods are practiced. Are
as of investigations include chemical equilibria, spectrosco
py, nanotechnology, green chemistry, and thermochemistry. Co
mpletion"
CHEM 1B,1,"Introduction to chemical kinetics, electrochemistry, propert
ies of the states of matter, binary mixtures, thermodynamic 
efficiency and the direction of chemical change, quantum mec
hanical description of bonding introduction to spectroscopy.
 Special topics: Research topics in modern chemistry and bio
chemistry, chemical engineering."
CHEM W1A,1,"Stoichiometry of chemical reactions, quantum mechanical desc
ription of atoms, the elements and periodic table, chemical 
bonding, real and ideal gases, thermochemistry, introduction
 to thermodynamics and equilibrium, acid-base and solubility
 equilibria, introduction to oxidation-reduction reactions, 
introduction to chemical kinetics. This course is web-based."
CHEM 3A,1,"Introduction to organic chemical structures, bonding, and ch
emical reactivity. The organic chemistry of alkanes, alkyl h
alides, alcohols, alkenes, alkynes, and organometallics."
CHEM 3AL,1,"Introduction to the theory and practice of methods used in t
he organic chemistry laboratory. An emphasis is placed on th
e separation and purification of organic compounds. Techniqu
es covered will include extraction, distillation, sublimatio
n, recrystalization, and chromatography. Detailed discussion
s and applications of infrared and nuclear magnetic resonanc
e spectroscopy will be included."
CHEM 3B,1,"Conjugation, aromatic chemistry, carbonyl compounds, carbohy
drates, amines, carboxylic acids, amino acids, peptides, pro
teins, and nucleic acid chemistry. Ultraviolet spectroscopy 
and mass spectrometry will be introduced."
CHEM 3BL,1,"The synthesis and purification of organic compounds will be 
explored. Natural product chemistry will be introduced. Adva
nced spectroscopic methods including infrared, ultraviolet, 
and nuclear magnetic resonance spectroscopy and mass spectro
metry will be used to analyze products prepared and/or isola
ted. Qualitative analysis of organic compounds will be cover
ed."
CHEM N3AL,1,"Introduction to the theory and practice of methods used in t
he organic chemistry laboratory. An emphasis is placed on th
e separation and purification of organic compounds. Techniqu
es covered will include extraction, distillation, sublimatio
n, recrystalization, and chromatography. Detailed discussion
s and applications of infrared and nuclear magnetic resonanc
e spectroscopy will be included."
