source,target,type,weight
CHINESE 1A,CHINESE 1B,directed,3
CHINESE 3A,CHINESE 3B,directed,3
CHINESE 1,CHINESE 10,directed,3
CHINESE 1B,CHINESE 10,directed,3
CHINESE 1,CHINESE 10A,directed,3
CHINESE 1B,CHINESE 10RA,directed,3
CHINESE 10RA,CHINESE 10RB,directed,3
CHINESE 10,CHINESE 100A,directed,3
CHINESE 10B,CHINESE 100A,directed,3
CHINESE 100A,CHINESE 100B,directed,3
CHINESE 100B,CHINESE 101,directed,3
CHINESE 100B,CHINESE 102,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 101,CHINESE 111,directed,3
CHINESE 101,CHINESE 112,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 100A,CHINESE 153,directed,3
CHINESE 100XA,CHINESE 153,directed,3
CHINESE 100A,CHINESE 155,directed,3
CHINESE 100XA,CHINESE 155,directed,3
CHINESE 100A,CHINESE 156,directed,3
CHINESE 100XA,CHINESE 156,directed,3
CHINESE 100A,CHINESE 157,directed,3
CHINESE 100XA,CHINESE 157,directed,3
CHINESE 100A,CHINESE 158,directed,3
CHINESE 100XA,CHINESE 158,directed,3
CHINESE 100A,CHINESE 159,directed,3
CHINESE 100XA,CHINESE 159,directed,3
CHINESE 100A,CHINESE 161,directed,3
CHINESE 5,CHINESE 161,directed,3
CHINESE 100A,CHINESE 165,directed,3
CHINESE 5,CHINESE 165,directed,3
CHINESE 1A,CHINESE 1B,directed,3
CHINESE 3A,CHINESE 3B,directed,3
CHINESE 1,CHINESE 10,directed,3
CHINESE 1B,CHINESE 10,directed,3
CHINESE 1,CHINESE 10A,directed,3
CHINESE 1B,CHINESE 10RA,directed,3
CHINESE 10RA,CHINESE 10RB,directed,3
CHINESE 10,CHINESE 100A,directed,3
CHINESE 10B,CHINESE 100A,directed,3
CHINESE 100A,CHINESE 100B,directed,3
CHINESE 100B,CHINESE 101,directed,3
CHINESE 100B,CHINESE 102,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 101,CHINESE 111,directed,3
CHINESE 101,CHINESE 112,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 100A,CHINESE 153,directed,3
CHINESE 100XA,CHINESE 153,directed,3
CHINESE 100A,CHINESE 155,directed,3
CHINESE 100XA,CHINESE 155,directed,3
CHINESE 100A,CHINESE 156,directed,3
CHINESE 100XA,CHINESE 156,directed,3
CHINESE 100A,CHINESE 157,directed,3
CHINESE 100XA,CHINESE 157,directed,3
CHINESE 100A,CHINESE 158,directed,3
CHINESE 100XA,CHINESE 158,directed,3
CHINESE 100A,CHINESE 159,directed,3
CHINESE 100XA,CHINESE 159,directed,3
CHINESE 100A,CHINESE 161,directed,3
CHINESE 5,CHINESE 161,directed,3
CHINESE 100A,CHINESE 165,directed,3
CHINESE 5,CHINESE 165,directed,3
CHINESE 1A,CHINESE 1B,directed,3
CHINESE 3A,CHINESE 3B,directed,3
CHINESE 1,CHINESE 10,directed,3
CHINESE 1B,CHINESE 10,directed,3
CHINESE 1,CHINESE 10A,directed,3
CHINESE 1B,CHINESE 10RA,directed,3
CHINESE 10RA,CHINESE 10RB,directed,3
CHINESE 10,CHINESE 100A,directed,3
CHINESE 10B,CHINESE 100A,directed,3
CHINESE 100A,CHINESE 100B,directed,3
CHINESE 100B,CHINESE 101,directed,3
CHINESE 100B,CHINESE 102,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 101,CHINESE 111,directed,3
CHINESE 101,CHINESE 112,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 100A,CHINESE 153,directed,3
CHINESE 100XA,CHINESE 153,directed,3
CHINESE 100A,CHINESE 155,directed,3
CHINESE 100XA,CHINESE 155,directed,3
CHINESE 100A,CHINESE 156,directed,3
CHINESE 100XA,CHINESE 156,directed,3
CHINESE 100A,CHINESE 157,directed,3
CHINESE 100XA,CHINESE 157,directed,3
CHINESE 100A,CHINESE 158,directed,3
CHINESE 100XA,CHINESE 158,directed,3
CHINESE 100A,CHINESE 159,directed,3
CHINESE 100XA,CHINESE 159,directed,3
CHINESE 100A,CHINESE 161,directed,3
CHINESE 5,CHINESE 161,directed,3
CHINESE 100A,CHINESE 165,directed,3
CHINESE 5,CHINESE 165,directed,3
CHINESE 1A,CHINESE 1B,directed,3
CHINESE 3A,CHINESE 3B,directed,3
CHINESE 1,CHINESE 10,directed,3
CHINESE 1B,CHINESE 10,directed,3
CHINESE 1,CHINESE 10A,directed,3
CHINESE 1B,CHINESE 10RA,directed,3
CHINESE 10RA,CHINESE 10RB,directed,3
CHINESE 10,CHINESE 100A,directed,3
CHINESE 10B,CHINESE 100A,directed,3
CHINESE 100A,CHINESE 100B,directed,3
CHINESE 100B,CHINESE 101,directed,3
CHINESE 100B,CHINESE 102,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 101,CHINESE 111,directed,3
CHINESE 101,CHINESE 112,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 100A,CHINESE 153,directed,3
CHINESE 100XA,CHINESE 153,directed,3
CHINESE 100A,CHINESE 155,directed,3
CHINESE 100XA,CHINESE 155,directed,3
CHINESE 100A,CHINESE 156,directed,3
CHINESE 100XA,CHINESE 156,directed,3
CHINESE 100A,CHINESE 157,directed,3
CHINESE 100XA,CHINESE 157,directed,3
CHINESE 100A,CHINESE 158,directed,3
CHINESE 100XA,CHINESE 158,directed,3
CHINESE 100A,CHINESE 159,directed,3
CHINESE 100XA,CHINESE 159,directed,3
CHINESE 100A,CHINESE 161,directed,3
CHINESE 5,CHINESE 161,directed,3
CHINESE 100A,CHINESE 165,directed,3
CHINESE 5,CHINESE 165,directed,3
CHINESE 1A,CHINESE 1B,directed,3
CHINESE 3A,CHINESE 3B,directed,3
CHINESE 1,CHINESE 10,directed,3
CHINESE 1B,CHINESE 10,directed,3
CHINESE 1,CHINESE 10A,directed,3
CHINESE 1B,CHINESE 10RA,directed,3
CHINESE 10RA,CHINESE 10RB,directed,3
CHINESE 10,CHINESE 100A,directed,3
CHINESE 10B,CHINESE 100A,directed,3
CHINESE 100A,CHINESE 100B,directed,3
CHINESE 100B,CHINESE 101,directed,3
CHINESE 100B,CHINESE 102,directed,3
CHINESE 10Y,CHINESE 110A,directed,3
CHINESE 110A,CHINESE 110B,directed,3
CHINESE 101,CHINESE 111,directed,3
CHINESE 101,CHINESE 112,directed,3
CHINESE 110A,CHINESE 120,directed,3
CHINESE 110A,CHINESE 122,directed,3
CHINESE 100A,CHINESE 153,directed,3
CHINESE 100XA,CHINESE 153,directed,3
CHINESE 100A,CHINESE 155,directed,3
CHINESE 100XA,CHINESE 155,directed,3
CHINESE 100A,CHINESE 156,directed,3
CHINESE 100XA,CHINESE 156,directed,3
CHINESE 100A,CHINESE 157,directed,3
CHINESE 100XA,CHINESE 157,directed,3
CHINESE 100A,CHINESE 158,directed,3
CHINESE 100XA,CHINESE 158,directed,3
CHINESE 100A,CHINESE 159,directed,3
CHINESE 100XA,CHINESE 159,directed,3
CHINESE 100A,CHINESE 161,directed,3
CHINESE 5,CHINESE 161,directed,3
CHINESE 100A,CHINESE 165,directed,3
CHINESE 5,CHINESE 165,directed,3
