name,size,about
CIV ENG 11,1,"An introduction to key engineered systems (e.g., energy, water supply, buildings, transportation) and their environmental impacts. Basic principles of environmental science needed to understand natural processes as they are influenced by human activities. Overview of concepts and methods of sustainability analysis. Critical evaluation of engineering approaches to address sustainability."
CIV ENG 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
CIV ENG C30,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
CIV ENG W30,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
CIV ENG 60,1,"Introduction to structure and properties of civil engineering materials such as asphalt, cements, concrete, geological materials (e.g. soil and rocks), steel, polymers, and wood. The properties range from elastic, plastic and fracture properties to porosity and thermal and environmental responses. Laboratory tests include evaluation of behavior of these materials under a wide range of conditions."
CIV ENG 70,1,Principles of physical and structural geology; the influence of geological factors on engineering works and the environment. Field trip.
CIV ENG 88B,1,"In this course, we will pursue analysis of long-term records of coastal water levels in the context of sea level rise. We will cover the collection, evaluation, visualization and analysis of time series data using long-term records of sea levels from coastal sites around the world. Specific topics will include extreme events and distributions, frequency-based descriptions, averaging, filtering, harmonic analysis, trend identification, extrapolations, and decision-making"
CIV ENG C88,1,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient, and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build demand- and supply-side"
CIV ENG 92,1,A course designed to familiarize the entering student with the nature and scope of civil and environmental engineering and its component specialty areas.
CIV ENG 93,1,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Use of computer programming languages for analysis of CEE-related data and problems. The course also introduces the student to various domains of uncertainty analysis
CIV ENG 98,1,Supervised group study and research by lower division students.
CIV ENG 99,1,Supervised independent study by lower division students.
CIV ENG 100,1,"Fluid statics and dynamics, including laboratory experiments with technical reports. Fundamentals: integral and differential formulations of the conservation laws are solved in special cases such as boundary layers and pipe flow. Flow visualization and computation techniques are introduced using Matlab. Empirical equations are used for turbulent flows, drag, pumps, and open channels. Principles of empirical equations are also discussed:"
CIV ENG 101,1,"Analysis of steady and unsteady open-channel flow and application to rivers and streams. Examination of mixing and transport in rivers and streams. Effects of channel complexity. Floodplain dynamics and flow routing. Interaction of vegetation and fluid flows. Freshwater and tidal marshes. Sediment transport in rivers, streams, and wetlands. Implications for freshwater ecosystem function."
CIV ENG 103,1,"Course addresses principles and practical aspects of hydrology. Topics in introduction to hydrology include hydrologic cycle, precipitation, evaporation, infiltration, snow and snowmelt, and streamflow; introduction to geomorphology, GIS (Geographic Information Systems) applications, theory of unit hydrograph, frequency analysis, flood routing through reservoirs and rivers; introduction to rainfall-runoff analyses, watershed modeling, urban hydrology"
CIV ENG C103N,1,"A quantitative introduction to the hydrology of the terrestrial environment including lower atmosphere, watersheds, lakes, and streams. All aspects of the hydrologic cycle, including precipitation, infiltration, evapotranspiration, overland flow, streamflow, and groundwater flow. Chemistry and dating of groundwater and surface water. Development of quantitative insights through problem solving and use of simple models. This course"
CIV ENG 105,1,"Hands-on design course in applied fluid mechanics, hydrology and water resources. Course goes beyond basic examples of fluid flow to develop environmental engineering solutions to real-world problems. A class team project is used to (1) explore the design process and project management; and (2) to integrate concepts from hydrology and fluid mechanics with structural, geotechnical and/or transportation engineering for a holistic design approach."
CIV ENG C106,1,"This course is an introduction to air pollution and the chemistry of earth's atmosphere. We will focus on the fundamental natural processes controlling trace gas and aerosol concentrations in the atmosphere, and how anthropogenic activity has affected those processes at the local, regional, and global scales. Specific topics include stratospheric ozone depletion, increasing concentrations of green house gasses, smog, and changes in the oxidation"
CIV ENG 107,1,"Assessment of technological options for responding to climate change. Overview of climate-change science; sources, sinks, and atmospheric dynamics of greenhouse gases. Current systems for energy supply and use. Renewable energy resources, transport, storage, and transformation technologies. Technological opportunities for improving end-use energy efficiency. Recovery, sequestration, and disposal of greenhouse gases. Societal context for implementing"
CIV ENG 110,1,"This course will familiarize students with the complex infrastructure used to meet human water demands; competing uses and demands; water and wastewater infrastructure; technologies to enable recovery of water, energy, and other resources from wastewater; supply planning; trends and forecasting; costs, pricing and financing; environmental justice; methods to assess sustainability; regulatory, policy and institutional challenges; and water's"
CIV ENG 111,1,"Quantitative overview of air and water contaminants and their engineering control. Elementary environmental chemistry and transport. Reactor models. Applications of fundamentals to selected current issues in water quality engineering, air quality engineering, air quality engineering, and hazardous waste management."
CIV ENG 111L,1,"This laboratory course is designed to accompany the lecture topics in Civil Engineering 111. Each laboratory activity will provide an opportunity to understand key concepts in water and air quality through hands-on experimentation. Laboratory topics include phase partitioning, acid/base reactions, redox reactions, biochemical oxygen demand, absorption, gas transfer, reactor hydraulics, particle destablization, disinfection, and combustion emis"
CIV ENG 112,1,"Engineering design and project management of environmental systems. Students will complete a design project focusing on pollution control in a selected environmental system. Lectures and project activities will address process design, economic optimization, legal and institutional constraints on design, and project management. Additional components of design (e.g., hydraulics, engineering sustainability, plant structures) will be include"
CIV ENG 113,1,"Ecological engineering approaches for treating contaminated water using natural processes to improve water quality. Emphasis on combining basic science and engineering approaches to understand the fundamental processes that govern the effectiveness of complex natural treatment systems. Applications include constructed wetlands, waste stabilization ponds, stormwater bioretention, decentralized wastewater management, ecological sanitation. Laboratory"
CIV ENG 114,1,"The scope of modern environmental engineering requires a fundamental knowledge of microbial processes with specific application to water, wastewater and the environmental fate of pollutants. This course will cover basic microbial physiology, biochemistry, metabolism, growth energetics and kinetics, ecology, pathogenicity, and genetics for application to both engineered and natural environmental systems."
CIV ENG 115,1,"The application of principles of inorganic, physical, and dilute solution equilibrium chemistry to aquatic systems, both in the aquatic environment and in water and wastewater treatment processes."
CIV ENG C116,1,Chemical mechanisms of reactions controlling the fate and mobility of nutrients and pollutants in soils. Role of soil minerals and humus in geochemical pathways of nutrient biovailability and pollutant detoxification. Chemical modeling of nutrient and pollutant soil chemistry. Applications to soil acidity and salinity.
CIV ENG 120,1,"Introduction to design and analysis of structural systems. Loads and load placement. Proportioning of structural members in steel, reinforced concrete, and timber. Structural analysis theory. Hand and computer analysis methods, validation of results from computer analysis. Applications, including bridges, building frames, and long-span cable structures."
CIV ENG 121,1,"Theory and application of structural analysis. Stiffness and flexibility methods, with emphasis on the direct stiffness method. Equilibrium and compatibility. Virtual work. Response of linear and simple nonlinear structures to static loads. Use of computer programs for structural analysis. Modeling of two- and three-dimensional structures. Verification and interpretation of structural response."
CIV ENG 122L,1,"Introduction to one or more comprehensive structural design problems. Design teams will conceive structural system; determine design loads; conduct preliminary and final design of structure and its foundation; prepare construction cost estimate; prepare final report containing project description, design criteria, cost estimate, structural drawings, and supporting calculations; and make ""client"" presentations as required."
CIV ENG 122N,1,"Introduction to materials and methods of steel construction; behavior and design of tension members, compression members, flexural members and beam-columns; design of welds, bolts, shear connections and moment connections; design of spread footings or other foundation elements, inroduction to design of earthquake-resistant steel structures including concentrically braced frames and moment frames."
CIV ENG 123L,1,"Introduction to one or more comprehensive structural design problems. Design teams will conceive structural system; determine design loads; conduct preliminary and final design of structure and its foundation; prepare construction cost estimate; prepare final report containing project description, design criteria, cost estimate, structural drawings, and supporting calculations; make ""client"" presentations as required."
CIV ENG 123N,1,"Introduction to materials and methods of reinforced concrete construction; behavior and design of reinforced concrete beams and one-way slabs considering deflections, flexure, shear, and anchorage; behavior and design of columns; design of spread footings or other foundation elements; design of earthquake-resistant structures; introduction to prestressed concrete."
CIV ENG 124,1,"Characteristics and properties of wood as a structural material; design and detailing of structural elements and entire structures of wood. Topics include allowable stresses, design and detailing of solid sawn and glulam beams and columns, nailed and bolted connections, plywood diaphragms and shear walls. Case studies."
CIV ENG 126,1,"Introduction to the dynamics of particles, rigid bodies, and deformable solids in civil engineering. Newtonian and Lagrangian formulations. Vibration of particles and rigid body systems: natural frequencies and mode shapes, free and forced vibration. Vibration of continuous systems: bars, strings, beams. Modeling and numerical simulation methods.."
CIV ENG 130N,1,"Elastic and plastic stress and deformation analysis of bars, shafts, beams, and columns; energy and variational methods; plastic analysis of structures; stability analysis of structures; computer-aided mathematical techniques for solution of engineering problems and modular computer programming methods."
CIV ENG 132,1,"Concepts of theory of solid mechanics: three dimensional stress, strain, and material response; elastic and inelastic boundary value problems; fracture, fatigue, and geometric instability. Problems in advanced strength of materials; thin plate and axis-symmetric shell theory."
CIV ENG C133,1,"This is an introductory course on the finite element method and is intended for seniors in engineering and applied science disciplines. The course covers the basic topics of finite element technology, including domain discretization, polynomial interpolation, application of boundary conditions, assembly of global arrays, and solution of the resulting algebraic systems. Finite element formulations for several important field equations are introduced"
CIV ENG 140,1,"The failure mechanisms in civil engineering materials (cement-based materials, metallic- and polymer-based materials) are associated with processing, microstructure, stress states, and environmental changes. Fracture mechanics of brittle, quasi-brittle, and ductile materials; cracking processes in monolithic, particulate, and fiber reinforced materials; examples of ductile/brittle failure transitions in civil engineering structures; retrofitting"
CIV ENG 153,1,"A capstone class with the objective to design transportation facilities based on operational capacity, site constraints, and environmental design considerations. Emphasis on airports, including landside and airside elements, and environmental assessment and mitigation techniques."
CIV ENG 155,1,"Operation, management, control, design, and evaluation of passenger and freight transportation systems. Their economic role. Demand analysis. Overall logistical structure. Performance models and modeling techniques: time-space diagrams, queuing theory, network analysis, and simulation. Design of control strategies for simple systems. Feedback effects. Paradoxes. Transportation impact modeling; noise; air pollution. Multi-criteria evaluation"
CIV ENG 156,1,"This course focuses on physical infrastructure systems that support society, including transportation, communications, power, water, and waste. These are complex, large-scale systems that must be planned and managed over a long-term horizon. Economics-based, analytical tools are covered, including topics of supply, demand, and evaluation. Problem sets, case studies, and a class project provide for hands-on experience with a range of infrastructure"
CIV ENG 165,1,"Concrete materials: cements, supplementary cementitious materials, water, and admixtures. Sustainability analysis of concrete materials and mixtures. Development of special concretes: self-leveling concrete, high-performance concrete, and mass concrete. Consideration of sustainability of concrete construction methods used for buildings, highways, airfields, bridges, dams and other hydraulic structures. Non-destructive methods. Discussion"
CIV ENG 166,1,"Introduction to construction engineering and field operations. The construction industry, construction methods and practice, productivity improvement, equipment selection, site layout formwork, erection of steel and concrete structures. Labs demonstrate the concepts covered. Field trips to local construction projects."
CIV ENG 167,1,"Principles of economics, decision making, and law applied to company and project management. Business ownership, liability and insurance, cash flow analysis, and financial management. Project life-cycle, design-construction interface, contracts, estimating, scheduling, cost control."
CIV ENG 171,1,"Geological and geophysical exploration for structures in rock; properties and behavior of rock masses; rock slope stability; geological engineering of underground openings; evaluation of rock foundations, including dams."
CIV ENG 173,1,"Introduction to principles of groundwater flow, including steady and transient flow through porous media, numerical analysis, pumping tests, groundwater geology, contaminant transport, and design of waste containment systems."
CIV ENG 174,1,"Engineering Geomatics is a field that integrates collections, processing, and analysis of digital geospatial data. This new field is anchored in the established field of geodetics that describes the complex shape of the Earth, elements and usage of topographic data and maps. Basic and advanced GPS satellite mapping. Digital globe technology. Advanced laser-LIDAR mapping. Quantitative"
CIV ENG 175,1,"Soil formation and identification. Engineering properties of soils. Fundamental aspects of soil characterization and response, including soil mineralogy, soil-water movement, effective stress, consolidation, soil strength, and soil compaction. Use of soils and geosynsynthetics in geotechnical and geoenvironmental applications. Introduction to site investigation techniques. Laboratory testing and evaluation of soil composition and propert"
CIV ENG 176,1,"Principles of environmental geotechnics applied to waste encapsulation and remediation of contaminated sites. Characterization of soils and wastes, engineering properties of soils and geosynthetics and their use in typical applications. Fate and transport of contaminants. Fundamental principles and practices in groundwater remediation. Application of environmental geotechnics in the design and construction of waste containment systems. Discussion"
CIV ENG 177,1,"Principles of foundation engineering. Shear strength of soil and theories related to the analysis and design of shallow and deep foundations, and retaining structures. Structural design of foundation elements; piles, pile caps, and retaining structures. The course has a group project that incorporates both geotechnical and structural components of different foundation elements."
CIV ENG C178,1,"The theory and practice of geophysical methods for determining the subsurface distribution of physical rock and soil properties. Measurements of gravity and magnetic fields, electrical and electromagnetic fields, and seismic velocity are interpreted to map the subsurface distribution of density, magnetic susceptibility, electrical conductivity, and mechanical properties."
CIV ENG 179,1,"Geosystem engineering design principles and concepts. Fundamental aspects of the geomechanical and geoenvironmental responses of soil are applied to analyze and design civil systems, such as earth dams and levees, earth retention systems, building and bridge foundations, solid-waste fills, and tailings dams. Students form teams to design geotechnical aspects of a civil project and prepare/present a design document. Field trip to a project si"
CIV ENG 180,1,"Course encompasses two design aspects of a civil and environmental engineering system: 1) Design of whole system, component, or life-cycle phase, subject to engineering standards and constraints, and 2) production system design (e.g., cost estimation and control, scheduling, commercial and legal terms, site layout design). Students form teams to address real-life projects and prepare project documentation and a final presentation."
CIV ENG 186,1,"Design and prototype of large-scale technology intensive systems. Design project incorporating infrastruture systems and areas such as transportation and hydrology; for example, watershed sensor networks, robot networks for environmental management, mobile Internet monitoring, open societal scale systems, crowd-sources applications, traffic management. Design of sensing and control systems, prototyping systems, and measures of system performance."
CIV ENG 190,1,This course covers current topics of interest in civil and environmental engineering. The course content may vary from semester to semester depending upon the instructor
CIV ENG 191,1,"This course is organized around five real-world large-scale CEE systems problems. The problems provide the motivation for the study of quantitative tools that are used for planning or managing these systems. The problems include design of a public transportation system for an urban area, resource allocation for the maintenance of a water supply system, development of repair and replacement policies for reinforced concrete bridge decks, traffic"
CIV ENG 192,1,"A series of lectures by distinguished professionals designed to provide an appreciation of the role of science, technology, and the needs of society in conceiving projects, balancing the interplay of conflicting demands, and utilizing a variety of disciplines to produce unified and efficient systems."
CIV ENG 193,1,"Applications of probability theory and statistics in planning, analysis, and design of civil engineering systems. Development of probabilistic models for risk and reliability evaluation. Occurrence models; extreme value distributions. Analysis of uncertainties. Introduction to Bayesian statistical decision theory and its application in engineering decision-making."
CIV ENG H194,1,Supervised research. Students who have completed 3 or more upper division courses may pursue original research under the direction of one of the members of the staff. A final report or presentation is required. A maximum of 4 units of H194 may be used to fulfill the technical elective requirement.
CIV ENG 197,1,Supervised experience in off-campus companies relevant to specific aspects and applications of civil engineering. Written report required at the end of the semester.
CIV ENG 198,1,Group study of a selected topic or topics in civil engineering.
CIV ENG 199,1,Supervised independent study.
