name,size,about
COG SCI 1,1,"This course introduces the interdisciplinary field of cognit
ive science. Lectures and readings will survey research from
 artificial intelligence, pyschology, linguistics, philosoph
y, and neuroscience, and will cover topics such as the natur
e of knowledge, thinking, remembering, vision, imagery, lang
uage, and consciousness. Sections will demonstrate some of t
he major methodologies."
COG SCI 1B,1,"This course introduces the interdisciplinary field of cognit
ive science. Lectures and readings will survey research in s
uch fields as artificial intelligence, psychology, linguisti
cs, philosophy, and neuroscience, and will cover topics such
 as the nature of knowledge, thinking, remembering, vision, 
imagery, language, and consciousness."
COG SCI N1,1,"This course introduces the interdisciplinary field of cognit
ive science. Lectures and readings will survey research in s
uch fields as artificial intelligence, psychology, linguisti
cs, philosophy, and neuroscience, and will cover topics such
 as the nature of knowledge, thinking, remembering, vision, 
imagery, language, and consciousness. Sections will demonstr
ate some of the major"
COG SCI 88,1,"How does the human mind work? We explore this question by an
alyzing a range of data concerning such topics as human rati
onality and irrationality, human memory, how objects and eve
nts are represented in the mind, and the relation of languag
e and cognition. This class provides students with critical 
thinking and computing skills that will allow them to work w
ith data in cognitive science and related disciplines."
COG SCI 98,1,"Seminar for the group study of selected topics. Topics may b
e initiated by students subject to the approval of the major
 advisor."
COG SCI 99,1,Independent study and research by arrangement with faculty.
COG SCI C100,1,"Theoretical foundations and current controversies in cogniti
ve science will be discussed. Basic issues in cognition--inc
luding perception, imagery, memory, categorization, thinking
, judgment, and development--will be considered from the per
spectives of philosophy, psychology, computer science, and p
hysiology. Particular emphasis will be placed on the nature,
 implications, and limitations of the computational model of
 mind."
COG SCI N100,1,"Theoretical foundations and current controversies in cogniti
ve science will be discussed. Basic issues in cognition--inc
luding perception, imagery, memory, categorization, thinking
, judgment, and development--will be considered from the per
spectives of philosophy, psychology, computer science, and p
hysiology. Particular emphasis will be placed on the nature,
 implications, and"
COG SCI C101,1,"Conceptual systems and language from the perspective of cogn
itive science. How language gives insight into conceptual st
ructure, reasoning, category-formation, metaphorical underst
anding, and the framing of experience. Cognitive versus form
al linguistics. Implications from and for philosophy, anthro
pology, literature, artificial intelligence, and politics."
COG SCI C102,1,"This course will examine the nature of human consciousness f
rom the interdisciplinary perspective of cognitive science. 
It will cover topics from the philosophy of mind, cognitive 
linguistics, neuroscience, psychology, and computational mod
els."
