name,size,about
ARMENI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
ARMENI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
ARMENI 101A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
ARMENI 101B,1,"Terms offered: Spring 2019, Spring 2018, Spring 2017"
ARMENI 102,1,"Terms offered: Spring 2020, Spring 2017"
ARMENI 124,1,"Terms offered: Spring 2020, Spring 2018, Spring 2016"
ARMENI 126,1,"Terms offered: Spring 2019, Spring 2017"
BOSCRSR 27A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
BOSCRSR 27B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
BOSCRSR 117A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
BOSCRSR 117B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
CZECH 26A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
CZECH 26B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
CZECH 116A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
CZECH 116B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
CZECH 163,1,Terms offered: Spring 2017
HUNGARI 1A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
HUNGARI 1B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
HUNGARI 100,1,"Terms offered: Spring 2020, Fall 2019, Fall 2017"
POLISH 25A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
POLISH 25B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
POLISH 115A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
POLISH 115B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
SLAVIC R5A,1,"Reading and composition course based on works of Russian and other Slavic writers, either written in English or translated into English. As students develop strategies of writing and interpretation, they will become acquainted with a particular theme in Russian and/or Slavic literatures and their major voices. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half."
SLAVIC R5B,1,"Reading and composition course based on works of Russian and other Slavic writers, either written in English or translated into English. As students develop strategies of writing and interpretation, they will become acquainted with a particular theme in Russian and/or Slavic literatures and their major voices. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the"
SLAVIC 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen."
SLAVIC 36,1,Readings in English of representative texts from the Russian literary tradition. Variable topics.
SLAVIC 39,1,Freshman and Sophomore seminars offer lower-division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
