source,target,type,weight
THEATER 10,THEATER 40,directed,3
THEATER 10,THEATER 45,directed,3
THEATER 5,THEATER 84,directed,3
THEATER 10,THEATER 84,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 141,directed,3
THEATER 10,THEATER 142,directed,3
THEATER 10,THEATER 143,directed,3
THEATER 10,THEATER 145,directed,3
THEATER 10,THEATER 147A,directed,3
THEATER 10,THEATER 147B,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 60,THEATER 167,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 173,THEATER 179,directed,3
THEATER 174,THEATER 179,directed,3
THEATER 60,THEATER H195A,directed,3
THEATER 60,THEATER H195A,directed,3
THEATER 146B,THEATER H195A,directed,3
THEATER H195A,THEATER H195B,directed,3
THEATER 60,THEATER 196,directed,3
THEATER 60,THEATER 196,directed,3
THEATER 146B,THEATER 196,directed,3
THEATER 10,THEATER 197,directed,3
THEATER 10,THEATER 199,directed,3
THEATER 5,THEATER R1B,directed,3
THEATER 10,THEATER 40,directed,3
THEATER 10,THEATER 45,directed,3
THEATER 5,THEATER 84,directed,3
THEATER 10,THEATER 84,directed,3
THEATER 10,THEATER 105,directed,3
THEATER 14,THEATER 105,directed,3
THEATER 10,THEATER 109,directed,3
THEATER 10,THEATER 110A,directed,3
THEATER 109,THEATER 110A,directed,3
THEATER 10,THEATER 110B,directed,3
THEATER 109,THEATER 110B,directed,3
THEATER 110A,THEATER 111,directed,3
THEATER 110B,THEATER 111,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 10,THEATER 112,directed,3
THEATER 111,THEATER 115,directed,3
THEATER 10,THEATER 141,directed,3
THEATER 10,THEATER 142,directed,3
THEATER 10,THEATER 143,directed,3
THEATER 10,THEATER 145,directed,3
THEATER 10,THEATER 147A,directed,3
THEATER 10,THEATER 147B,directed,3
THEATER 10,THEATER 162,directed,3
THEATER 162,THEATER 163,directed,3
THEATER 60,THEATER 167,directed,3
THEATER 179,THEATER 169,directed,3
THEATER 175A,THEATER 175B,directed,3
THEATER 173,THEATER 179,directed,3
THEATER 174,THEATER 179,directed,3
THEATER 60,THEATER H195A,directed,3
THEATER 60,THEATER H195A,directed,3
THEATER 146B,THEATER H195A,directed,3
THEATER H195A,THEATER H195B,directed,3
THEATER 60,THEATER 196,directed,3
THEATER 60,THEATER 196,directed,3
THEATER 146B,THEATER 196,directed,3
THEATER 10,THEATER 197,directed,3
THEATER 10,THEATER 199,directed,3
