name,size,about
THEATER R1A,1,"Reading and composition in connection with the study of dramatic literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
THEATER R1B,1,"Reading and composition in connection with the study of dramatic literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
THEATER 5,1,"Students will learn to present themselves and material clearly, confidently, and persuasively, using age-old arts of oral communication. They will learn techniques for overcoming stage fright, developing clear enunciation, finding and using their natural, unaffected vocal register, varying tone and intonation to hold audience interest, controlling pacing, moving with assurance and purpose, using appropriate"
THEATER 10,1,"Fundamentals of Acting I (Theater 10) is the entry level course for the acting sequence and focuses on releasing and cultivating the actor’s inherent creativity. Through exercises, improvisation, scenes, and monologues, the actor begins to develop basic techniques designed to stimulate the imagination, develop vocal and physical ability, increase awareness of self and others, introduce effective ways to analyze texts,"
THEATER 14,1,"Workshop involving performers in collaborative development of new performance; topics include cross-disciplinary arts, solo performance, language, and movement."
THEATER 20U,1,"Course provides a critical introduction to both London and its theatre for first year undergraduate students. The course, which is part of a university study abroad program, examines the production of current theatre and performance in the city with an emphasis on staged performance backed up by selected critical and creative texts. Alongside these artistic acts students will be introduced to ways in which the city of London itself is a landscape of continuous"
THEATER 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
THEATER 25AC,1,"This course provides an introduction to theater through the study of values and issues fundamental to cultural identity, the comparison of selected cultural groups and their relationship to American society as a whole, and the study of drama as an instrument for understanding and expressing cultural identity. Theater of specific cultural groups to be included will be determined by the availability of live theater productions offered on campus"
THEATER 26,1,"This course introduces the critical terms and practices of the contemporary study of performance. Several key terms and important genres of artistic and social performance will be engaged; the course will draw critical and disciplinary methods from anthropology and ethnography, from the theory of dance and theater, from literary and cultural theory. Critical and theoretical concepts will be used to analyze a wide range of live and recorded performances"
THEATER 39,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
THEATER 40,1,"Introduction to dance techniques. Study of foundational concepts of movement such as: principles of alignment, locomotion, dance terminology, and musicality."
THEATER 45,1,"Introduction to African dance techniques found within Hip Hop and African American dance genres. Focus on footwork/patterns, articulation of spine/isolations, rhythmic structures, dynamic movement qualities, and the study of the historical, political, spiritual, and social aspects of these forms."
THEATER 52AC,1,"Dance as a meaning-making expressive form. Develop the tools necessary for looking at dance, analyzing it, writing about it, and understanding its place in larger social, cultural, political structures. We will look at a variety of U.S. American dance genres, understanding them through their historical and cultural contexts, to explore how issues of race, gender, sexuality and class affect the practice and the reception of different dance forms"
THEATER 60,1,"A practical introduction to the terminology, theories, approaches, and techniques of technical theater and production. The course will cover theatrical terminology, stage equipment and architecture, production personnel and processes, and design departments, including scenery, properties, costumes, lighting, sound, and video."
THEATER 66,1,"Topics vary from semester to semester and have included The Power of Music and Poetry in the Theater; Modern Drama and Theater, 1940 to the Present; Theaters, Tricksters, and Cultural Exchange; Art as Social Action; and The Invisible World (Process Seminar)."
THEATER 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
THEATER 98,1,Group study of a topic not included in the regular department curriculum. Topics may be initiated by students.
THEATER 99,1,Study of a topic not included in the regular department curriculum.
THEATER 100,1,"This is a project-based class in collaborative innovation where students experience group creativity and team-based design by using techniques from across the disciplines of business, theatre, design, and art practice. They will leverage problem framing and solving techniques derived from critical thinking, systems thinking, and creative problem solving (popularly known today as design thinking). The course is grounded in a brief weekly lecture"
THEATER 105,1,"Movement for Actors explores the kinesthetic relationship of the actor to the physical reality of the stage; focus is given to increasing the individual performer’s awareness, range, physical freedom, and artistic expressiveness. The individual actor will work toward developing a grounded relationship to the surrounding environment while having an ability to work from an active center. Throughout the semester, students will explore the principles of ensemble"
THEATER C107,1,Reading and discussion of Ibsen's major plays. Readings and discussion in English.
THEATER C108,1,Reading and discussion of Strindberg's major works; emphasis on his dramas and their significance. Readings and discussion in English.
THEATER 109,1,"Fundamentals of Acting II (Theater 109) continues working with and expands upon basic concepts introduced in Fundamentals of Acting I (Theater 10). Through exercises, improvisation, scenes, and monologues, the actor works toward the goal of increasing range, depth, and flexibility; students work on more complex texts which require in-depth research and stronger imagination to inhabit."
THEATER 110A,1,"While continuing the work begun in Fundamentals of Acting I and II (Theater 10 and 109), Scene Study and Style focuses on the actor’s relationship with multiple genres and forms of drama; increased focus is given to the specific demands and responsibilities of performing with heightened language and the complexities of characterization and style; emphasis is also given to achieving an understanding of dramatic action, developing technical proficiency"
THEATER 110B,1,"While continuing work begun in Theater 10 & 109, Interm. Acting: Shakespeare (110B) examines the actor’s process through the specific lense of Shakespeare, exploring the unique challenges and rewards of his work; increased focus is given to the demands and responsibilities of performing the heightened language of Shakespeare’s verse and prose, and the complexities of his characterization and style; emphasis is also given to achieving"
THEATER 111,1,"Advanced Acting Studio (Theater 111) finishes the acting technique progression that begins with Fundamentals of Acting I (Theater 10). Through scene-work, monologues, and exercises, the actor stretches and strengthens acting techniques, voice, movement, and speech; particular attention is given to character development and style; students also develop classical and contemporary audition material."
THEATER 112,1,"Voice and Speech works to strengthen, support, and develop the natural voice through practice on basic relaxation techniques, breath, resonance, articulation, and presence. The course explores the voice through a variety of texts and uses the International Phonetic Alphabet (IPA-narrow transcription) to enhance range, clarity of speech, and to prepare students for beginning work in dialect."
THEATER 113,1,"This course will explore what is involved in the performer's art through class participation, writing, discussion, and final exam. It includes lectures on classical and contemporary theater, acting training, literature study, and attendance at many professional theater performances. Enrollment is open to all applicants without audition, and the performance aspects of the class will be responsive"
THEATER 113A,1,"This course will explore what is involved in the performer's art through class participation, writing, discussion, and final exam. It includes lectures on classical and contemporary theater, acting training, literature study, and attendance at many professional theater performances. Enrollment is open to all applicants without audition, and the performance aspects of the class will be responsive to the skill level of the students who enroll."
THEATER 113B,1,"The course is an immersive 6-week performance cultural experience in Brazil rooted in social justice and black feminist pedagogy. Students will become familiar with histories and contemporary debates of performance of the African diaspora. No previous performance or language experience is required. The focus will be on the movement and vocabularies of the Candomblé tradition with some exposure to music, film"
THEATER 114,1,"Advanced performance workshop with research including performance-based methodology, theory, and analytical research skills in developing written and performance works. Topics include cross-disciplinary arts, dramaturgy, and collaborative practice."
THEATER 115,1,"Intensive group study, rehearsal, and performance of a play or selected dramatic pieces."
THEATER 117AC,1,"How might we characterize California? Who lives here & what are the stories we tell about them? This course takes California as the site through which to explore how cultural systems of performance help shape social systems of race, considering the role performance forms–theater, film, tourism, pageants, political protests–have played in shaping California’s unique cultural and racial topography. From the theatricalization"
THEATER 118AC,1,"This course examines the intersections of performance and media--specifically the media forms of television and social media in the U.S.--with a focus on how various types of difference (race, ethnicity, gender, sexuality, and socioeconomic class) are enacted, articulated, represented, and played on TV and social media platforms."
THEATER 119,1,"An examination of a theoretical topic or perspective on performance, with specific attention to the interface between theoretical endeavor and dramatic, nondramatic, and nontheatrical modes of performance; may involve visiting artists. Topics vary from semester to semester."
THEATER 121,1,"An examination of performance as an aspect of cultural production, ranging from everyday-life enactment to more formal or aesthetic activities associated with ""artistic"" production; may involve visiting artists. Specific attention to the methods of ethnography, cultural studies, and intercultural performance analysis. Topics vary from semester to semester."
THEATER 125,1,"An examination of the historical conditions of performance, either given in a historical period or comparatively, with specific attention to the relationship between methods of historical studies and performance; may involve visiting artists. Topics vary from semester to semester."
THEATER 125D,1,"An examination of the historical conditions of performance, either given in a historical period or comparatively, with specific attention to the relationship between methods of historical studies and performance; may involve visiting artists. Topics vary from semester to semester."
THEATER 126,1,"An examination of the formal, ideological, and cultural dynamics of drama, with specific attention to the relationship between methods of literary studies and performance; may involve visiting artists. Topics vary from semester to semester."
THEATER 139A,1,"A practical course for beginning playwrights. Through lecture, exercises, in class readings and group discussion, the class will explore the practical craft elements of playwriting along with the function of personal voice in one’s work. Students will write one short and one longer form play during the semester."
THEATER 139B,1,This course will focus on the writing of a full-length theatrical work. A more critical analysis of the playwriting process with particular emphasis on how a playwright’s aesthetic and intellectual point of view inform the work. Instructor approval is a requirement for the course.
THEATER 140,1,"Introduces students to foundational principles necessary to teach practice-based courses that involve movement, dance, and/or physical activity and expression. Designed for undergraduate students interested in pursuing teaching. Students should be prepared to engage in practical exercises as well as the study pedagogical theories and methods."
THEATER 141,1,"Continued development of dance techniques. Study of body articulation and control utilizing concepts of time, space, and dynamics."
THEATER 142,1,"Refinement of dance techniques as well as qualitative analysis and demonstration of movement with an emphasis on rhythm, dynamics, and style."
THEATER 143,1,Practical application of previously studied theory and techniques of dance with an emphasis on development of individual movement style.
THEATER 144,1,"Beginning application of dance technique as a means of communication in the theatre. Use of basic technical fundamentals as a means of extending natural movement in rhythm, energy, and space with emphasis on style and qualitative analysis."
THEATER 145,1,"Continued study of African dance found within Hip Hop and African American dance genres. Continued, and deepening, focus on footwork/patterns, articulation of spine/isolations, rhythmic structures, dynamic movement qualities, and the historical, political, spiritual, and social aspects of these forms."
THEATER 146A,1,Analysis of choreographic theories of form and structure and their practical application within solo and duet compositions
THEATER 146B,1,Analysis of choreographic theories of form and structure and their practical application within group compositions.
THEATER 147A,1,"This course is designed for contemporary/modern dancers interested in learning ballet vocabulary, technique, and alignment principles in order to support their contemporary/modern training. The course is intended to be taken in conjunction with one of the modern/contemporary dance technique courses offered by TDPS (40, 141, or 142). Beginning level. Audition first day of class."
THEATER 147B,1,"This course is designed for contemporary/modern dancers interested in expanding their ballet vocabulary, improving ballet technique, and learning new approaches to taking ballet class. The course is intended to be taken in conjunction with one of the modern/contemporary dance technique courses offered by TDPS (40, 141, or 142) and requires that students have intermediate (or above) proficiency with ballet technique. Audition first day of class."
THEATER 148,1,"This course is an introduction to the foundational principles of movement improvisation. Through guided movement exercises and experiences, readings, discussions, observations, and journaling students will broaden their ability to move expressively and in the moment. They will learn skills that explore concepts of time, space, energy, shape and dynamics. The course will develop students’ choreographic tools and performance abilities, and"
THEATER 151A,1,"This history survey course examines performance’s role in mass movements: of politics, of religion, of revolution, and of the creation of communities around nations, traditions, or cultures.The course will explore a cluster of different theater/performance traditions, both Western and non-Western. Using a comparative methodology rather than cumulative one, students learn to appreciate the diversity of theater and performance strategies and traditions"
THEATER 151B,1,"This history survey course focuses on the relationship between individual desires or expression and the larger community or culture(s) represented in performance. The course investigates performance as a mode of imitation and examines the role of performance in depicting the ""real world."" The course will begin with an investigation of the importance of mimesis in Western theatrical traditions but will focus on revisions to, rejections"
THEATER 162,1,"Beginning study of principles of stage composition, blocking, and analysis of dramatic texts for the director."
THEATER 163,1,Study of principles and practice of stage directing.
THEATER 166,1,"Topics vary from semester to semester and have included The Power of Music and Poetry in the Theater; Modern Drama and Theater, 1940 to the Present; Theaters, Tricksters, and Cultural Exchange; Art as Social Action; and The Invisible World (Process Seminar)."
THEATER 167,1,"Participation in technical theater practice associated with department theater and dance productions to include technical run crew for live performance in one of: lighting, sound, video, properties, costumes, make-up, scenery, deck, and rail."
THEATER 168,1,"Participation in technical theater practice associated with department theater and dance productions to include workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting, video, and sound for live performance."
THEATER 169,1,"Participation in advanced technical theater practice associated with department theater and dance productions to include lead, head, or coordinator position with technical run crew for live performance in one of: lighting, sound, video, properties, costumes, make-up, scenery, deck, rail, or advanced application of workshop activities (fabrication, treatment, and installation) in one or more of: costumes, hair, make-up, scenery, properties, lighting"
THEATER 171,1,Practice in acting and/or dance in Dramatic Art productions.
THEATER 172,1,"Study of production techniques and procedures related to production management, stage management, and theater administration."
THEATER 173,1,"This introductory course teaches some fundamentals of scenic design. Design for live performance will be approached as an integration of all the performative tools – text, visuals, sound, space, kinetics, etc – with particular focus in this class on the overall scenographic environment. Through personal development and group explorations students will be given basic conceptual and art-making tools allowing them to evolve, communicate and realize"
THEATER 174,1,"This studio class explores some fundamental approaches and techniques for designing costume. Performance design will be approached as a product of all the performative tools and contexts – text, visuals, sound, space, kinetics, etc – with particular focus for this class on the scenographic role of the performer. Through personal expression and collaborative investigation students will be given some basic tools allowing them to conceptualize"
THEATER 175A,1,
THEATER 175B,1,This is the second of two classes in stage lighting design and execution. In 
THEATER 176,1,"Students of technical theater design (possible specializations: lighting, set, costume, sound, video) are provided experience, structure, and support in the practical application of design to the stage in departmental productions. Interaction and team approach of the designers will be promoted from the earliest stages of conceptualization through the opening night and the run of the production(s)."
THEATER 177,1,"In this course, undergraduate students will learn to construct sound cues and soundtracks for theater performances and videos using industry standard software, and will learn fundamental principles of incorporating video and sound into stage productions. Students will be exposed to the writings and works of prominent sound theorists, designers, and engineers and multimedia performance artists. The most successful students may be invited to participate"
THEATER 178,1,"Video Production for Performance is a workshop class in which students will explore a broad range of video applications to performance. Through a series of exercise video shoots students learn the fundamentals of video production, including basic optics, camera angles and movement, sound recording, and editing. With an additional emphasis on concept and planning, students prepare for and execute a sustained video project—a detailed documentation"
THEATER 179,1,"Students are trained in the working methods of set or costume design; supervised preparation and implementation of designs in the department's production season, from initial discussions through opening night."
THEATER 180,1,"This course relates choreography to theatrical presentation. Laboratory hours are spent in attendance at rehearsal, coaching sessions, and the performance of the dance concert. The course is taught by faculty choreographing the major dance production in the departmental season."
THEATER 181,1,"This course relates dramatic texts or choreography to theatrical presentation. The lectures are based on the analysis of the work being presented. Laboratory hours are spent in attendance at rehearsal, coaching sessions, and the performance of the play or concert. The course will be taught by faculty involved in the major productions."
THEATER C183A,1,"Introduction to the Research-to Performance Method, African American aesthetics and dramatic performance techniques. Course will survey wide range of writings on performance and investigate applications through exercises and improvisations. Students will also assist in information gathering for works in progress."
THEATER C183B,1,"Development of scholarly material for theatrical presentation and enhancement of dramatic performance techniques through discussions, improvisations and readings of work conceived by the class and/or writers in other African American Studies courses. All source material will be based on the research of scholars in the field of African American Studies."
THEATER C183C,1,Study and production of a play by an African American writer. The play will be studied within its social and historical context. Students will be introduced to the various aspects of theatre production.
THEATER 190,1,"The course examines performance as a primary mode of human expression, communication, & cultural production. Through viewing live & recorded performances, readings, movement/theater exercises, discussions, & written responses to performances, students will learn to place performance in a variety of cultural, artistic & historical contexts. Live performances viewed by the class will vary each term, dependent upon the offerings"
THEATER H195A,1,"Independent study and conferences with faculty sponsor leading to preparation of a major research paper on a single aspect of theater, dance, or performance studies. May include a performance component."
THEATER H195B,1,"Development of subject studied in H195A, either as a bachelor's thesis or a laboratory project in acting, directing, playwriting, design, or dance."
THEATER 196,1,"Individual directorial projects for advanced undergraduates. Research, tryout, callbacks, and rehearsals which result in performing for the public will average 20 hours per week."
THEATER 197,1,"Supervised experience, in connection with theatrical production in field of: scenic construction; costume construction and conservation; theatrical lighting; stage management; publicity; theatre management; production management."
THEATER 198,1,"Supervised group study of special topics, subject to approval by the chair."
THEATER 199,1,Reading and conference with an instructor in an area not corresponding with any regular course.
