name,size,about
NUSCTX 10,1,"This course focuses on relationships between diet and health
, and responses of the human body to diet and food component
s, including macro and micro nutrients, water, phytochemical
s, and alcohol. This course also provides an overview of the
 interplay between nutrients and physiological and behaviora
l responses. Lectures, which address contributions of diet t
o optimal health or disease risk, are based"
NUSCTX 11,1,"Discussion of principles for the evaluation of toxic hazard 
of natural and man-made substances present in the environmen
t, the workplace, food, drink, and drugs. The bases for spec
ies selectivity, individual variations in sensitivity and re
sistance, and the combined effects of toxic agents will be a
ddressed. Issues related to the impact of toxic agents in mo
dern society will be emphasized."
NUSCTX 20,1,"Food insecurity is broadly defined as having unreliable acce
ss to adequate foods resulting in disrupted eating patterns 
or reduced food intake due to a lack of money and other reso
urces for food. NST 20 will improve nutrition-related behavi
ors and support students in need of improving their food sec
urity status. Students whom have limited cooking and food pr
eparation experience will acquire foundational nutrition kno
wledge and basic cooking"
NUSCTX 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Fresh
man seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er."
NUSCTX 30,1,"A survey course of nutrition with an emphasis on the relatio
nships among diet, physical activity, and health; exploratio
n of the changes in the metabolism of carbohydrates, lipids,
 protein and water; discussion of the function of vitamins a
nd minerals; practical application of evidence- based dietar
y recommendations for common sports and varying physical int
ensities."
NUSCTX 98,1,"Study of special topics in nutritional sciences that are not
 covered in depth in regular courses."
NUSCTX 103,1,"Delivery of nutrients from foods to mammalian cells; major m
etabolic pathways; function of nutrients in energy metabolis
m, nitrogen and lipid metabolism, structural tissues and reg
ulation; essentiality, activation, storage, excretion, and t
oxicity of nutrients."
NUSCTX 104,1,"This nutrition course with an anthropological perspective ex
amines why we eat what we eat by addressing environmental, s
ocio-economic, political, cultural, and personal components 
of the human diet. Cuisines from a sampling of countries and
 regions are discussed."
NUSCTX 104AC,1,"This course will broadly address the historical, ecological,
 socioeconomic, biological, political, cultural, and persona
l components of the human diet in addition to nutrition prob
lems, programs, and consumer protection. It is a nutrition c
ourse with an anthropological slant that examines why we eat
 what we eat and contributes to the pursuit of multidiscipli
nary degrees in nutrition policy and planning. As an America
n Cultures course, we will also discuss cuisines"
NUSCTX W104,1,"This course will broadly address the historical, ecological,
 socioeconomic, biological, political, and cultural environm
ents impacting the human diet in addition to nutrition probl
ems, programs, and consumer protection. It is a nutrition co
urse with an anthropological slant that examines why we eat 
what we eat and contributes to the pursuit of multidisciplin
ary degrees in nutrition policy and planning."
NUSCTX 108A,1,"Evaluation of the chemical, physical, functional, and nutrit
ional properities of foods. Emphasis on how these properties
, and prepration, processing, and storage, influence quality
 characteristics of food products."
NUSCTX 108B,1,"Experimental evaluation of the chemical, physical, functiona
l, and nutritional properties of foods, and the changes occu
ring during preparation that affect quality characteristics 
of food products."
NUSCTX 110,1,"A comprehensive survey of the principles of modern toxicolog
y and their applications in evaluating the safety of foods, 
additives and environmental contaminates. Mechanisms of meta
bolic activation, detoxification, gene regulation, and selec
tive toxicity are emphasized."
NUSCTX C114,1,"Chemical composition of pesticides and related compounds, th
eir mode of action, resistance mechanisms, and methods of ev
aluating their safety and activity."
NUSCTX 115,1,"Basic principles and quantitative aspects of drug action and
 risk/benefit as applied to the discovery, design, and devel
opment of human therapeutics. The course will highlight the 
importance of integrating pharmacology, toxicology, and phar
macokinetics to create effective and safe treatments for hum
an disease. Special emphasis will be placed on pharmacogenom
ics and variation in individual response."
NUSCTX 121,1,"Introducing the use of bioinformatics tools useful in linkin
g the molecular structure of chemicals to the toxicity they 
induce in biological systems. Discussions on the highly inte
ractive process of collecting, organizing, and assimilating 
chemistry and toxicology information - and the use of comput
er programs to visualize, browse, and interpret this informa
tion to discover chemical structure-toxicity correlations. T
he importance of these"
NUSCTX 135,1,"Principles of organization and management applied to institu
tional food service systems: production and delivery systems
, management of resources, quality assurance, equipment, lay
out, marketing, personnel management, fiscal management. Lab
oratory experiences, projects and field work in institutiona
l situations."
NUSCTX 145,1,"This course will focus on communicating nutrition messages t
hrough nutrition education and nutrition counseling. Student
s will develop and implement theory-based nutrition educatio
n interventions and conduct mock counseling sessions for var
ious populations and conditions. Strategies for effective nu
trition instruction, counseling, and behavior change will be
 discussed."
NUSCTX C159,1,"Since we eat every day, wouldn't it be useful to learn more 
about human dietary practices? A broad overview of the compl
ex interrelationship between humans and their foods. Topics 
include the human dietary niche, biological variation relate
d to diet, diet and disease, domestication of staple crops, 
food processing techniques and development of regional cuisi
nes, modern diets and their problems, food taboos, human att
itudes toward foods, and"
NUSCTX 160,1,"The physiological bases of human nutrient homeostasis and co
mmon disorders resulting from over and under nutrition will 
be discussed with a specific focus on macronutrients. Topics
 related to nutrient deficiency and excess will include adap
tation to starvation and the effects of caloric restriction 
on life-span, obesity and its complications, lipoprotein met
abolism and cardiovascular disease, as well as a detailed di
scussion of the causes"
NUSCTX 161A,1,"This fall course serves as the first of a two part series th
at addresses the nutritional component of treating disease. 
The Nutrition Care Process of the Academy of Nutrition and D
ietetics provides the framework for nutritional status asses
sment, diagnosis, nutrition intervention, and evaluation. Di
sease pathophysiology, diagnosis, medical and pharmacologica
l treatments, and nutritional therapies for prevention and t
reatment are explored for conditions"
NUSCTX 161B,1,"This is the second course of a two part series that is a con
tinuation of addressing nutrition as a component of disease 
treatment. The Nutrition Care Process will be applied and di
sease pathophysiology, diagnosis, medical and pharmacologica
l treatments and nutritional therapies for prevention and tr
eatment will be explored for various disease states."
NUSCTX 166,1,"This course addresses basic nutrition in the context of the 
community. It explores nutrition programs that serve various
 segments of the population and the relationships of these p
rograms to nutrition policy at the local, national, and inte
rnational levels. Community assessment is used as the basis 
for program planning, implementation, and evaluation. The sp
ecific needs of population groups (infants, children, women,
 and the elderly) are considered"
NUSCTX 170,1,"Basic principles and techniques used in human and animal nut
rition research. Students design, execute, and analyze exper
iments."
NUSCTX 171,1,"Basic principles and techniques used in human and animal nut
rition and toxicology research. Students design, execute, an
d analyze experiments."
NUSCTX 190,1,"Students will be asked to prepare an oral and written report
 on a topic selected from the current research literature in
 nutritional sciences."
NUSCTX 192,1,"This seminar course explores the professional roles and resp
onsibilities of dietitians as well as career opportunities w
ithin the field. Current issues in the practice of dietetics
 will be discussed. Students will do research and present an
 oral report to the class. Each student will begin to develo
p his or her professional portfolio."
NUSCTX 193,1,"Students will be asked to prepare an oral and written report
 on a topic selected from the current research literature in
 toxicology."
NUSCTX 194,1,"This course will cover the changes that are occurring in the
 field of dietetics. Students will explore revisions of the 
national nutritional standards and guidelines, issues relate
d to complementary and alternative nutrition practices, the 
area of genomics as it is expected to affect practice, profe
ssional ethics in the changing health care environment, reim
bursement for professional services, legislation related to 
the field of dietetics"
NUSCTX H196,1,"Supervised independent honors research specific to aspects o
f the Nutritional Science and Toxicology major, followed by 
an oral presentation, and a written report."
NUSCTX 197,1,"Supervised experience in off-campus organizations relevant t
o specific aspects of foods and nutritional sciences. Regula
r individual meetings with faculty sponsor and written repor
ts required."
NUSCTX 198,1,"Study of special topics in food science or nutrition that ar
e not covered in depth in regular courses."
NUSCTX 199,1,"Upper division laboratory and independent research under the
 direction of a faculty supervisor. Written report required 
upon completion of the project."
NUSCTX 200,1,"Critical analysis of concepts and research methods relating 
to nutritional metabolism and its regulation in intact organ
isms is studied. Areas covered include the basis of nutrient
 requirements and nutritional assessment, integration of met
abolic pathways, research techniques, nutritional diseases, 
and specific topics such as calcium, vitamins, and trace ele
ments."
NUSCTX 211A,1,"Supervised experimental work under the direction of individu
al faculty members, which introduces experimental methods an
d research approaches in metabolic biology/nutritional bioch
emistry."
