name,size,about
EA LANG R1B,1,"The arts of reading a text, summarizing its argument, questi
oning its suppositions, generating balanced opinions, and ex
pressing those opinions with clarity and effectiveness lie a
t the center of university life and educated human endeavor.
 EA Lang R1B is designed to help inculcate those skills, pay
ing particular attention to East Asian humanistic topics. Th
is four-unit course focuses on how to formulate"
EA LANG 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small seminar setting. Fresh
man seminars are offered in all campus departments and topic
s vary from department to department and semester to semeste
r. Enrollment limited to fifteen freshmen."
EA LANG 39,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
EA LANG C50,1,"This introduction to the study of Buddhism will consider mat
erials drawn from various Buddhist traditions of Asia, from 
ancient times down to the present day. However, the course i
s not intended to be a comprehensive or systematic survey; r
ather than aiming at breadth, the course is designed around 
key themes such as ritual, image veneration, mysticism, medi
tation, and death. The overarching emphasis throughout the c
ourse will be on the hermeneutic"
EA LANG 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
EA LANG 101,1,"This course will examine comparative responses to and repres
entations of violent conflict. We will pay attention to how 
catastrophic events are productive of new forms of expressio
n--oral, written, and visual--as well as destructive of fami
liar ones. We will examine the ways in which experience and 
its representation interact during and in the aftermath of e
xtreme violence. Our empirical cases will be"
EA LANG 105,1,"This course explores representation of romantic love in East
 Asian cultures in premodern and post-modern contexts. Stude
nts develop a better understanding of the similarities and d
ifferences in traditional values in three East Asian culture
s by comparing how canonical texts of premodern China, Japan
 and Korea represent romantic relationship. This is followed
 by the study of several contemporary East"
EA LANG 106,1,"This course will explore how the Chinese and English-languag
e literary traditions (broadly defined) delineate the realm 
of the ineffable, and how cultural notions of the inexpressi
ble shape the writing and reading of poems, songs, and a sel
ection of prose pieces, from the uses of figurative language
 and prosody to genre and canon formation. In addition, in o
rder to deepen our understanding of how writing achieves its
 aims, some attention will"
EA LANG 107,1,"This course will examine war, empire, and the writing and me
morialization of history through an eclectic group of litera
ry, graphic, and cinematic texts from China, Japan, Europe, 
and the U.S."
EA LANG 108,1,"This course will explore poetic translation, across language
s, across cultures, and across historical ages, not merely f
rom the perspective of the ""accuracy"" with which a classic t
ext is represented in the translation, but as a window into 
the nature of poetic tradition and poetic writing itself. Wo
rks will be primarily drawn from the Chinese tradition, but 
in the interest of allowing a comparative discussion of the 
course's central"
