source,target,type,weight
ECON 1,ECON C3,directed,3
ECON 2,ECON C3,directed,3
ECON 1,ECON 100A,directed,3
ECON 2,ECON 100A,directed,3
ECON 1,ECON 100B,directed,3
ECON 1,ECON 101A,directed,3
ECON 100A,ECON 101A,directed,3
ECON 1,ECON 101B,directed,3
ECON 100B,ECON 101B,directed,3
ECON 100A,ECON C102,directed,3
ECON 100B,ECON C102,directed,3
ECON 1,ECON C102,directed,3
ECON 101A,ECON 104,directed,3
ECON 1,ECON 113,directed,3
ECON 2,ECON 113,directed,3
ECON 1,ECON N113,directed,3
ECON 2,ECON N113,directed,3
ECON 1,ECON 115,directed,3
ECON 2,ECON 115,directed,3
ECON 100A,ECON 119,directed,3
ECON 101A,ECON 119,directed,3
ECON 100A,ECON 121,directed,3
ECON 101A,ECON 121,directed,3
ECON 121,ECON 122,directed,3
ECON 121,ECON 123,directed,3
ECON 121,ECON 124,directed,3
ECON 100A,ECON C125,directed,3
ECON 101A,ECON C125,directed,3
ECON 1,ECON C125,directed,3
ECON 2,ECON C125,directed,3
ECON 131,ECON 132,directed,3
ECON 1,ECON 133,directed,3
ECON 1,ECON 133,directed,3
ECON 100B,ECON 134,directed,3
ECON 1,ECON 134,directed,3
ECON 100B,ECON 135,directed,3
ECON 100A,ECON 136,directed,3
ECON 100A,ECON N136,directed,3
ECON 1,ECON N136,directed,3
ECON 136,ECON 137,directed,3
ECON 100A,ECON 138,directed,3
ECON 1,ECON 140,directed,3
ECON 2,ECON 140,directed,3
ECON 135,ECON 140,directed,3
ECON 1,ECON 141,directed,3
ECON 2,ECON 141,directed,3
ECON 135,ECON 141,directed,3
ECON 140,ECON C142,directed,3
ECON 141,ECON C142,directed,3
ECON 140,ECON N142,directed,3
ECON 141,ECON N142,directed,3
ECON 100A,ECON 151,directed,3
ECON 100A,ECON 152,directed,3
ECON 101A,ECON 152,directed,3
ECON 140,ECON 153,directed,3
ECON 151,ECON 153,directed,3
ECON 152,ECON 153,directed,3
ECON 140,ECON 154,directed,3
ECON 141,ECON 154,directed,3
ECON 100A,ECON 155,directed,3
ECON 101A,ECON 155,directed,3
ECON 100A,ECON 155A,directed,3
ECON 140,ECON 155A,directed,3
ECON 1,ECON 155A,directed,3
ECON 100A,ECON 157,directed,3
ECON 101A,ECON 157,directed,3
ECON 100A,ECON 161,directed,3
ECON 101A,ECON 161,directed,3
ECON 100A,ECON C171,directed,3
ECON 101A,ECON C171,directed,3
ECON 1,ECON C171,directed,3
ECON 2,ECON C171,directed,3
ECON 2,ECON C171,directed,3
ECON 100A,ECON N171,directed,3
ECON 101A,ECON N171,directed,3
ECON 100A,ECON 172,directed,3
ECON 172,ECON 173,directed,3
ECON 100A,ECON 174,directed,3
ECON 101A,ECON 174,directed,3
ECON 100B,ECON 174,directed,3
ECON 140,ECON 174,directed,3
ECON 141,ECON 174,directed,3
ECON 1,ECON 174,directed,3
ECON 1,ECON C175,directed,3
ECON 2,ECON C175,directed,3
ECON 1,ECON N175,directed,3
ECON 2,ECON N175,directed,3
ECON C175,ECON N175,directed,3
ECON 1,ECON C181,directed,3
ECON 2,ECON C181,directed,3
ECON C181,ECON N181,directed,3
ECON 182,ECON 183,directed,3
ECON 100A,ECON 191,directed,3
ECON 100B,ECON 191,directed,3
ECON 2,ECON 1,directed,3
ECON 2,ECON 1,directed,3
ECON 1,ECON C3,directed,3
ECON 2,ECON C3,directed,3
ECON 1,ECON 100A,directed,3
ECON 2,ECON 100A,directed,3
ECON 1,ECON 100B,directed,3
ECON 101B,ECON 100B,directed,3
ECON 101B,ECON 100B,directed,3
ECON 1,ECON 101A,directed,3
ECON 100A,ECON 101A,directed,3
ECON 1,ECON 101B,directed,3
ECON 100B,ECON 101B,directed,3
ECON 100A,ECON C102,directed,3
ECON 100B,ECON C102,directed,3
ECON 1,ECON C102,directed,3
ECON 101A,ECON 104,directed,3
ECON 1,ECON 113,directed,3
ECON 2,ECON 113,directed,3
ECON 140,ECON 113,directed,3
ECON 141,ECON 113,directed,3
ECON 1,ECON N113,directed,3
ECON 2,ECON N113,directed,3
ECON 140,ECON N113,directed,3
ECON 141,ECON N113,directed,3
ECON 1,ECON 115,directed,3
ECON 2,ECON 115,directed,3
ECON 100A,ECON 119,directed,3
ECON 101A,ECON 119,directed,3
ECON 100A,ECON 121,directed,3
ECON 101A,ECON 121,directed,3
ECON 121,ECON 122,directed,3
ECON 121,ECON 123,directed,3
ECON 121,ECON 124,directed,3
ECON 100A,ECON C125,directed,3
ECON 101A,ECON C125,directed,3
ECON 1,ECON C125,directed,3
ECON 2,ECON C125,directed,3
ECON 131,ECON 132,directed,3
ECON 1,ECON 133,directed,3
ECON 1,ECON 133,directed,3
ECON 100B,ECON 134,directed,3
ECON 140,ECON 134,directed,3
ECON 141,ECON 134,directed,3
ECON 1,ECON 134,directed,3
ECON 100B,ECON 135,directed,3
ECON 100A,ECON 136,directed,3
ECON 100A,ECON N136,directed,3
ECON 1,ECON N136,directed,3
ECON 136,ECON 137,directed,3
ECON 100A,ECON 138,directed,3
ECON 1,ECON 140,directed,3
ECON 2,ECON 140,directed,3
ECON 135,ECON 140,directed,3
ECON 1,ECON 141,directed,3
ECON 2,ECON 141,directed,3
ECON 135,ECON 141,directed,3
ECON 140,ECON C142,directed,3
ECON 141,ECON C142,directed,3
ECON 140,ECON N142,directed,3
ECON 141,ECON N142,directed,3
ECON 100A,ECON 151,directed,3
ECON 100A,ECON 152,directed,3
ECON 101A,ECON 152,directed,3
ECON 140,ECON 153,directed,3
ECON 151,ECON 153,directed,3
ECON 152,ECON 153,directed,3
ECON 140,ECON 154,directed,3
ECON 141,ECON 154,directed,3
ECON 100A,ECON 155,directed,3
ECON 101A,ECON 155,directed,3
ECON 100A,ECON 155A,directed,3
ECON 140,ECON 155A,directed,3
ECON 1,ECON 155A,directed,3
ECON 100A,ECON 157,directed,3
ECON 101A,ECON 157,directed,3
ECON 100A,ECON 161,directed,3
ECON 101A,ECON 161,directed,3
ECON 100A,ECON C171,directed,3
ECON 101A,ECON C171,directed,3
ECON 1,ECON C171,directed,3
ECON 2,ECON C171,directed,3
ECON 2,ECON C171,directed,3
ECON 100A,ECON N171,directed,3
ECON 101A,ECON N171,directed,3
ECON 100A,ECON 172,directed,3
ECON 172,ECON 173,directed,3
ECON 100A,ECON 174,directed,3
ECON 101A,ECON 174,directed,3
ECON 100B,ECON 174,directed,3
ECON 140,ECON 174,directed,3
ECON 141,ECON 174,directed,3
ECON 1,ECON 174,directed,3
ECON 1,ECON C175,directed,3
ECON 2,ECON C175,directed,3
ECON 1,ECON N175,directed,3
ECON 2,ECON N175,directed,3
ECON C175,ECON N175,directed,3
ECON 1,ECON C181,directed,3
ECON 2,ECON C181,directed,3
ECON C181,ECON N181,directed,3
ECON 182,ECON 183,directed,3
ECON 100A,ECON 191,directed,3
ECON 100B,ECON 191,directed,3
