name,size,about
ECON 1,1,A survey of economics designed to give an overview of the field.
ECON 2,1,"The course provides a survey of economics principles and methods. It covers both microeconomics, the study of consumer choice, firm behavior, and market interaction, and macroeconomics, the study of economic growth, unemployment, and inflation. Special emphasis is placed on the application of economic tools to contemporary economic problems and policies. Economics 2 differs from Economics 1 in that it has an additional hour of lecture per"
ECON C3,1,"Introduction to microeconomics with emphasis on resource, agricultural, and environmental issues."
ECON 24,1,The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments. Topics vary from department to department and semester to semester. Enrollment limited to 15 freshman.
ECON 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
ECON 98,1,"Written proposal must be approved by Department Chair. Seminars for the group study of selected topics, which will vary from year to year. Topics may be initiated by students."
ECON 100A,1,Resource allocation and price determination.
ECON 100B,1,"A study of the factors which determine national income, employment, and price levels, with attention to the effects of monetary and fiscal policy."
ECON 101A,1,Theory of resource allocation and price determination with an emphasis on microeconomic principles.
ECON 101B,1,"A study of theories of the determination of national income, employment, and price levels, with attention to the effects of monetary and fiscal policy."
ECON C102,1,"Introduction to the economics of natural resources. Land and the concept of economic rent. Models of optimal depletion of nonrenewable resources and optimal use of renewable resources. Application to energy, forests, fisheries, water, and climate change. Resources, growth, and sustainability."
ECON C103,1,"Selected topics illustrating the application of mathematics to economic theory. This course is intended for upper-division students in Mathematics, Statistics, the Physical Sciences, and Engineering, and for economics majors with adequate mathematical preparation. No economic background is required."
ECON 104,1,"This course explores some issues in advanced microeconomic theory, with special emphasis on game-theoretic models and the theory of choice under uncertainty. Specific applications will vary from year to year, but will generally include topics from information economics and models of strategic interaction."
ECON 105,1,A survey of the theories of major economists from Adam Smith to Keynes.
ECON C110,1,"A non-technical introduction to game theory. Basic principle, and models of interaction among players, with a strong emphasis on applications to political science, economics, and other social sciences."
ECON N110,1,"A non-technical introduction to game theory. Basic principle, and models of interaction among players, with a strong emphasis on applications to political science, economics, and other social sciences."
ECON 113,1,"A survey of the history of the U.S. economy. Emphasis is on economic events, factors, and explanations, with particular emphasis on economic growth, development, and the distribution of gains and losses associated with growth. A key skill developed during the course is the ability to read, understand, and critique econometric results in current economic history research."
ECON N113,1,"A survey of the history of the U.S. economy. Emphasis is on economic events, factors, and explanations, with particular emphasis on economic growth, development, and the distribution of gains and losses associated with growth. A key skill developed during the course is the ability to read, understand, and critique econometric results in current economic history research."
ECON 115,1,Development of the world economic system with particular reference to world-wide trading relationships. This course is equivalent to History 160; students will not receive credit for both courses.
ECON 119,1,"This course presents psychological and experimental economics research demonstrating departures from perfect rationality, self-interest, and other classical assumptions of economics and explores ways that these departures can be mathematically modeled and incorporated into mainstream positive and normative economics. The course will focus on the behavioral evidence itself, especially on specific formal"
ECON 121,1,"The organization and structure of production in the U.S. economy. Determinants of market structure, business behavior, and economic performance. Implications for antitrust policy."
ECON 122,1,Seminar on problems in the field of industrial organization. Seminar paper is required.
ECON 123,1,Problems of public policy in the field of industrial organization. Analysis of regulatory consequences with particular attention to economic performance.
ECON 124,1,"Analysis of market structure, conduct and performance in selected industries. See course announcement for current topics."
ECON C125,1,Theories of externalities and public goods applied to pollution and environmental policy. Trade-off between production and environmental amenities. Assessing nonmarket value of environmental amenities. Remediation and clean-up policies. Environment and development. Biodiversity management.
ECON 131,1,"This course focuses on the role of the government in the economy from a theoretical and empirical perspective. The aim of the course is to provide an understanding of the reasons for government intervention in the economy, analyzing the merits of possible government policies, and the response of economic agents to the government's actions. The course covers the analysis of tax policy, social insurance programs, public"
ECON 132,1,Enrollment will be limited. A seminar paper is required.
ECON 133,1,"This course provides an introduction to the analysis of economic inequalities and the interplay between inequality and economic growth. It focuses on three sets of core questions: 1) How does inequality evolve over the path of development? 2) What are the theories that can explain the degree of economic inequalities and its dynamic? 3) How do policies affect inequalities, and what types of policies can foster equitable"
ECON 134,1,This course will analyze the macroeconomic challenges and policy responses in the United States over the past century. Among the key topics studied are the Great Depression and the New Deal; boom and bust monetary and fiscal policy in the early post-World War II period; the Volcker disinflation and the Great Moderation; and the 2008 financial crisis and the Great Recession.
ECON 135,1,"This course examines the idea and reality of economic growth in historical perspective, beginning with the divergence between human ancestors and other primates and continuing through with forecasts for the 21st century and beyond. Topics covered include human speciation, language, and sociability; the discovery of agriculture and the domestication of animals; the origins and maintenance of gross inequality; Malthusian economies; the Commercial and Industrial Revolutions;"
ECON 136,1,"Analysis of financial assets and institutions. The course emphasizes modern asset valuation theory and the role of financial intermediaries, and their regulation, in the financial system."
ECON N136,1,"Analysis of financial assets and institutions. The course emphasizes modern asset valuation theory and the role of financial intermediaries, and their regulation, in the financial system."
ECON 137,1,Enrollment will be limited. A seminar paper is required.
