name,size,about
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016"
EL ENG 25,1,Terms offered: Fall 2011
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring
 2013"
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018"
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018"
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015"
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015"
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016"
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018"
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017"
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013"
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016"
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018"
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013"
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012"
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011"
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring
 2012"
EL ENG 146L,1,Terms offered: Spring 2015
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018"
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014"
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015"
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018"
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017"
MAT SCI 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small seminar setting. Fresh
man seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Enrollment limited to 20 freshmen."
MAT SCI 45,1,"Application of basic principles of physics and chemistry to 
the engineering properties of materials. Emphasis on establi
shing structure, property, processing, and performance inter
relationships in metals, ceramics, and polymers. While core 
concepts are fully covered each semester, examples and conte
xtualization in Fall editions focuses on metals, ceramics, a
nd functional/electronic properties and in Spring editions o
n polymers and soft-mat"
MAT SCI 45L,1,"This course presents laboratory applications of the basic pr
inciples introduced in the lecture-based course MSE45 – Prop
erties of Materials."
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors,
 and insulators; crystal systems; point, line, and planar de
fects in crystals; examples of crystallographic and defect a
nalysis in engineering materials; relationship to physical a
nd mechanical properties."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformation
s and microstructural changes in the solid state. Atom diffu
sion in solids. Phase transformations through the nucleation
 and growth of new matrix or precipitate phases. Martensitic
 transformations, spinodal decomposition. The use of phase t
ransformations to control microstructure."
MAT SCI 104,1,"This 3-unit course will cover basic principles and technique
s used for the characterization of engineering materials. Th
e course is designed to introduce undergraduate students to 
the basic principles of structural, chemical and property ch
aracterization techniques. The course is grounded in modern 
x-ray diffraction and electron microscopy techniques for cha
racterization of the chemical and structural properties of a
 material. The course"
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD)
, scanning electron microscopy (SEM), and transmission elect
ron microscopy (TEM), as well as lab writeup protocols and a
cademic integrity. Students will get hands-on experience usi
ng the XRD, SEM and TEM equipment to perform microstructural
 characterization of materials. Students will also design an
d run their own project on a topic of their choosing."
