name,size,about
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016"
EL ENG 25,1,Terms offered: Fall 2011
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013"
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018"
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018"
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015"
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015"
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016"
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018"
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017"
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013"
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016"
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018"
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013"
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012"
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011"
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012"
EL ENG 146L,1,Terms offered: Spring 2015
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018"
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015"
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014"
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015"
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018"
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017"
NUC ENG 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
NUC ENG 100,1,"The class provides students with an overview of the contemporary nuclear energy technology with emphasis on nuclear fission as an energy source. Starting with the basic physics of the nuclear fission process, the class includes discussions on reactor control, thermal hydraulics, fuel production, and spent fuel management for various types of reactors in use around the world as well as analysis of safety and other nuclear-related issues. This"
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fusion, and reactions of low-energy neutrons; properties of the fission products and the actinides; nuclear models and transition probabilities; interaction of radiation with matter."
NUC ENG 102,1,"Laboratory course in nuclear physics. Experiments will allow students to directly observe phenomena discussed in Nuclear Engineering 101. These experiments will give students exposure to (1) electronics, (2) alpha, beta, gamma radiation detectors, (3) radioactive sources, and (4) experimental methods relevant for all aspects of nuclear science. Experiments include: Rutherford scattering, x-ray fluorescence, muon lifetime, gamma-gamma angular"
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, radiation dosimetry. The lectures emphasize the principles of radiation detection. The weekly laboratory applies a variety of radiation detection systems to the practical measurements of interest for nuclear power, nuclear and non-nuclear science, and environmental applications. Students present goals and approaches of the experiements being performed."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed tomography (CT), nuclear magnetic resonance (NMR), positron emission tomography (PET), and SPECT; basic principles of tomography and an introduction to unfolding methods; resolution effects of counting statistics, inherent system resolution and human factors."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in nuclear reactors. Fission product swelling and release; neutron damage to structural alloys; fabrication and properties of uranium dioxide fuel.
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristics, sources of radioactive wastes, compositions, radioactivity and heat generation; waste treatment technologies; waste disposal technologies; safety assessment of waste disposal."
