source,target,type,weight
ENVECON C1,ENVECON 100,directed,3
ENVECON C1,ENVECON 103,directed,3
ENVECON 100,ENVECON 141,directed,3
ENVECON 100,ENVECON 142,directed,3
ENVECON 100,ENVECON 145,directed,3
ENVECON 100,ENVECON 152,directed,3
ENVECON 100,ENVECON 161,directed,3
ENVECON 100,ENVECON 162,directed,3
ENVECON C1,ENVECON 100,directed,3
ENVECON C1,ENVECON 103,directed,3
ENVECON 100,ENVECON 141,directed,3
ENVECON 100,ENVECON 142,directed,3
ENVECON 100,ENVECON 145,directed,3
ENVECON 100,ENVECON 152,directed,3
ENVECON 100,ENVECON 161,directed,3
ENVECON 100,ENVECON 162,directed,3
