source,target,type,weight
ENGIN 1,ENGIN 7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 1,ENGIN W7,directed,3
ENGIN 1,ENGIN 27,directed,3
ENGIN 1,ENGIN 40,directed,3
ENGIN 1,ENGIN 117,directed,3
ENGIN 1,ENGIN 120,directed,3
ENGIN W7,ENGIN 7,directed,3
ENGIN 1,ENGIN 7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 1,ENGIN W7,directed,3
ENGIN 1,ENGIN 27,directed,3
ENGIN 1,ENGIN 40,directed,3
ENGIN 1,ENGIN 117,directed,3
ENGIN 1,ENGIN 120,directed,3
ENGIN W7,ENGIN 7,directed,3
ENGIN 1,ENGIN 7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 1,ENGIN W7,directed,3
ENGIN 1,ENGIN 27,directed,3
ENGIN 1,ENGIN 40,directed,3
ENGIN 1,ENGIN 117,directed,3
ENGIN 1,ENGIN 120,directed,3
ENGIN W7,ENGIN 7,directed,3
ENGIN 1,ENGIN 7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 7,ENGIN W7,directed,3
ENGIN 1,ENGIN W7,directed,3
ENGIN 1,ENGIN 27,directed,3
ENGIN 1,ENGIN 40,directed,3
ENGIN 1,ENGIN 117,directed,3
ENGIN 1,ENGIN 120,directed,3
