name,size,about
ETH STD 10AC,1,"This course explores the role of ""race"" and ethnicity in the history of what became the Western United States from the Spanish invasion of the Southwest to contemporary controversies surrounding ""race"" in California. Rather than providing a continuous historical narrative, or treating each racialized ""other"" separately, the course works through a series of chronologically"
ETH STD 11AC,1,"This explores the work of key theorists of race, ethnicity, and de-colonization whose work and ideas have formed the basis of scholarly work in the broad, interdisciplinary field of comparative ethnic studies. It is intended both to offer beginning students a ground in the ideas and methods they will encounter throughout their major, and to introduce names, texts, and concepts with which all majors should be familiar. This course satisfies"
ETH STD 20AC,1,"The University, its relationship to corporate structures, legislative bodies, community people, and specifically, Third World people will be analyzed. The University's values will be critically examined. The history of ethnic studies programs in this country, their development, and, their struggles will be discussed."
ETH STD 21AC,1,"This survey course will examine the historical experiences of European immigrants, African Americans, and Latinos, emphasizing the themes of migration and economic change since the late 19th century. Though the class will focus on the three groups, the course will also address salient features of the experiences of Asian Americans, Native Americans, and recently arrived immigrants in light of the"
ETH STD 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment iimited to 15 freshmen."
ETH STD 39,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
ETH STD 41AC,1,"An introductory, comparative, and interdisciplinary study of Native American, Mexican American, African American, and Asian American social and political struggles from 1960 to the present. The course traces the development of protest movements created by people of color in response to racial, class, gender, and political inequality in the context of U.S. politics and history. The course critically examines the internal and external factors contributing"
ETH STD N41AC,1,"An introductory, comparative, and interdisciplinary study of Native American, Mexican American, African American, and Asian American social and political struggles from 1960 to the present. The course traces the development of protest movements created by people of color in response to racial, class, gender, and political inequality in the context of U.S. politics and history. The course critically examines the internal and external factors contributing"
ETH STD C73AC,1,"This course examines the history of indigenous, aboriginal, native, or ""tribal"" peoples over the last five centuries. Particular attention is paid to how these groups were brought into relations with an expanding Europe, capitalist development, and modern nation-states. How have these peoples survived, what are the contemporary challenges they face, and what resources and allies have they drawn on in the present?"
ETH STD 97,1,Supervised community field study.
ETH STD 98,1,Group study of selected topics which will vary from semester to semester.
ETH STD 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
ETH STD 99,1,Individual research on a topic which will lead to the writing of major paper. Regular meetings with the faculty sponsor. Limited to freshmen and sophomores.
ETH STD 100,1,"Analysis of how selected works (poetry, short stories, novels, drama, and oral literature) reflect African American, Chicano, Asian American, and Native American consciousness and experiences."
