name,size,about
FILM R1A,1,Rhetorical approach to reading and writing argumentative discourse with a film focus. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies. Satisfies the first half of the Reading and Composition requirement.
FILM R1B,1,"Intensive argumentative writing stimulated through selected readings, films, and class discussion. Satisfies the second half of the Reading and Composition requirement."
FILM 10,1,"This course will focus on the development of film art, technology, and industry in the late 19th and early 20th centuries."
FILM 20,1,"This course is intended to introduce undergraduates to the study of a range of media, including photography, film, television, video, and print and digital media. The course will focus on questions of medium ""specificity"" or the key technological/material, formal and aesthetic features of different media and modes of address and representation that define them. Also considered is the relationship of individual"
FILM 25,1,"The objective of this class is to provide a basic technical foundation for digital video film production while emphasizing the techniques and languages of creative moving image media from traditional story genres to more contemporary experimental forms. Training will move from pre-production-scripting and storyboarding, through production, including image capture, lighting and sound recording, to post-production with non-linear digital editing programs such as"
FILM 25A,1,"From the beginnings through the conversion to sound up until World War II era. In addition to the development of the silent film, the course will conclude with an examination of the technology of sound conversion and examples of early sound experiments."
FILM 25B,1,The sound era from World War II to present time.
FILM 30,1,"This course will focus on topics in the history, theory and aesthetics of sound cinema."
FILM 35,1,This course will focus on introductory topics related to the field of digital media studies.
FILM 39,1,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
FILM 45,1,"This course will focus on the industrial, technological, and aesthetic history of television."
FILM 50,1,"An introduction to film art and film technique for students who are interested in exploring the history and aesthetics of cinema but do not intend to major in film. The course traces the development of world cinema from the first films of the 1890s to the 1970s, drawing on examples from American, European, Asian, and Third World cinema."
FILM 75,1,"This course examines postmodernism as it manifests itself in film. We will begin with a general overview of the postmodern, and then look at how postmodernism reformulates certain theoretical issues: e.g., ideology, history, subjectivity and gender. Primary films will be juxtaposed not just with theoretical texts, but also with texts from architecture, photography, literature and classical Hollywood cinema. Requirements: take home mid-term, final exam."
FILM 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
FILM 98,1,Supervised research by lower division students.
FILM 100,1,"The study, from an historical perspective, of major theorists of film."
FILM 108,1,"The study of films as categorized either by industry-identified genres (westerns, horror films, musicals, film noir, etc.) or broader interpretive modes (melodrama, realism, fantasy, etc.)."
FILM C115,1,"This course considers how the American detective is represented in fiction, fil, and popular culture. We will examine how representations of the American detective are affected by diverse historican and socio-cultural factors, including the ideology of American individualism, paradigms of investigation and ordered knowledge, and competing discourses of race, class, gender, and sexual orientation. After a brief consideration of early American detectives and detectives"
FILM 125,1,"This course will focus on topics in documentary cinema, television, video, photography, and/or new media."
FILM 128,1,"A survey of the history, theory, and practice of the documentary film (including video). How have the forms and ethics of the documentary changed since the beginning of cinema? A range of practices and strategies will be covered: cinema verite, direct cinema, narrational documentary, autobiography, investigative documentary, and recent fictional styles that combine the essayistic with the observational. The course moves"
