name,size,about
GWS N1B,1,Training and instruction in expository writing in conjunction with reading literature. The readings and assignments will focus on themes and issues in women's studies.
GWS R1B,1,Training and instruction in expository writing in conjunction with reading literature. The readings and assignments will focus on themes and issues in gender and women's studies. This course satisfies the second half of the Reading and Composition requirement.
GWS 10,1,"Introduction to questions and concepts in gender and women's studies. Critical study of the formation of gender and its intersections with other relations of power, such as sexuality, racialization, class, religion, and age. Questions will be addressed within the context of a transnational world. Emphasis of the course will change depending on the instructor."
GWS 14,1,"The production of gender, sexuality, and processes of racialization in contemporary global political issues. Topics and geographical foci may vary. Examples: the post-9-11 situation in the U.S. and U.S. wars in Afghanistan and Iraq; Hindu-Muslim conflict in India; the wars in the former Yugoslavia and Rwanda; the Israel/Palestine situation; global right-wing movements; state and social movement terrorisms and transnational ""security"""
GWS 20,1,"Why study theory? How, and from where, does the desire to theorize gender emerge? What does theory do? What forms does theory take? What is the relationship between theory and social movements? This course will introduce students to one of the most exciting and dynamic areas of contemporary inquiry."
GWS 24,1,"The Freshman and Sophomore Seminars program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to fifteen freshmen."
GWS 39A,1,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25."
GWS 40,1,"The findings of feminist scholarship as they apply to a particular problem, field, or existing discipline. Designed primarily for lower division students and non-majors. Topics vary from semester to semester. Students should consult the Women's Studies announcement of courses for specific semester topics."
GWS 50AC,1,A multi-disciplinary course designed to provide students with an opportunity to work with faculty investigating the topic gender in American culture.
GWS 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
GWS 97,1,"Internship Program: Field work in an organization concerned with women's issues plus individual conferences with faculty. Students must present a written scope of work to the supervising faculty members before enrolling. Credit earned depends on the amount of written work completed by students that interprets the experience through diaries, historical reports, and creative work done for the organization. Faculty supervisor and student must agree"
GWS 98,1,Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from year to year.
GWS 99,1,Individual research by lower division students only.
GWS 100AC,1,This course is designed to provide students with an opportunity to work with faculty investigating the topic women in American culture.
GWS 101,1,"In this course, students will learn to do feminist research using techniques from the arts, humanities, social sciences, and sciences. The teaching of interdisciplinary research skills will focus on practices of gender in a particular domain such as labor, love, science, aesthetics, film, religion, politics, or kinship. Topics will vary depending on the instructor."
