name,size,about
GEOG N1,1,"The global pattern of climate, landforms, vegetation, and so
ils. The relative importance of natural and human-induced ch
ange, global warming, forest clearance, accelerated soil ero
sion, glacial/postglacial climate change and its consequence
s."
GEOG 4,1,"Historical and contemporary cultural-environmental patterns.
 The development and spread of cultural adaptations, human u
se of resources, transformation and creation of human enviro
nments."
GEOG N4,1,"Historical and contemporary cultural-environmental patterns.
 The development and spread of cultural adaptations, human u
se of resources, transformation and creation of human enviro
nments."
GEOG 10,1,"Geography is a way of thinking deeply and expansively about 
the world we inhabit and this course is designed to transfor
m how you think about, understand and engage in its makings 
and re-makings.  Ideas central to the field of geography suc
h as space, nature, empire and globalization animate the his
tories and politics of each of these issues and many other c
ases.  Our approach will not be to simply learn about the re
gions of the world, but to think"
GEOG 10AC,1,"Geography is a way of thinking deeply and expansively about 
our place in the world and this course is designed to transf
orm how you think about America though understanding its pla
ce within a global context. Through concepts central to the 
field of geography such as space, nature, empire and globali
zation we will explore the issues of race, culture, ethnicit
y that pepper the pages of newspapers almost every day in st
ories of immigration, police violence, global warming"
GEOG 20,1,"How do processes of production, exchange and consumption wor
k in our contemporary era of volatility and fragility? This 
course takes a historical and geographical approach to under
stand how areas of the world have been incorporated into con
temporary global processes differently."
GEOG N20,1,"Global economics and politics are undergoing a revolution. T
ransnational enterprises, international trade, and digitized
 finance are merging its formerly separate national economie
s. New regional and transnational treaties and institutions,
 from the EU and NAFTA to the IMF, the WTO and the World Ban
k, are arising to regulate the new global economy. Power is 
being transferred"
GEOG 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small seminar setting. Fresh
man seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Enrollment limited to 15 freshmen."
GEOG 31,1,"The intersection of nature, identity, and politics pepper th
e pages of newspapers almost every day from stories of toxic
 waste sites, crime, genetic engineering to indigenous strug
gles, and terrorist tendencies. In all these and many other 
cases, ideas of race, class, and gender intersect with ideas
 of nature and geography in often tenacious and troubling wa
ys. Our approach will be to understand these traditional ide
as of environmental justice"
GEOG C32,1,"This course is designed as an introduction to Global Studies
. Using a social science approach, the course prepares stude
nts to think critically about issues of international develo
pment, conflict, and peace in a variety of societies around 
the world. As such, it provides students with a basic theore
tical introduction to the impact of global interaction as we
ll as an opportunity to explore such interaction in a variet
y of case studies."
GEOG 35,1,"Problems of Third World poverty and development have come to
 be seen as inseparable from environmental health and sustai
nability. The course explores the global and interconnected 
character of environment and development in the less develop
ed world. Drawing on case studies of the environmental probl
ems of the newly industrializing states, food problems, and 
environmental security in Africa, and the"
GEOG 37,1,"This course examines how shifting understandings of science 
and technology have radically remade some of our most basic 
social and biological categories and concepts. The course ex
plores the field of science and technology studies. In parti
cular, students will explore formations and understandings o
f truth, objectivity, universality of science and technology
, and the consequences of these cultural formations in conte
mporary debates around the world."
GEOG 40,1,"The goals of this introductory Earth System Science course a
re to achieve a scientific understanding of important proble
ms in global environmental change and to learn how to analyz
e a complex system using scientific methods. Earth System Sc
ience is an interdisciplinary field that describes the cycli
ng of energy and matter between the different spheres (atmos
phere, hydrosphere, biosphere, cryosphere, and lithosphere) 
of the earth system. Under"
GEOG 50AC,1,"California had been called ""the great exception"" and ""Americ
a, only more so."" Yet few of us pay attention to its distinc
tive traits and to its effects beyond our borders. Californi
a may be ""a state of mind,"" but it is also the most dynamic 
place in the most powerful country in the world, and would b
e the 8th largest economy if it were a country. Its wealth h
as been built on mining, agriculture, industry, trade, and"
GEOG N50AC,1,"California had been called ""the great exception"" and ""Americ
a, only more so."" Yet few of us pay attention to its distinc
tive traits and to its effects beyond our borders. Californi
a may be ""a state of mind,"" but it is also the most dynamic 
place in the most powerful country in the world, and would b
e the 8th largest economy if it were a country. Its"
GEOG C55,1,"This course will introduce the student not only to ancient a
nd modern Central Asia, but also to the role played by the r
egion in the shaping of the history of neighboring regions a
nd regimes. The course will outline the history, languages, 
ethnicities, religions, and archaeology of the region and wi
ll acquaint the student with the historical foundations of s
ome of the political, social and economic challenges for con
temporary post-Soviet"
GEOG 70AC,1,"We will track the historical evolution of the American city.
 We'll look at the economics of city life, at the organizati
on of metropolitan political power, and at the aesthetics of
 the urban scene--to see how the core cultural themes of Ame
rican urban life have endured over time while continuously a
djusting to new circumstances. Our approach is to focus on m
ajor themes in urban life and to show"
GEOG 80,1,"An introduction to the increasingly diverse range of geospat
ial technologies and tools including but not limited to geog
raphical information systems (GIS). Via a mix of lecture and
 lab-based instruction, students will develop knowledge and 
skills in web-mapping and GIS. How these tools are used to r
epresent fundamental geographic concepts, and the wider soci
oeconomic context of these technologies will also be explore
d."
GEOG N80,1,"An introduction to the increasingly diverse range of geospat
ial technologies and tools including but not limited to geog
raphical information systems (GIS). Via a mix of lecture and
 lab-based instruction, students will develop knowledge and 
skills in web-mapping and GIS. How these tools are used to r
epresent fundamental geographic concepts, and the wider soci
oeconomic context of these technologies"
