source,target,type,weight
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 3,GERMAN R5A,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 3,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 3,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 1,GERMAN 41,directed,3
GERMAN 3,GERMAN 100,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 3,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 3,GERMAN 102A,directed,3
GERMAN 3,GERMAN 104,directed,3
GERMAN 3,GERMAN 105,directed,3
GERMAN 1,GERMAN 107,directed,3
GERMAN 3,GERMAN 108,directed,3
GERMAN 3,GERMAN 112,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 2,GERMAN 113,directed,3
GERMAN 3,GERMAN 123,directed,3
GERMAN 3,GERMAN 131,directed,3
GERMAN 3,GERMAN 151,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN 3,GERMAN 175B,directed,3
GERMAN 3,GERMAN 179,directed,3
GERMAN 2,GERMAN H196A,directed,3
GERMAN 3,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 2,GERMAN H196B,directed,3
GERMAN 3,GERMAN H196B,directed,3
GERMAN 3,GERMAN 1E,directed,3
GERMAN 1,GERMAN 2,directed,3
GERMAN 1G,GERMAN 2G,directed,3
GERMAN 2,GERMAN 3,directed,3
GERMAN 3,GERMAN 4,directed,3
GERMAN 3,GERMAN R5A,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 4,GERMAN R5B,directed,3
GERMAN 3,GERMAN R5B,directed,3
GERMAN 4,GERMAN 40,directed,3
GERMAN 3,GERMAN 40,directed,3
GERMAN 4,GERMAN 41,directed,3
GERMAN 1,GERMAN 41,directed,3
GERMAN 3,GERMAN 100,directed,3
GERMAN 4,GERMAN 101,directed,3
GERMAN 3,GERMAN 101,directed,3
GERMAN 4,GERMAN 102A,directed,3
GERMAN 3,GERMAN 102A,directed,3
GERMAN 3,GERMAN 104,directed,3
GERMAN 3,GERMAN 105,directed,3
GERMAN 1,GERMAN 107,directed,3
GERMAN 3,GERMAN 108,directed,3
GERMAN 3,GERMAN 112,directed,3
GERMAN 100,GERMAN 113,directed,3
GERMAN 101,GERMAN 113,directed,3
GERMAN 2,GERMAN 113,directed,3
GERMAN 3,GERMAN 123,directed,3
GERMAN 3,GERMAN 131,directed,3
GERMAN 3,GERMAN 151,directed,3
GERMAN 100,GERMAN 175B,directed,3
GERMAN 3,GERMAN 175B,directed,3
GERMAN 3,GERMAN 179,directed,3
GERMAN H196B,GERMAN H196A,directed,3
GERMAN 2,GERMAN H196A,directed,3
GERMAN 3,GERMAN H196A,directed,3
GERMAN H196A,GERMAN H196B,directed,3
GERMAN 2,GERMAN H196B,directed,3
GERMAN 3,GERMAN H196B,directed,3
