name,size,about
GERMAN 1,1,"This introduction to the German language focuses on the development of basic communicative competencies (spoken and written) while sensitizing students to the links between language and culture. Students will be able to understand and use high frequency vocabulary and basic grammatical structures and engage with a broad variety of texts from various genres, including poetry, news reports, songs, and the visual arts."
GERMAN 1E,1,"Students review and continue to develop the basic elements of communicative competence in both spoken and written language while being sensitized to the links between language and culture. This course covers the same material as 1 in a condensed way and at an accelerated speed. Upon completion of this course, students will qualify for enrollment in 2."
GERMAN 1G,1,Elementary German for graduate students preparing for reading examinations.
GERMAN 2,1,"This German language course continues the development of basic communicative competencies (spoken and written) while sensitizing students to the links between language and culture. Students will be able to understand and use high frequency vocabulary and basic grammatical structures and engage with a broad variety of texts from various genres, including poetry, news reports, songs, and the visual arts."
GERMAN 2G,1,Elementary German for graduates preparing for reading examinations.
GERMAN 3,1,"Embedded in the context of German-speaking regions, their history and culture, this course focuses on the development of communicative competencies (spoken and written), the expansion of vocabulary, and the review and practice of grammatical structures. Students will be guided towards more creative and analytical expression by engaging with texts from a variety of genres such as poetry, drama, news features, and the visual"
GERMAN 4,1,"Embedded in the context of German-speaking regions, their history and culture, this course continues the development of communicative competencies (spoken and written), the expansion of vocabulary, and the review and practice of grammatical structures. Students will further practice creative and analytical expression by engaging with texts from a variety of genres such as poetry, short stories, essays, and the visual arts."
GERMAN R5A,1,"This course offers a survey of modern German literary, cultural, and intellectual currents, as well as an introduction to argumentation and analysis. Students will examine numerous issues and questions central to defining the complexity of modern German culture. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half."
GERMAN R5B,1,"This course offers a survey of modern German literary, cultural, and intellectual currents, as well as an introduction to argumentation and analysis. Students will examine numerous issues and questions central to defining the complexity of modern German culture. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half."
GERMAN 21,1,"An introductory level exploration of a group of authors, works, themes, or literary movements from the history of German literature in a European context. Based on close readings of texts students will discuss ways in which literature has played (and continues to play) a crucial role in the relationship between different cultures, traditions, and languages. Readings and topics to vary from semester to semester."
GERMAN 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics may vary from department to department and semester to semester. Enrollment limited to 15 freshmen."
GERMAN C25,1,"We will explore the ways in which Marx, Nietzsche, and Freud--three of the most important thinkers in modern Western thought--can be read as responding to the Enlightenment and its notions of reason and progress. We will consider how each remakes a scientific understanding of truth, knowledge, and subjectivity, such that rationality, logic, and the powers of human cognition are shown to be distorted, limited, and subject to forces outside our"
GERMAN 39A,1,No knowledge of German required.
GERMAN 39H,1,No knowledge of German required.
GERMAN 39L,1,No knowledge of German required.
GERMAN 39P,1,"For many people, law is the subject of law school, while literature belongs to the humanities. In this seminar, we will see that law and literature, professional school and the humanities are in fact closely related. We will read some great authors in world literature (including Sophocles, Shakespeare, Melville, Kleist, Kafka), watch a number of classic films, and discuss how they engage with the key issues of law - legitimacy and legality, justice and"
GERMAN 39R,1,"What is the purpose of education? Should the university prepare students for the job market or emphasize the pursuit of knowledge for its own sake? Is knowledge a value in itself? This course explores these questions, among others, while concentrating on the German idea of Bildung. It introduces students to the classical idea of education and self-formation by reading a wide range of texts from German philosophy, intellectual history, and literature. Furthermore, the"
GERMAN 40,1,"Advanced German conversation course that includes discussions, debates, individual presentations, and one or two in-class movies in German. Most materials will be provided by the instructor but students will also be asked to use their own resources from printed or online media. Regular vocabulary quizzes will be part of the course grade. Taught in German."
GERMAN 41,1,"Students will explore historical and contemporary aspects of German culture through readings, discussions, guided excursions in Berlin and Weimar, and individual research projects. The course will engage students to develop a deeper understanding of the specific ways in which cultural issues are respected and reflected in the German language, which they study concurrently. Topics include multiculturalism and minority experience; Berlin as divided"
GERMAN C75,1,"What or who decides whether something is beautiful or not? What purpose do beauty and art serve? Where do originality, genius, and inspiration come from? What do art and beauty have to do with freedom and human progress? We will examine primarily western European and North American approaches to beauty as presented in works of philosophy, literary theory, and theories of art and aesthetics, exploring key theoretical questions as they evolve among several"
GERMAN 98,1,Group study of selected topics not covered by regularly scheduled courses. Topics may be initiated by students under the sponsorship and direction of a member of the German Department's faculty.
GERMAN 99,1,Independent study and research by arrangement with faculty.
GERMAN 100,1,The course is intended to acquaint students with selected works from German cultural history and to familiarize them with various methods of interpretation and analysis. Required of all German majors.
