source,target,type,weight
GREEK 1,GREEK 2,directed,3
GREEK 1,GREEK 15,directed,3
GREEK 2,GREEK 15,directed,3
GREEK 15,GREEK 99,directed,3
GREEK 15,GREEK 100,directed,3
GREEK 15,GREEK 100,directed,3
GREEK 15,GREEK 101,directed,3
GREEK 15,GREEK 101,directed,3
GREEK 100,GREEK 102,directed,3
GREEK 15,GREEK 102,directed,3
GREEK 100,GREEK 105,directed,3
GREEK 15,GREEK 105,directed,3
GREEK 101,GREEK 115,directed,3
GREEK 102,GREEK 115,directed,3
GREEK 15,GREEK 115,directed,3
GREEK 101,GREEK 116,directed,3
GREEK 102,GREEK 116,directed,3
GREEK 15,GREEK 116,directed,3
GREEK 101,GREEK 117,directed,3
GREEK 102,GREEK 117,directed,3
GREEK 15,GREEK 117,directed,3
GREEK 100,GREEK 120,directed,3
GREEK 101,GREEK 120,directed,3
GREEK 102,GREEK 120,directed,3
GREEK 105,GREEK 120,directed,3
GREEK 15,GREEK 120,directed,3
GREEK 100,GREEK 121,directed,3
GREEK 101,GREEK 121,directed,3
GREEK 102,GREEK 121,directed,3
GREEK 105,GREEK 121,directed,3
GREEK 15,GREEK 121,directed,3
GREEK 100,GREEK 122,directed,3
GREEK 101,GREEK 122,directed,3
GREEK 102,GREEK 122,directed,3
GREEK 105,GREEK 122,directed,3
GREEK 15,GREEK 122,directed,3
GREEK 100,GREEK 123,directed,3
GREEK 101,GREEK 123,directed,3
GREEK 102,GREEK 123,directed,3
GREEK 105,GREEK 123,directed,3
GREEK 15,GREEK 123,directed,3
GREEK 105,GREEK 125,directed,3
GREEK 15,GREEK 125,directed,3
GREEK 15,GREEK H195A,directed,3
GREEK 15,GREEK H195B,directed,3
GREEK 15,GREEK 199,directed,3
GREEK 1,GREEK 2,directed,3
GREEK 15,GREEK 2,directed,3
GREEK 1,GREEK 15,directed,3
GREEK 2,GREEK 15,directed,3
GREEK 15,GREEK 99,directed,3
GREEK 15,GREEK 100,directed,3
GREEK 15,GREEK 100,directed,3
GREEK 15,GREEK 101,directed,3
GREEK 15,GREEK 101,directed,3
GREEK 100,GREEK 102,directed,3
GREEK 15,GREEK 102,directed,3
GREEK 100,GREEK 105,directed,3
GREEK 15,GREEK 105,directed,3
GREEK 125,GREEK 105,directed,3
GREEK 101,GREEK 115,directed,3
GREEK 102,GREEK 115,directed,3
GREEK 15,GREEK 115,directed,3
GREEK 101,GREEK 116,directed,3
GREEK 102,GREEK 116,directed,3
GREEK 15,GREEK 116,directed,3
GREEK 101,GREEK 117,directed,3
GREEK 102,GREEK 117,directed,3
GREEK 15,GREEK 117,directed,3
GREEK 100,GREEK 120,directed,3
GREEK 101,GREEK 120,directed,3
GREEK 102,GREEK 120,directed,3
GREEK 105,GREEK 120,directed,3
GREEK 15,GREEK 120,directed,3
GREEK 100,GREEK 121,directed,3
GREEK 101,GREEK 121,directed,3
GREEK 102,GREEK 121,directed,3
GREEK 105,GREEK 121,directed,3
GREEK 15,GREEK 121,directed,3
GREEK 100,GREEK 122,directed,3
GREEK 101,GREEK 122,directed,3
GREEK 102,GREEK 122,directed,3
GREEK 105,GREEK 122,directed,3
GREEK 15,GREEK 122,directed,3
GREEK 100,GREEK 123,directed,3
GREEK 101,GREEK 123,directed,3
GREEK 102,GREEK 123,directed,3
GREEK 105,GREEK 123,directed,3
GREEK 15,GREEK 123,directed,3
GREEK 105,GREEK 125,directed,3
GREEK 15,GREEK 125,directed,3
GREEK 15,GREEK H195A,directed,3
GREEK 15,GREEK H195B,directed,3
GREEK 15,GREEK 199,directed,3
