name,size,about
GREEK 1,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
GREEK 2,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
GREEK 15,1,"Terms offered: Summer 2020 10 Week Session, Summer 2019 10 Week Session, Summer 2018 10 Week Session"
GREEK 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
GREEK 100,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
GREEK 101,1,"Terms offered: Spring 2020, Spring 2019, Spring 2017"
GREEK 102,1,"Terms offered: Fall 2019, Fall 2017, Fall 2016"
GREEK 105,1,"Terms offered: Spring 2020, Spring 2016, Spring 2015"
GREEK 115,1,"Terms offered: Fall 2018, Spring 2015, Spring 2014"
GREEK 116,1,"Terms offered: Fall 2015, Spring 2013, Spring 2012"
GREEK 117,1,"Terms offered: Fall 2009, Fall 2002, Fall 2000"
GREEK 120,1,"Terms offered: Fall 2017, Spring 2012, Spring 2006"
GREEK 121,1,"Terms offered: Fall 2019, Fall 2014, Spring 2011"
GREEK 122,1,"Terms offered: Spring 2017, Fall 2013, Fall 2006"
GREEK 123,1,"Terms offered: Spring 2019, Spring 2018, Spring 2016"
GREEK 125,1,"Terms offered: Fall 2016, Spring 2014, Fall 2011"
GREEK 160,1,Terms offered: Spring 2019
GREEK H195A,1,Terms offered: Spring 1998
GREEK H195B,1,Terms offered: Prior to 2007
GREEK 199,1,"Terms offered: Fall 2015, Fall 2014, Spring 2014"
