source,target,type,weight
HISTORY 5,HISTORY 84,directed,3
HISTORY 10,HISTORY 84,directed,3
HISTORY 1,HISTORY 88,directed,3
HISTORY 3,HISTORY 103A,directed,3
HISTORY 3,HISTORY 103B,directed,3
HISTORY 3,HISTORY 103C,directed,3
HISTORY 3,HISTORY 103D,directed,3
HISTORY 3,HISTORY 103E,directed,3
HISTORY 3,HISTORY 103F,directed,3
HISTORY 3,HISTORY 103H,directed,3
HISTORY 3,HISTORY 103S,directed,3
HISTORY 3,HISTORY 103U,directed,3
HISTORY 5,HISTORY N174T,directed,3
HISTORY 20,HISTORY N174T,directed,3
HISTORY 3,HISTORY C196A,directed,3
HISTORY 10,HISTORY C196A,directed,3
HISTORY C196A,HISTORY C196B,directed,3
HISTORY 20,HISTORY C196B,directed,3
HISTORY 12,HISTORY C196W,directed,3
HISTORY 3,HISTORY C196W,directed,3
HISTORY 3,HISTORY 198,directed,3
HISTORY 5,HISTORY 84,directed,3
HISTORY 10,HISTORY 84,directed,3
HISTORY 1,HISTORY 88,directed,3
HISTORY 3,HISTORY 103A,directed,3
HISTORY 3,HISTORY 103B,directed,3
HISTORY 3,HISTORY 103C,directed,3
HISTORY 3,HISTORY 103D,directed,3
HISTORY 3,HISTORY 103E,directed,3
HISTORY 3,HISTORY 103F,directed,3
HISTORY 3,HISTORY 103H,directed,3
HISTORY 3,HISTORY 103S,directed,3
HISTORY 3,HISTORY 103U,directed,3
HISTORY 5,HISTORY N174T,directed,3
HISTORY 20,HISTORY N174T,directed,3
HISTORY C196B,HISTORY C196A,directed,3
HISTORY 3,HISTORY C196A,directed,3
HISTORY 10,HISTORY C196A,directed,3
HISTORY C196A,HISTORY C196B,directed,3
HISTORY 20,HISTORY C196B,directed,3
HISTORY 12,HISTORY C196W,directed,3
HISTORY 3,HISTORY C196W,directed,3
HISTORY 3,HISTORY 198,directed,3
