name,size,about
HISTORY 1,1,"History 1 introduces students to core dynamics of global history. Traversing the experience of human societies from earliest origins to the complex, chaotic, and cacophonous twenty-first century, the course highlights recurrent themes including the origins and development of political order; the evolution of interstate (or international) relations; and the historical advance of globalization. From this vast panorama, students will acquire a broad, even foundational"
HISTORY R1B,1,Reading and composition courses based upon primary historical documents and secondary historical scholarship. These courses provide an introduction to core issues in the interpretation of historical texts and introduce students to the distinctive ways of reading primary and secondary sources. Courses focus on specific historical topics but address general issues of how historians read and write. Satisfies the second half of the Reading and
HISTORY 2,1,"This lower-division lecture course introduces students to the study of history in multiple periods and regions. It will typically be co-taught by faculty members with different geographical and chronological expertise and will center around a particular theme, such as cities, food cultures, or war and society. No prior course-work in the history of any particular part of the world will be expected."
HISTORY 3,1,"A general introduction to the study of history, this course focuses on Byzantium and the Islamic world, two medieval successors to the Roman empire in the Eastern Mediterranean and the Near East. This course has three aims: to provide an outline of events that transpired in this area from the 4th-15th centuries; to explain how a modern historian can approach medieval sources in order to reconstruct various aspects of the past; and to discuss the"
HISTORY 4A,1,"This course offers an introductory survey of the history of the ancient Mediterranean world, from the rise of city states in Mesopotamia c.3000 BC to the transformation of the Roman Empire in the 5th and 6th centuries AD. The emphasis will be on the major developments in the political and social history of the ancient Near East, Egypt, Greece, and Rome, with special attention to those institutions, practices, ideas, and objects that have had an"
HISTORY 4B,1,"Introductory study of major historical events in the origins of western civilization. Emphasis on class discussions, readings in the sources, and writing of essays."
HISTORY 5,1,"This course is an introduction to European history from around 1500 to the present. The central questions that it addresses are how and why Europe--a small, relatively poor, and politically fragmented place-- became the motor of globalization and a world civilzation in its own right. Put differently how did ""western"" become an adjective that, for better and often for worse, stands in place of ""modern""."
HISTORY 6A,1,"The history of China from its beginnings to the destruction of the Song Dynasty by the Mongols in the 13th century. Topics to be covered include the emergence of Chinese civilization, the Chinese language, early rhetoric and philosophy, the creation of the first empire, law, Buddhism and religious Taoism, the socioeconomic revolution of the 10th to 12th centuries, identities (male and female, Chinese and ""barbarian""), lyric poetry, and"
HISTORY 6B,1,This is an introduction to Chinese history from the 13th through the 20th centuries -- from the Mongols and Khubilai Khan's conquest of southern China to the amazing turnaround following the death of Mao Zedong in 1976 and the opening of the era of reform that has led to China's emergence as a major economic and strategic power today. The course assumes no prior knowledge of Chinese history.
HISTORY 7A,1,"This course is an introduction to the history of the United States from the beginning of the European colonization of North America to the end of the Civil War. It is also an introduction to the ways historians look at the past and think about evidence. There are two main themes: one is to understand the origin of the ""groups"" we call European-Americans, Native-Americans, and African-Americans; the second, is to understand how democratic"
HISTORY 7B,1,"What does it mean to be American? Whatever your answer is to this question, chances are it is deeply connected to the themes and events we will discuss in this class. Here we will track America's rise to global power, the fate of freedom in a post-Emancipation political setting, and the changing boundaries of nation, citizenship, and community. We will use landmark events to sharpen our themes, but we will also"
HISTORY 8A,1,"This course covers the history of Latin America from the time of Columbus to around 1870. It thus reckons with almost four centuries of encounter, colonization, accommodation, and struggle that frame the ways that Latin America was becoming Latin American. Lectures and a mix of secondary and primary source readings and images produced during the colonial period serve as points of entry for discussion in section meetings."
HISTORY 8B,1,"This introductory course surveys the history of modern Latin America from independence to the present, with a strong emphasis on the twentieth century. Our focus will be on broad transfomations in politics, place, identity, and work."
HISTORY 10,1,"The history of Africa is extraordinarily complex and rich in both tragedy and achievement. In this course, important issues in African history will be introduced including the following: how and why complex societies formed in Africa; the technological responses of different Africans to environmental changes; how various cultures, religions, and state ideologies helped to organize African social and political life; the effects of the trade in enslaved"
HISTORY 11,1, 
HISTORY 12,1,"This course will cover the history of the ""Middle East"" as a historical, geographic, political, and cultural category. It will be framed by the historical construction of the category in the nineteenth and twentieth centuries, then reach back to the advent of Islam in the seventh century CE and forward to the present. Themes will include the Middle East in the Mediterranean world, religion and politics, interconfessional relationships"
HISTORY 14,1,"A brisk introduction to the nearly two millennia of recorded Japanese history. As a survey, the course gives attention to broad themes and problems in Japan's political, social, and cultural/intellectual history. Topics include the dialectic of national and local identities in shaping Japanese politics, Japan's interaction with the Asian continent and the Western world, and the relation of past to present in modern times."
HISTORY 20,1,"This course introduces students to the history of religion from the earliest written records to the modern world, including the monotheistic traditions of Christianity, Islam, and Judaism, the Asian traditions of Buddhism and Hinduism, and much else besides. Along the way, we will consider such topics as: the relationship between myth and religion; the ways religions define their boundaries, both to create community and to exclude outsiders; religion as a tool of"
HISTORY 24,1,The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments and topics vary from department to department and semester to semester. Enrollment limited to fifteen freshmen.
HISTORY 30,1,"Science as we know is the product of a historical process. In this course, we will explore the emergence of its concepts, practices, goals, and cognitive authority by surveying its roots in their social and cultural setting. We will trace the development of conceptions of the natural world from antiquity through the Scientific Revolution and the Enlightenment and up to the modern age. All the sciences fall within our purview, from their early forms"
HISTORY 39A,1,"The goal of this course is to foster a critical engagement with humanitarian interventions in Africa. Through this course, we will develop a better understanding of the complexity of humanitarianism and its often-unintended consequences in different parts of Africa. Our approach is not prescriptive in the sense that it provides a course of action or a politics to follow. Instead, we use historical methodology as an analytical tool in evaluating"
HISTORY 39B,1,"This seminar uses the haute couture fashions exhibited in the Met’s 2018 blockbuster exhibit Heavenly Bodies: Fashion and the Catholic Imagination to examine the production of meaning through material culture and the uses of the Middle Ages to engage contemporary issues. After being introduced to the history of fashion and critical questions in clothing and textile studies, students will define and conduct their own research projects using the"
HISTORY 39C,1,"Neoliberalism has become a catch-word in social sciences. It is used by scholars from various disciplines and has different meanings. However, usually it is used to indicate some profound change that took place since the 1970s. Some even use it to describe the three decades that have followed the postwar period. In this seminar we will approach neoliberalism from a historical perspective, including the history of neoliberal ideas, neoliberal"
HISTORY 39D,1,"In 2011, Bill Gates and David Christian launched a project for teaching “Big History” at high schools. In their definition, “Big History seeks to understand the integrated history of the Cosmos, Earth, Life, and Humanity, using the best available empirical evidence and scholarly methods.” The vocabulary, concepts, and environmental fears driving the project are distinctly twenty-first century. However, humanity has sought the exact same goals"
HISTORY 39F,1,"A paradox lies at the heart of our visions of present-day South Asia: on the one hand, the region has witnessed explosive economic growth, leading some to speak of the next hundred years as an ‘Asian Century’. On the other hand, the countries of the region remain beset by enormous challenges, from the shadow of terrorism, the threat of nuclear war, the increasingly rapid slide into authoritarianism, the growth of religious violence and fundamentalism"
HISTORY 39G,1,"This course covers the history of Scandinavian political society from the Viking invasions to the formation of kingdoms. After examining the attacks on England and the European Continent, discussion turns to Viking mythology, the colonization of the North Atlantic (including Vinland), and Icelandic feuding. A fair amount of attention will be devoted to archaeological excavations. The course also works with Norse mythologies, and the ways"
HISTORY 39H,1,"The Eastern Mediterranean, like the larger Mediterranean world of which it is a part, has been a fascinating laboratory of unity and diversity—geographic, economic, social, political, and cultural—since Roman antiquity. In this course we look at the unity and diversity of culture in the region as related to population movements over the last two centuries. After considering historical and anthropological conceptions of culture, we consider"
HISTORY 39I,1,"Child labor in Africa is a complex phenomenon that defies simple analysis or solution. It is claimed that about one third of all children under 14 years of age, are ""economically active"" This seminar seeks to examine diverse categories of child labor spawned by specific socio-cultural, religious, economic, and political contexts riddled with extreme poverty, and a hostile global environment. Sample topics to be explored include: definitions"
HISTORY 39T,1,"This course is concerned broadly with the with the long history of the relationship between Hinduism and Islam in the Indian subcontinent over the last millennium. Using a variety of readings from the ancient past and the contemporary present, we will relationship between the categories of ‘religion’ and ‘politics’; the practices of violence which lie at their intersection; and their evolving forms in South Asia today. Topics explored include"
HISTORY 39U,1,"This seminar explores the history of Shanghai as a place of interaction between China and the world during the nineteenth and twentieth centuries. Shanghai’s opening to foreign trade and residence after 1842 sparked its rapid growth into China’s largest metropolis, and one of the great cities of the world, less than a century later. We will focus on how the accelerating flow of people, goods, and ideas through Shanghai from across the world"
HISTORY 39W,1,"This class will examine different aspects of warfare from the Germanic invasions of the fourth and fifth centuries through the Hundred Years War of the fourteenth and fifteenth centuries. We will also discuss the Viking invasions (especially in England), the Third Crusade, weaponry, army recruitment and size, castle construction, and siege weaponry and tactics. Special attention will be given both to the details of logistics and warfare’s"
HISTORY 39Y,1,"Ancient and medieval historians paid little attention to women. When they did, it was either to praise them lavishly or disparage them irredeemably. Their impoverished view of women’s lives stands in stark contrast to the material available from other sources, both textual and artistic. In this class we shall consider the gamut of women’s experiences, such as social, religious and gender roles, economic and legal rights, faith, passions, and"
HISTORY 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
HISTORY 88,1,"In this connector course, we will explore how historical data becomes historical evidence and how recent technological advances affect long-established practices, such as close attention to historical context and contingency. Will the advent of fast computing and big data make history “count” more or lead to unprecedented insights into the study of change over time? During our weekly discussions, we will apply what we learn in lectures and"
HISTORY 98,1,Lectures and small group discussion focusing on topics of interest that vary from semester to semester. Grading based on discussion and written work.
HISTORY 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
HISTORY 100AC,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100AP,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100B,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100BP,1,"Designed primarily to permit the instructors to deal with a topic with which they are especially concerned, usually more restricted than the subject matter of a regular lecture course. A combination of informal lectures and discussions, term papers, and examinations. Instructors and subject to vary. Consult department website during pre-enrollment week each semester for topic. Satisfies the premodern requirement for the History major."
HISTORY 100D,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100E,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100F,1,"This course is designed to engage students in conversations about particular perspectives on the history of a selected nation, region, people, culture, institution, or historical phenomenon as specified by the respective instructor. By taking this course, students will come to understand, and develop an appreciation for, some combination of: the origins and evolution of the people, cultures, and/or political, economic, and/or social institutions"
HISTORY 100H,1,"Designed primarily to permit the instructors to deal with a topic with which they are especially concerned, usually more restricted than the subject matter of a regular lecture course. A combination of informal lectures and discussions, term papers, and examinations. Instructors and subject to vary. Consult department website during pre-enrollment week each semester for topic."
HISTORY 100L,1,"Designed primarily to permit the instructors to deal with a topic with which they are especially concerned, usually more restricted than the subject matter of a regular lecture course. A combination of informal lectures and discussions, term papers, and examinations. Instructors and subject to vary. Consult department website during pre-enrollment week each semester for topic."
