name,size,about
IND ENG 24,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015"
IND ENG 66,1,Terms offered: Fall 2016
IND ENG 95,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 98,1,"Terms offered: Spring 2019, Fall 2015, Spring 2015"
IND ENG 99,1,Terms offered: Prior to 2007
IND ENG 115,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 120,1,Terms offered: Prior to 2007
IND ENG 130,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 135,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018"
IND ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 150,1,"Terms offered: Fall 2019, Fall 2018, Spring 2018"
IND ENG 151,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 153,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
IND ENG 160,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 162,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 164,1,Terms offered: Not yet offered
IND ENG 165,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
IND ENG 166,1,"Terms offered: Fall 2019, Spring 2018, Spring 2017"
IND ENG 169,1,"Terms offered: Spring 2020, Spring 2019"
IND ENG 170,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
IND ENG 171,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 172,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
IND ENG 173,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
IND ENG 174,1,"Terms offered: Spring 2020, Spring 2019"
IND ENG 180,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 185,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019"
IND ENG 186,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018"
IND ENG 190A,1,"Terms offered: Spring 2018, Fall 2016, Spring 2016"
IND ENG 190B,1,"Terms offered: Fall 2017, Spring 2014, Fall 2013"
IND ENG 190C,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 190D,1,"Terms offered: Spring 2017, Fall 2014, Spring 2014"
IND ENG 190E,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 190F,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011"
IND ENG 190G,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 190H,1,Terms offered: Spring 2011
IND ENG 190I,1,Terms offered: Prior to 2007
IND ENG 190K,1,Terms offered: Prior to 2007
IND ENG 191,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG 192,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019"
IND ENG 195,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
IND ENG H196A,1,Terms offered: Prior to 2007
IND ENG H196B,1,Terms offered: Prior to 2007
IND ENG 197,1,"Terms offered: Summer 2020 10 Week Session, Spring 2020, Fall 2019"
IND ENG 198,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019"
IND ENG 199,1,"Terms offered: Fall 2019, Fall 2018, Summer 2016 10 Week Session"
