source,target,type,weight
INTEGBI 132,INTEGBI 123AL,directed,3
INTEGBI 136,INTEGBI 123AL,directed,3
INTEGBI 131,INTEGBI C125L,directed,3
INTEGBI 131L,INTEGBI C125L,directed,3
INTEGBI 132,INTEGBI 127L,directed,3
INTEGBI 136,INTEGBI 127L,directed,3
INTEGBI 132,INTEGBI C129L,directed,3
INTEGBI 123AL,INTEGBI C129L,directed,3
INTEGBI 131,INTEGBI 131L,directed,3
INTEGBI 132,INTEGBI 132L,directed,3
INTEGBI 131,INTEGBI 133,directed,3
INTEGBI 135,INTEGBI C135L,directed,3
INTEGBI 120,INTEGBI C135L,directed,3
INTEGBI 140,INTEGBI C144,directed,3
INTEGBI 151,INTEGBI 151L,directed,3
INTEGBI 154L,INTEGBI 154,directed,3
INTEGBI 154,INTEGBI 154L,directed,3
INTEGBI 168L,INTEGBI 168,directed,3
INTEGBI 153,INTEGBI 170LF,directed,3
INTEGBI 104LF,INTEGBI 173LF,directed,3
INTEGBI 104LF,INTEGBI 174LF,directed,3
INTEGBI 104LF,INTEGBI 175LF,directed,3
INTEGBI C176L,INTEGBI 177LF,directed,3
