name,size,about
INTEGBI 11,1,"An introduction to the biomes, plants, and animals of Califo
rnia. The lectures will introduce natural history as the fou
ndation of the sciences, with an overview of geology, paleon
tology, historical biology, botany, zoology, ecosystem ecolo
gy, and conservation biology. The field labs will include ac
tivities on the UC Berkeley campus and around the Bay Area. 
Course is open to all students without prerequisite and will
 provide a foundation for advanced study in biology"
INTEGBI W11,1,"An introduction to the biomes, plants, and animals of Califo
rnia. Course is open to all students without prerequisite an
d will provide a foundation for advanced study in biology an
d field biology. Students will have the flexibility to choos
e their own adventure within the fields of geology, botany, 
and zoology, with possible emphases in paleontology, histori
cal ecology, morphology, animal behavior, ecosystem ecology,
 or conservation biology. Fieldwork is a requirement"
INTEGBI C13,1,"This course will cover our modern scientific understanding o
f origins, from the Big Bang to the formation of planets lik
e Earth, evolution by natural selection, the genetic basis o
f evolution, and the emergence of humans. These ideas are of
 great intrinsic scientific importance and also have far rea
ching implications for other aspects of people's lives (e.g.
, philosophical, religious, and political). A major theme wi
ll be the scientific method"
INTEGBI 24,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er."
INTEGBI 31,1,"Principles of evolution biology as they relate to animal beh
avior and behavioral ecology with broad coverage of animal g
roups. Special attention will be paid to the emerging discip
line of behavioral ecology."
INTEGBI C32,1,"Bioinspired design views the process of how we learn from Na
ture as an innovation strategy translating principles of fun
ction, performance and aesthetics from biology to human tech
nology. The creative design process is driven by interdiscip
linary exchange among engineering, biology, art, architectur
e and business. Diverse teams of students will collaborate o
n, create, and present original bioinspired design projects.
 Lectures discuss biomimicry"
INTEGBI N33,1,"Open without prerequisite to all students and designed for t
hose not specializing in paleontology. Evolution history, an
d ecology of the dinosaurs and their world, including the ea
rliest mammals and birds."
INTEGBI 35AC,1,"This course addresses modern human biological variation from
 historical, comparative, evolutionary, biomedical, and cult
ural perspectives. It is designed to introduce students to t
he fundamentals of comparative biology, evolutionary theory,
 and genetics."
INTEGBI 37,1,". Open without prerequisite toall students and designed for 
those not specializing in paleontology. Survey the evolution
, ecology, and history of the primate order. Special emphasi
s will be given to primate origins, geographic distribution,
 and the evolution of the human lineage."
INTEGBI 39C,1,"Reading and discussion of the literature on particular topic
s in the field of integrative biology. Term paper and oral p
resentation. Section topics will vary from semester to semes
ter. Students should check with department secretary for eac
h semester's offerings."
INTEGBI 41,1,"A survey of marine mammal evolution, biology, behavior, ecol
ogy, and politics with a concentration on those species foun
d in the North Pacific. Coverage would include: origin and e
volution of cetaceans, pinnipeds, sirenians, and sea otters;
 basic biology and anatomy of marine mammal groups, and Nort
h Pacific species in particular; ecological interactions and
 role in nearshore and pelagic marine communities; and"
INTEGBI 42,1,"An introduction to the order of mammals of which we are memb
ers. The niches of primates in modern ecosystems, their anat
omical and behavorial specialization, and their role as indi
cator species in conservation. The mechanisms and variety of
 primate social organization compared with that of other ani
mals."
INTEGBI 77A,1,"Each week a different Integrative Biology faculty member wil
l give a one hour lecture on how their research field contri
butes to our understanding of human biology. The integration
 of the disciplines of evolution, ecology, paleontology, com
parative physiology, and comparative anatomy in the study of
 how humans function in ecosystems illuminates our understan
ding of human biology. During each presentation, the faculty
 member will also inform students"
INTEGBI 77B,1,"Each week a different Integrative Biology faculty member wil
l give a one hour lecture on how their research field contri
butes to our understanding of human biology. The integration
 of the disciplines of evolution, ecology, paleontology, com
parative physiology, and comparative anatomy in the study of
 how humans function in ecosystems illuminates our understan
ding of human biology. During each presentation, the faculty
 member will also inform"
INTEGBI C82,1,"This course offers multidisciplinary approach to begin answe
ring the question ""Why are oceans important to us?"" Upon a p
hysical, chemical, and geologic base, we introduce the alien
 world of sea life, the importance of the ocean to the globa
l carbon cycle, and the principles of ecology with a focus o
n the important concept of energy flow through food webs. Le
ctures expand beyond science to include current topics as di
verse as"
INTEGBI 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
INTEGBI 87,1,"This course provides a functional understanding of hypothesi
s/data driven research and exposure to current approaches an
d methods in biological science. The lectures address founda
tional concepts of the scientific method, research ethics, s
cientific communication, and how to understand scientific li
terature. The labs provide exposure to faculty research and 
experimental methods. The course is geared"
INTEGBI 88,1,"Leadership skills and abilities such as communication, colla
boration, critical thinking, and resourcefulness are critica
l to academic, professional, and personal success. The need 
for enlightened leaders is evident in every aspect of health
 and science such as designing innovative health programs, o
btaining funding, conducting cutting-edge research, developi
ng and gaining support to implement policy solutions. This c
ourse provides an understanding"
INTEGBI 95,1,"Students enrolled in Biology 1B can participate in special f
ield research in addition to attending regular laboratory se
ctions. Students work independently with minimal supervision
. Students will learn how to develop a project, collect and 
record data, conduct and analyze experiments, write a report
, and make an oral presentation. Project may require traveli
ng to off-campus sites, and may include night or weekend wor
k."
INTEGBI 95B,1,"Enrollment into this course is for students interested in te
aching science to children under the guidance of the Lawrenc
e Hall of Science Instructors and Staff. As a LHS Teaching A
ssistant (TA), you will have the opportunity to assist with 
workshops serving grade school-aged children and to lead sma
ll discussion groups. The workshops consist of organismal bi
ology related materials. You will undergo training in the Ha
ll’s Animal Discovery Room to ensure that you"
INTEGBI C96,1,"Freshmen will be introduced to the ""culture"" of the biologic
al sciences, along with an in-depth orientation to the acade
mic life and the culture of the university as they relate to
 majoring in biology. Students will learn concepts, skills, 
and information that they can use in their major course, and
 as future science professionals. Restricted to freshmen in 
the biology scholars program."
INTEGBI 98,1,"Lectures and small group discussions focusing on topics of i
nterest, varying from semester to semester."
INTEGBI 99,1,"Lower division independent study and research intended for t
he academically superior student. Enrollment only with prior
 approval of faculty adviser directing the research."
INTEGBI 100B,1,"Biogeographic, temporal, and historical patterns of change i
n biological diversity; phylogenetics and systematics; proce
sses involved in origin and extinction of taxa and floras/fa
unas; population structure and demography (including human p
opulations); community processes and maintenance of diversit
y; ecosystem function; global change; human uses of and effe
cts on biodiversity; conservation biology."
INTEGBI C100,1,"For undergraduates interested in improving their ability to 
communicate their scientific knowledge by teaching ocean sci
ence in elementary schools or science centers/aquariums. The
 course will combine instruction in inquiry-based teaching m
ethods and learning pedagogy with six weeks of supervised te
aching experience in a local school classroom or the Lawrenc
e Hall of Science with a partner. Thus, students will practi
ce communicating"
INTEGBI 101,1,"This course will introduce students to concepts and techniqu
es for effective communication of scientific findings, both 
within the scientific community and to the general public. S
tudents will be exposed to a variety of formats, including s
ystematic observations in field journals, proposals, confere
nce presentations, seminars, journal articles, popular scien
ce writing, and interviews. Students can expect to gain a se
nse of confidence in writing"
INTEGBI 102LF,1,"The relationship of the main plant groups and the plant comm
unities of California to climate, soils, vegetation, geologi
cal and recent history, and conservation. Laboratory will al
so include at least two Saturday field trips and focus on ma
in plant groups and major plant families in California, and 
use of keys to identify introduced and especially native pte
ridophytes, conifers, and flowering plants of the state."
INTEGBI 103LF,1,"Introductory survey of the biology of invertebrates, stressi
ng comparative functional morphology, phylogeny, natural his
tory, and aspects of physiology and development. Laboratory 
study of invertebrate diversity and functional morphology, a
nd field study of the natural history of local marine invert
ebrates."
INTEGBI 104LF,1,"Biology of the vertebrates, exclusive of fish. Laboratory an
d field study of local vertebrates exclusive of fish."
INTEGBI C105,1,"(1) survey of museum resources, including strategies for acc
ession, conservation, collecting and acquiring material, adm
inistration, and policies; (2) strategies for making collect
ions digitally available (digitization, databasing, georefer
encing, mapping); (3) tools and approaches for examining his
torical specimens (genomics, isotopes, ecology, morphology, 
etc); and (4) data integration and inference. The final thir
d of the course will involve"
INTEGBI 106A,1,"The biological implications of marine physics and chemistry.
 History and properties of seawater. Geophysical fluids. Cur
rents and circulations. Deep sea. Waves, tides, and bottom b
oundary layers. The coastal ocean; estuaries. Air/sea intera
ction. Mixing. Formation of water masses. Modeling biologica
l and geochemical processes. Ocean and climate change."
