name,size,about
ISF 10,1,"This course is a broad survey of major canonical works (“Gre
at Books”) emphasizing from the premodern traditions of West
ern Civilization since the Greeks. These texts offer respons
es to central questions that, across the disciplinary divide
s, continue to inform contemporary work in the social scienc
es and the humanities. By considering these enduring questio
ns and the responses of writers in Ancient, Medieval, Early 
Modern, and Modern Europe"
ISF 50,1,"It’s hard not to open a newspaper or magazine today and see 
claims being made for artificial intelligence. Advocates arg
ue that software programs will now be able to even perform c
reative jobs (as opposed to just routine ones) and that this
 is both a matter of celebration and concern. Critics argue 
that these claims are hyperbolic, while others argue that th
ey are too close to reality and an indication of how much au
tonomy we have ceded to machines. In this course"
ISF 60,1,"If science and technology are value-laden activities, then w
here exactly do the values lie? In this class, we will pick 
apart the black-box of science and technology and look for v
alues not just in terms of bad actors, corruption, or ""impli
cations,"" but in the processes that constitute modern techno
science itself. These processes include: the ways in which r
esearchers construct problems, solutions, facts, and artifac
ts; the norms"
ISF 61,1,"This is an interdisciplinary survey course that seeks to und
erstand how we define justice, evil, and individual responsi
bility in modern society. In particular we are going to prob
e carefully how humans reflect on and practice the process o
f moral reasoning. We will focus on human behavior in extrem
e situations: war, life and death conflicts, genocide and ma
ss killing, as well as competing conceptions of human freedo
m. The course has a distinctive"
ISF 62,1,"In this course, we will utilize works in the humanities and 
the social sciences in order to explore a number of dimensio
ns of self-deception in the modern world. The focus will be 
upon the willingness to falsify both personal life as well a
s one's position in the public sphere. The course will begin
 with an examination of the psychological dimension, emphasi
zing the importance of the nature of unconscious experience.
 In this context, we will"
ISF 98,1,"Seminars for the group study of selected topics not covered 
by regularly scheduled courses. Topics will vary from semest
er to semester."
ISF 100A,1,"This course, required of all ISF majors but open to all stud
ents, provides an introduction to the works of foundational 
social theorists of the nineteenth century, including Karl M
arx and Max Weber. Writing in what might be called the “pre 
disciplinary” period of the modern social sciences, their wo
rks cross the boundaries of anthropology, economics, history
, political science, sociology, and are today claimed by the
se"
ISF 100B,1,"This course will explore how people come to develop and valu
e the self as well their specific social identities. The cou
rse will draw on anthropology, sociology, neurobiology and p
hilosophy to grapple with that which is most intimate yet of
ten most opaque to us: our own selves. Yet we shall also exp
lore the cultural limits of our unstable understanding of ou
r individuated selves as well as the dialectic"
ISF 100C,1,"This course examines the role of language in the constructio
n of social identities, and how language is tied to various 
forms of symbolic power at the national and international le
vels.? Drawing on case studies from Southeast Asia, Europe, 
Canada, and the U.S., we will pay special attention to topic
s such as the legitimization of a national language, the pol
itical use of language in nation-building processes, the end
angerment of indigenous"
ISF 100D,1,"This course surveys the technological revolutions of the 19t
h and 20th centuries, it then focuses on the development of 
the computer and the Internet. The final part examines the i
mpact of the Internet on social movements."
ISF 100E,1,"This interdisciplinary course is an introduction to the comp
lex interplay of transnational values, international rights 
and legal institutions that increasingly govern social, cult
ural and geopolitical interactions in our contemporary world
. Theoretical and methodological tools from the social scien
ces, jurisprudence, and philosophy will be applied im the an
alyses of these interplays."
