name,size,about
ITALIAN 1,1,Basic grammar for beginners: Part one.
ITALIAN 1R,1,"An intensive Italian language course designed for native or advanced speakers of Romance languages (French, Spanish, Portuguese, Romanian, Catalan). In one semester, we will cover materials usually taught in two semesters in Elementary Italian 1 and 2. Students who successfully complete the course will be able to enroll in Italian 3 (Intermediate Italian). Regular attendance is mandatory."
ITALIAN 1S,1,"An intensive Italian language course designed for native or advanced speakers of Romance languages (French, Spanish, Portuguese, Romanian, Catalan). In one semester, we will cover materials usually taught in two semesters in Elementary Italian 1 and 2. Students who successfully complete the course will be able to enroll in Italian 3 (Intermediate Italian). Regular and continued attendance of both classes is mandatory."
ITALIAN W1,1,"Elementary Italian W1 is for beginners and focuses on developing basic language skills (reading, writing, speaking, and listening) in Italian. Italian will be spoken in class at all times; students will be exposed to authentic Italian material from films, songs, websites, and will have the opportunity to practice their listening and speaking skills daily. This is a hybrid course, including both a face-to-face and a hybrid component to be completed online: attendance"
ITALIAN 2,1,Basic grammar for beginners: Part two.
ITALIAN W2,1,"Elementary Italian W2 is for students who already have some knowledge of basic structures and vocabulary of Italian. Students will expand their knowledge and mastery of grammar, vocabulary, pronunciation; improve speaking, listening, reading and writing skills and learn about Italian culture and society. Italian will be spoken in class at all times; students will be exposed to authentic Italian material and will practice listening and speaking daily."
ITALIAN 3,1,"Grammar review, reading, and written composition."
ITALIAN 4,1,Selected readings in modern Italian prose; a review of the essentials of grammar; written and oral compositions.
ITALIAN R5A,1,"Reading and composition course based on works by Italians and foreigners about Italy and its culture and by Italians about their distinctive experiences of other cultures as tourists and emigrants. Works studied will be primarily chosen from among fiction and non fiction narratives, both originally in English and translated into it. R5A satisfies the first half of the Reading and Composition Requirement and R5B satisfies the second half."
ITALIAN R5B,1,"Reading and composition course based on works by Italians and foreigners about Italy and its culture and by Italians about their distinctive experiences of other cultures as tourists and emigrants. Works studied will be primarily chosen from among fiction and non fiction narratives, both originally in English and translated into it. R5A satisfies the first half of the Reading and Composition Requirement"
ITALIAN 11,1,"The aim of this course is to develop and enhance oral communication skills in students who have already learned the basics of Italian grammar in Italian 1 and Italian 2. Through this course students will enrich their listening and speaking skills through the acquisition of new vocabulary, conversational practice, oral reports, discussions, and collaborative projects."
ITALIAN 12,1,"The course is designed to develop and enhance oral communication skills at an advanced level, by means of conversational practice, discussion of readings, student presentation or original material, and use of audio-visual materials and realia."
ITALIAN N12,1,"This course is designed to develop and enhance oral communication skills at an advance level, by means of conversational practice, discussion of readings, student presentation on original material, and use of audio-visual materials and realia."
ITALIAN 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
ITALIAN 25,1,"This course serves as an introduction to Italian Studies in a comparative and interdisciplinary context. In each iteration of the course, students will learn about major intellectual debates in Italian culture and society, viewed in relation to their global context. Topics will vary with instructor."
ITALIAN 30,1,An introduction to Dante's works in the cultural and historical context of the European Middle Ages.
