name,size,about
JAPAN 1,1,"Terms offered: Summer 2019 10 Week Session, Summer 2018 10 Week Session, Summer 2017 10 Week Session"
JAPAN 1A,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
JAPAN 1AL,1,"Terms offered: Fall 2012, Fall 2011, Fall 2010"
JAPAN 1AS,1,"Terms offered: Fall 2012, Fall 2011, Fall 2010"
JAPAN 1B,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019"
JAPAN 1BL,1,"Terms offered: Spring 2010, Spring 2009, Spring 2008"
JAPAN 1BS,1,"Terms offered: Spring 2010, Spring 2009, Spring 2008"
JAPAN 7A,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2019, Summer 2019 First 6 Week Session"
JAPAN 7B,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Summer 2019 Second 6 Week Session"
JAPAN 10,1,"Terms offered: Summer 2019 10 Week Session, Summer 2018 10 Week Session, Summer 2017 10 Week Session"
JAPAN 10A,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
JAPAN 10AG,1,"Terms offered: Fall 2012, Fall 2011, Fall 2010"
JAPAN 10AS,1,"Terms offered: Fall 2012, Fall 2011, Fall 2010"
JAPAN 10B,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Spring 2019"
JAPAN 10BG,1,"Terms offered: Spring 2010, Spring 2009, Spring 2008"
JAPAN 10BS,1,"Terms offered: Spring 2010, Spring 2009, Spring 2008"
JAPAN 10RA,1,Terms offered: Fall 2019
JAPAN 10RB,1,Terms offered: Spring 2020
JAPAN 10X,1,"Terms offered: Fall 2019, Fall 2017, Fall 2016"
JAPAN 24,1,"Terms offered: Fall 2011, Spring 2010, Fall 2008"
JAPAN 80,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019"
JAPAN 84,1,Terms offered: Spring 2015
JAPAN 98,1,"Terms offered: Fall 2009, Spring 2009, Spring 2008"
JAPAN 99,1,Terms offered: Spring 1997
JAPAN 100,1,"Terms offered: Summer 2016 10 Week Session, Summer 2015 10 Week Session, Summer 2014 10 Week Session"
JAPAN 100A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
JAPAN 100B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
JAPAN 100S,1,"Terms offered: Spring 2020, Spring 2017, Spring 2015"
JAPAN 100X,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018"
JAPAN 101,1,"Terms offered: Fall 2019, Fall 2017, Fall 2015"
JAPAN 102,1,"Terms offered: Spring 2020, Spring 2018, Spring 2016"
JAPAN 103,1,"Terms offered: Fall 2018, Fall 2016, Fall 2015"
JAPAN 104,1,"Terms offered: Spring 2017, Spring 2015, Spring 2014"
JAPAN 105,1,Terms offered: Spring 2019
JAPAN 111,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012"
JAPAN 112,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013"
JAPAN C115,1,"Terms offered: Fall 2018, Spring 2017, Fall 2015"
JAPAN 116,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017"
JAPAN 120,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
JAPAN 130,1,"Terms offered: Spring 2020, Spring 2019, Spring 2016"
JAPAN 132,1,"Terms offered: Spring 2015, Spring 2011, Spring 2009"
JAPAN 140,1,"Terms offered: Spring 2010, Spring 2000, Spring 1999"
JAPAN C141,1,"Terms offered: Fall 2018, Spring 2018, Spring 2017"
JAPAN 144,1,"Terms offered: Spring 2018, Spring 2013, Spring 2012"
JAPAN 146,1,"Terms offered: Spring 2014, Spring 2012, Fall 2009"
JAPAN 155,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018"
JAPAN 159,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017"
JAPAN 160,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017"
JAPAN 161,1,"Terms offered: Spring 2020, Spring 2019, Spring 2017"
JAPAN 163,1,"Terms offered: Fall 2019, Fall 2018, Spring 2018"
JAPAN 170,1,"Terms offered: Spring 2014, Fall 2010, Fall 2008"
JAPAN 173,1,"Terms offered: Spring 2020, Spring 2015, Spring 2013"
JAPAN C176,1,Terms offered: Fall 2007
JAPAN 177,1,"Terms offered: Spring 2020, Fall 2018, Fall 2017"
JAPAN 178,1,"Terms offered: Fall 2019, Spring 2018"
JAPAN 180,1,"Terms offered: Fall 2013, Fall 2008, Spring 2008"
JAPAN 181,1,"Terms offered: Fall 2019, Spring 2018, Fall 2016"
JAPAN 185,1,"Terms offered: Fall 2018, Fall 2015, Spring 2013"
JAPAN 188,1,"Terms offered: Fall 2019, Spring 2017, Fall 2011"
JAPAN 189,1,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2013, Spring 2012"
JAPAN H195A,1,"Terms offered: Fall 2019, Summer 2018 10 Week Session, Fall 2015"
JAPAN H195B,1,"Terms offered: Spring 2019, Fall 2015, Fall 2014"
JAPAN 198,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013"
JAPAN 199,1,"Terms offered: Spring 2019, Fall 2015, Fall 2014"
