name,size,about
LD ARCH 1,1,"This introductory studio course is open to all undergraduate
 students in the University, who want to investigate the pro
cess of drawing as a method to learn how to perceive, observ
e and represent the environment. This studio will encourage 
visual thinking as a formative tool for problem solving that
 provides a means to envision a sustainable future. The focu
s will be on the critical coordination between hand"
LD ARCH 12,1,"The scientific basis of sustainability, explored through stu
dy of energy, water, food, natural resources, and built envi
ronment. Physical/ecological processes and systems, and huma
n impacts from the global scale to local energy/resource use
. Energy and water audits, opportunities to increase sustain
ability of processes/practices. Discussion/lab section invol
ves field data collection/analysis (e.g., habitat characteri
stics and macroinvertebrate"
LD ARCH 98,1,"Supervised group studies of various topics relevant to depar
tment that are not covered in depth by other courses. Topics
 may be initiated by students. Open to students in good stan
ding who, in consultation with a faculty sponsor, present a 
proposal with clearly formulated objectives and means of imp
lementation. Intended for exceptional students. Topics vary 
from semester to semester."
LD ARCH 101,1,"This studio introduces students to the programmatic, artisti
c, and technical aspects of land form and topographic adjust
ments to accommodate human use. Topics include pedestrian an
d vehicular circulation, conservation and addition of plant 
materials, movement of water, recreation use, and creation o
f views. Sculptural land forms will be emphasized through th
e use of topographic plans, sections, and contour models."
LD ARCH 102,1,"This studio stresses the shaping and coordination of ideas f
rom initial concept to complete design product. A product(s)
 of intermediate scale and complexity (such as a garden, sma
ll park, plaza, or campus courtyard) will be developed in de
tail including the selection of planting, selection of const
ruction materials, and topographic design. Lecture modules o
n selected professional topics are integrated into this cour
se."
LD ARCH 103,1,"This is an undergraduate studio with a central focus on clim
ate modification for energy conservation. We will research h
istorical precedents in order to develop new garden forms fo
r passive green designs. We will also explore how past cultu
res integrated metaphysics into their gardens as an adjunct 
to microclimate and habitat design. The contemporary landsca
pe should be a balanced interweaving of proportion, function
, comfort, energy conservation"
LD ARCH 110,1,"Analysis of environmental factors, ecosystem functions, and 
ecosystem dynamics, as related to decision-making for landsc
ape planning and design."
LD ARCH 110L,1,"Introduction to field techniques for assessment of landscape
 factors. Factors include topography, geology, climate, soil
, hydrology, flora, vegetation, and wildlife."
LD ARCH 111,1,"Through lecture, research, and studio assignments, this cour
se introduces the use of plants as design elements in the la
ndscape, from the urban scale to the site-specific scale, fo
cusing on the public open space. By analyzing historic, cont
emporary, and Bay Area examples, the course examines the spa
tial, visual, and sensory qualities of vegetation, as well a
s the interplay with ecological functions and engineering us
es of plants."
LD ARCH 112,1,"This course is an introduction to the identification and rec
ognition, as well as design applications and uses, of plants
 in the landscape. Through lectures, assignments, and fieldw
ork, the course provides class participants with an apprecia
tion of the importance of vertical vegetation as a design el
ement. Students will be introduced to a variety of built pro
jects and plants commonly used in Bay Area landscapes."
LD ARCH 120,1,"Technical, graphic and computational exercises, and studio p
roblems in topographic site design and the shaping of the si
te for surface drainage."
LD ARCH 121,1,"This course introduces the visual and physical characteristi
cs of landscape construction materials including, but not li
mited to, stone, brick, concrete, metal, asphalt, and wood. 
Additionally, lectures cover the production and availability
 of these materials, any existing evaluations on their susta
inability, and their potential impact on the immediate envir
onment. Students also learn to utilize standard sources of i
nformation on building"
LD ARCH 122,1,"This course presents an overview of relevant hydrologic, hyd
raulic, and geomorphic processes, to provide the planner and
 ecologist with insight to incorporate these processes into 
the planning process and coordinate with specialists in the 
field of hydrology. Relevant government regulations and poli
cies are also reviewed. The course is not intended to duplic
ate more specialized courses offered in such fields as engin
eering hydrology, coastal"
LD ARCH 130,1,"This course is an introduction to issues of sustainability i
n the designed landscape and in our cities. It includes envi
ronmental history as well as contemporary social, environmen
tal and political issues surrounding sustainable design and 
activism. The course stresses motives and values expressed t
hrough environmental design at various scales – from neighbo
rhood to global and examines problems affecting healthy"
LD ARCH 133,1,"This course will provide students an opportunity to analyze 
and interpret the iconic built landscapes of the Bay Area th
rough direct observation and field sketching. The vision for
 the course is influenced by the global popularity of the Ur
ban Sketchers movement, a phenomenon based on personal engag
ement with one’s environment. The annotated sketchbook will 
be used as the primary tool for investigation and documentat
ion of core fundamental principles and elements of"
