name,size,about
LATIN 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 2,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 15,1,"Terms offered: Summer 2020 10 Week Session, Summer 2019 10 W
eek Session, Summer 2018 10 Week Session"
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
LATIN 100,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 101,1,"Terms offered: Fall 2019, Spring 2019, Fall 2018"
LATIN 102,1,"Terms offered: Spring 2020, Spring 2018, Spring 2017"
LATIN 115,1,"Terms offered: Fall 2019, Fall 2009, Fall 2008"
LATIN 116,1,"Terms offered: Fall 2016, Spring 2013, Fall 2011"
LATIN 119,1,"Terms offered: Spring 2019, Fall 2017, Spring 2014"
LATIN 120,1,"Terms offered: Fall 2014, Fall 2013, Spring 2009"
LATIN 121,1,"Terms offered: Fall 2018, Spring 2012, Fall 2008"
LATIN 122,1,"Terms offered: Spring 2020, Spring 2018, Spring 2017"
LATIN 140,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016"
LATIN 155A,1,"Terms offered: Fall 2015, Spring 2010, Spring 2006"
LATIN 160,1,Terms offered: Spring 2020
LATIN H195A,1,Terms offered: Prior to 2007
LATIN H195B,1,Terms offered: Prior to 2007
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
LATIN 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 2,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 15,1,"Terms offered: Summer 2020 10 Week Session, Summer 2019 10 W
eek Session, Summer 2018 10 Week Session"
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
LATIN 100,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 101,1,"Terms offered: Fall 2019, Spring 2019, Fall 2018"
LATIN 102,1,"Terms offered: Spring 2020, Spring 2018, Spring 2017"
LATIN 115,1,"Terms offered: Fall 2019, Fall 2009, Fall 2008"
LATIN 116,1,"Terms offered: Fall 2016, Spring 2013, Fall 2011"
LATIN 119,1,"Terms offered: Spring 2019, Fall 2017, Spring 2014"
LATIN 120,1,"Terms offered: Fall 2014, Fall 2013, Spring 2009"
LATIN 121,1,"Terms offered: Fall 2018, Spring 2012, Fall 2008"
LATIN 122,1,"Terms offered: Spring 2020, Spring 2018, Spring 2017"
LATIN 140,1,"Terms offered: Spring 2019, Spring 2017, Spring 2016"
LATIN 155A,1,"Terms offered: Fall 2015, Spring 2010, Spring 2006"
LATIN 160,1,Terms offered: Spring 2020
LATIN H195A,1,Terms offered: Prior to 2007
LATIN H195B,1,Terms offered: Prior to 2007
LATIN 199,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
LATIN 1,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 2,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 15,1,"Terms offered: Summer 2020 10 Week Session, Summer 2019 10 W
eek Session, Summer 2018 10 Week Session"
LATIN 99,1,"Terms offered: Fall 2014, Spring 2014, Fall 2013"
LATIN 100,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019"
LATIN 101,1,"Terms offered: Fall 2019, Spring 2019, Fall 2018"
LATIN 102,1,"Terms offered: Spring 2020, Spring 2018, Spring 2017"
LATIN 115,1,"Terms offered: Fall 2019, Fall 2009, Fall 2008"
