name,size,about
LEGALST R1A,1,"This course is designed to fulfill the first half of the Rea
ding and Composition requirement. Students will learn to ide
ntify an author's point of view and main arguments; evaluate
 an author's credibility and the merits of his or her argume
nt, write a unified essay with intro, thesis statement, tran
sitions between paragraphs, a concluding paragraph and devel
op an argument about an issue related to the course."
LEGALST R1B,1,"This course is designed to fulfill the second half of the Re
ading and Composition requirement. Students will develop the
ir skills at critical reading, writing, and analysis, and wi
ll complete a series of essays culminating in a research pap
er relating to law, legal actors, and legal institutions. Em
phasis will be placed on the process of writing, including d
eveloping research questions, constructing an argument, and 
revising for content and"
LEGALST 10,1,"The United States operates under the constraints imposed by 
a written constitution. We will explore the ways in which th
e Constitution affects the relationship between us as indivi
duals and the state. We will focus on the 14th Amendment’s c
ommands that the state provide us all equal protection of th
e laws, and that it not encroach on our substantive, fundame
ntal rights without due process of the law."
LEGALST 12,1,"The United States operates under the constraints imposed by 
a written constitution. We will explore the ways in which th
e Constitution affects the relationship between us as indivi
duals and the state. We will focus on issues of free speech 
and the relationship between the government and religion. We
 will do a deep dive into speech on college and high school 
campuses and throughout the religion unit we will likewise t
ake a look at how these doctrines"
LEGALST 24,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er."
LEGALST 39B,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
LEGALST 39D,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
LEGALST 39E,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
LEGALST 39H,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
LEGALST 39I,1,"Freshman and sophomore seminars offer lower division student
s the opportunity to explore an intellectual topic with a fa
culty member and a group of peers in a small-seminar setting
. These seminars are offered in all campus departments; topi
cs vary from department to department and from semester to s
emester."
