source,target,type,weight
LINGUIS 5,LINGUIS R1B,directed,3
LINGUIS 5,LINGUIS R2B,directed,3
LINGUIS 100,LINGUIS 108,directed,3
LINGUIS 100,LINGUIS 109,directed,3
LINGUIS 100,LINGUIS 110,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 110,LINGUIS 113,directed,3
LINGUIS 100,LINGUIS 115,directed,3
LINGUIS 100,LINGUIS 121,directed,3
LINGUIS 100,LINGUIS 122,directed,3
LINGUIS 100,LINGUIS 123,directed,3
LINGUIS 100,LINGUIS 128,directed,3
LINGUIS 100,LINGUIS 130,directed,3
LINGUIS 130,LINGUIS 131,directed,3
LINGUIS 110,LINGUIS 140,directed,3
LINGUIS 115,LINGUIS 140,directed,3
LINGUIS 100,LINGUIS 148,directed,3
LINGUIS 100,LINGUIS 150,directed,3
LINGUIS 5,LINGUIS 152,directed,3
LINGUIS 100,LINGUIS 154,directed,3
LINGUIS 100,LINGUIS 158,directed,3
LINGUIS 100,LINGUIS C160,directed,3
LINGUIS 100,LINGUIS 170,directed,3
LINGUIS 120,LINGUIS 181,directed,3
LINGUIS 3,LINGUIS 183,directed,3
LINGUIS 5,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 197,directed,3
LINGUIS 5,LINGUIS R1B,directed,3
LINGUIS 5,LINGUIS R2B,directed,3
LINGUIS 100,LINGUIS 108,directed,3
LINGUIS 100,LINGUIS 109,directed,3
LINGUIS 100,LINGUIS 110,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 110,LINGUIS 113,directed,3
LINGUIS 100,LINGUIS 115,directed,3
LINGUIS 100,LINGUIS 121,directed,3
LINGUIS 100,LINGUIS 122,directed,3
LINGUIS 100,LINGUIS 123,directed,3
LINGUIS 100,LINGUIS 128,directed,3
LINGUIS 100,LINGUIS 130,directed,3
LINGUIS 130,LINGUIS 131,directed,3
LINGUIS 110,LINGUIS 140,directed,3
LINGUIS 115,LINGUIS 140,directed,3
LINGUIS 100,LINGUIS 148,directed,3
LINGUIS 100,LINGUIS 150,directed,3
LINGUIS 5,LINGUIS 152,directed,3
LINGUIS 100,LINGUIS 154,directed,3
LINGUIS 100,LINGUIS 158,directed,3
LINGUIS 100,LINGUIS C160,directed,3
LINGUIS 100,LINGUIS 170,directed,3
LINGUIS 120,LINGUIS 181,directed,3
LINGUIS 3,LINGUIS 183,directed,3
LINGUIS 5,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 197,directed,3
LINGUIS 5,LINGUIS R1B,directed,3
LINGUIS 5,LINGUIS R2B,directed,3
LINGUIS 100,LINGUIS 108,directed,3
LINGUIS 100,LINGUIS 109,directed,3
LINGUIS 100,LINGUIS 110,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 110,LINGUIS 113,directed,3
LINGUIS 100,LINGUIS 115,directed,3
LINGUIS 100,LINGUIS 121,directed,3
LINGUIS 100,LINGUIS 122,directed,3
LINGUIS 100,LINGUIS 123,directed,3
LINGUIS 100,LINGUIS 128,directed,3
LINGUIS 100,LINGUIS 130,directed,3
LINGUIS 130,LINGUIS 131,directed,3
LINGUIS 110,LINGUIS 140,directed,3
LINGUIS 115,LINGUIS 140,directed,3
LINGUIS 100,LINGUIS 148,directed,3
LINGUIS 100,LINGUIS 150,directed,3
LINGUIS 5,LINGUIS 152,directed,3
LINGUIS 100,LINGUIS 154,directed,3
LINGUIS 100,LINGUIS 158,directed,3
LINGUIS 100,LINGUIS C160,directed,3
LINGUIS 100,LINGUIS 170,directed,3
LINGUIS 120,LINGUIS 181,directed,3
LINGUIS 3,LINGUIS 183,directed,3
LINGUIS 5,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 197,directed,3
LINGUIS 5,LINGUIS R1B,directed,3
LINGUIS 5,LINGUIS R2B,directed,3
LINGUIS 100,LINGUIS 108,directed,3
LINGUIS 100,LINGUIS 109,directed,3
LINGUIS 100,LINGUIS 110,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 110,LINGUIS 113,directed,3
LINGUIS 100,LINGUIS 115,directed,3
LINGUIS 100,LINGUIS 121,directed,3
LINGUIS 100,LINGUIS 122,directed,3
LINGUIS 100,LINGUIS 123,directed,3
LINGUIS 100,LINGUIS 128,directed,3
LINGUIS 100,LINGUIS 130,directed,3
LINGUIS 130,LINGUIS 131,directed,3
LINGUIS 110,LINGUIS 140,directed,3
LINGUIS 115,LINGUIS 140,directed,3
LINGUIS 100,LINGUIS 148,directed,3
LINGUIS 100,LINGUIS 150,directed,3
LINGUIS 5,LINGUIS 152,directed,3
LINGUIS 100,LINGUIS 154,directed,3
LINGUIS 100,LINGUIS 158,directed,3
LINGUIS 100,LINGUIS C160,directed,3
LINGUIS 100,LINGUIS 170,directed,3
LINGUIS 120,LINGUIS 181,directed,3
LINGUIS 3,LINGUIS 183,directed,3
LINGUIS 5,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 197,directed,3
LINGUIS 5,LINGUIS R1B,directed,3
LINGUIS 5,LINGUIS R2B,directed,3
LINGUIS 100,LINGUIS 108,directed,3
LINGUIS 100,LINGUIS 109,directed,3
LINGUIS 100,LINGUIS 110,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 100,LINGUIS 111,directed,3
LINGUIS 110,LINGUIS 113,directed,3
LINGUIS 100,LINGUIS 115,directed,3
LINGUIS 100,LINGUIS 121,directed,3
LINGUIS 100,LINGUIS 122,directed,3
LINGUIS 100,LINGUIS 123,directed,3
LINGUIS 100,LINGUIS 128,directed,3
LINGUIS 100,LINGUIS 130,directed,3
LINGUIS 130,LINGUIS 131,directed,3
LINGUIS 110,LINGUIS 140,directed,3
LINGUIS 115,LINGUIS 140,directed,3
LINGUIS 100,LINGUIS 148,directed,3
LINGUIS 100,LINGUIS 150,directed,3
LINGUIS 5,LINGUIS 152,directed,3
LINGUIS 100,LINGUIS 154,directed,3
LINGUIS 100,LINGUIS 158,directed,3
LINGUIS 100,LINGUIS C160,directed,3
LINGUIS 100,LINGUIS 170,directed,3
LINGUIS 120,LINGUIS 181,directed,3
LINGUIS 3,LINGUIS 183,directed,3
LINGUIS 5,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 183,directed,3
LINGUIS 100,LINGUIS 197,directed,3
