name,size,about
MATH 1A,1,"This sequence is intended for majors in engineering and the physical sciences. An introduction to differential and integral calculus of functions of one variable, with applications and an introduction to transcendental functions."
MATH 1B,1,Continuation of 1A. Techniques of integration; applications of integration. Infinite sequences and series. First-order ordinary differential equations. Second-order ordinary differential equations; oscillation and damping; series solutions of ordinary differential equations.
MATH H1B,1,Honors version of 1B. Continuation of 1A. Techniques of integration; applications of integration. Infinite sequences and series. First-order ordinary differential equations. Second-order ordinary differential equations; oscillation and damping; series solutions of ordinary differential equations.
MATH N1A,1,"This sequence is intended for majors in engineering and the physical sciences. An introduction to differential and integral calculus of functions of one variable, with applications and an introduction to transcendental functions."
MATH N1B,1,Continuation of 1A. Techniques of integration; applications of integration. Infinite sequences and series. First-order ordinary differential equations. Second-order ordinary differential equations; oscillation and damping; series solutions of ordinary differential equations.
MATH 10A,1,"The sequence Math 10A, Math 10B is intended for majors in the life sciences. Introduction to differential and integral calculus of functions of one variable, ordinary differential equations, and matrix algebra and systems of linear equations."
MATH 10B,1,"The sequence Math 10A, Math 10B is intended for majors in the life sciences. Elementary combinatorics and discrete and continuous probability theory. Representation of data, statistical models and testing. Sequences and applications of linear algebra."
MATH N10A,1,"The sequence Math 10A, Math 10B is intended for majors in the life sciences. Introduction to differential and integral calculus of functions of one variable, ordinary differential equations, and matrix algebra and systems of linear equations."
MATH N10B,1,"The sequence Math 10A, Math 10B is intended for majors in the life sciences. Elementary combinatorics and discrete and continuous probability theory. Representation of data, statistical models and testing. Sequences and applications of linear algebra."
MATH 16A,1,"This sequence is intended for majors in the life and social sciences. Calculus of one variable; derivatives, definite integrals and applications, maxima and minima, and applications of the exponential and logarithmic functions."
MATH 16B,1,"Continuation of 16A. Application of integration of economics and life sciences. Differential equations. Functions of many variables. Partial derivatives, constrained and unconstrained optimization."
MATH N16A,1,"This sequence is intended for majors in the life and social sciences. Calculus of one variable; derivatives, definite integrals and applications, maxima and minima, and applications of the exponential and logarithmic functions."
MATH N16B,1,"Continuation of 16A. Application of integration of economics and life sciences. Differential equations. Functions of many variables. Partial derivatives, constrained and unconstrained optimization."
MATH 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
MATH 32,1,"Polynomial and rational functions, exponential and logarithmic functions, trigonometry and trigonometric functions. Complex numbers, fundamental theorem of algebra, mathematical induction, binomial theorem, series, and sequences."
MATH N32,1,"Polynomial and rational functions, exponential and logarithmic functions, trigonometry and trigonometric functions. Complex numbers, fundamental theorem of algebra, mathematical induction, binomial theorem, series, and sequences."
MATH 39A,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
