name,size,about
MEC ENG 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
MEC ENG 40,1,"This course introduces the scientific principles that deal with energy conversion among different forms, such as heat, work, internal, electrical, and chemical energy. The physical science of heat and temperature, and their relations to energy and work, are analyzed on the basis of the four fundamental thermodynamic laws (zeroth, first, second, and third). These principles are applied to various practical systems, including"
MEC ENG C85,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
MEC ENG W85,1,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
MEC ENG 98,1,Organized group study on various topics under the sponsorship and direction of a member of the Mechanical Engineering faculty.
MEC ENG 100,1,"Electronics and Electrical Engineering has become pervasive in our lives as a powerful technology with applications in a wide range of fields including healthcare, environmental monitoring, robotics, or entertainment. This course offers a broad survey of Electrical Engineering ideas to non-majors. In the laboratory students will learn in-depth how to design and build systems that exchange information with or are controlled from the cloud. Examples include"
MEC ENG 101,1,"Fundamentals of lean manufacturing systems including manufacturing fundamentals, unit operations and manufacturing line considerations for work in process (WIP), manufacturing lead time (MLT), economics, quality monitoring; high mix/low volume (HMLV) systems fundamentals including just in time (JIT), kanban, buffers and line balancing; class project/case studies for design and analysis of competitive manufacturing systems."
MEC ENG 102B,1,"Introduction to design and realization of mechatronics systems. Micro computer architectures. Basic computer IO devices. Embedded microprocessor systems and control, IO programming such as analogue to digital converters, PWM, serial and parallel outputs. Electrical components such as power supplies, operational amplifiers, transformers and filters. Shielding and grounding. Design of electric, hydraulic and pneumatic actuators. Design of sensors."
MEC ENG 103,1,"This course introduces students to modern experimental techniques for mechanical engineering, and improves students’ teamwork and communication skills. Students will work in a laboratory setting on systems ranging in complexity from desktop experiments with only a few instruments up to systems such as an internal combustion engine with a wide variety of sensors. State-of-the-art software for data acquisition and analysis will be introduced"
MEC ENG 104,1,"This course is an introduction to the dynamics of particles and rigid bodies. The material, based on a Newtonian formulation of the governing equations, is illustrated with numerous examples ranging from one-dimensional motion of a single particle to planar motions of rigid bodies and systems of rigid bodies."
MEC ENG 106,1,This course introduces the fundamentals and techniques of fluid mechanics with the aim of describing and controlling engineering flows.
MEC ENG 108,1,"This course covers elastic and plastic deformation under static and dynamic loads. Failure by yielding, fracture, fatigue, wear, and environmental factors are also examined. Topics include engineering materials, heat treatment, structure-property relationships, elastic deformation and multiaxial loading, plastic deformation and yield criteria, dislocation plasticity and strengthening mechanisms, creep, stress concentration effects, fracture"
MEC ENG 109,1,"This course covers transport processes of mass, momentum, and energy from a macroscopic view with emphasis both on understanding why matter behaves as it does and on developing practical problem solving skills. The course is divided into four parts: introduction, conduction, convection, and radiation."
MEC ENG 110,1,"The course provides project-based learning experience in innovative new product development, with a focus on mechanical engineering systems. Design concepts and techniques are introduced, and the student's design ability is developed in a design or feasibility study chosen to emphasize ingenuity and provide wide coverage of engineering topics. Relevant software will be integrated into studio sessions, including"
MEC ENG C115,1,"This course applies methods of statistical continuum mechanics to subcellar biomechanical phenomena ranging from nanoscale (molecular) to microscale (whole cell and cell population) biological processes at the interface of mechanics, biology, and chemistry."
MEC ENG C117,1,This course covers the structure and mechanical functions of load bearing tissues and their replacements. Natural and synthetic load-bearing biomaterials for clinical applications are reviewed. Biocompatibility of biomaterials and host response to structural implants are examined. Quantitative treatment of biomechanical issues and constitutive relationships of tissues are covered in order to design biomaterial replacements for structural
MEC ENG 118,1,"This course introduces engineering students (juniors and seniors) to the field of nanotechnology and nanoscience. The course has two components: (1) Formal lectures. Students receive a set of formal lectures introducing them to the field of nanotechnology and nanoscience. The material covered includes nanofabrication technology (how one achieves the nanometer length scale, from ""bottom up"" to ""top down"" technologies),"
MEC ENG 119,1,"Fundamentals of microelectromechanical systems including design, fabrication of microstructures; surface-micromachining, bulk-micromachining, LIGA, and other micro machining processes; fabrication principles of integrated circuit device and their applications for making MEMS devices; high-aspect-ratio microstructures; scaling issues in the micro scale (heat transfer, fluid mechanics and solid mechanics); device design, analysis, and mask layou"
MEC ENG 120,1,This course applies the methods of computational modeling and continuum mechanics to biomedical phenomena spanning various length scales ranging from molecular to cellular to tissue and organ levels. The course is intended for upper level undergraduate students who have been exposed to undergraduate continuum mechanics (statics and strength of materials.)
MEC ENG 122,1,"Fundamentals of manufacturing processes (metal forming, forging, metal cutting, welding, joining, and casting); selection of metals, plastics, and other materials relative to the design and choice of manufacturing processes; geometric dimensioning and tolerancing of all processes."
MEC ENG 125,1,"iACME provide opportunities for Mechanical Engineering undergraduates to tackle real-world engineering problems. Student teams, consisting of no more than four students, will apply to work on specific industry- initiated projects. Teams will be selected based on prior experience in research/internships, scholastic achievements in ME courses, and most importantly, proposed initial approaches toward tackling the specific project. ME faculty, alumni of the Mechanical"
MEC ENG 130,1,"Synthesis, analysis, and design of planar machines. Kinematic structure, graphical, analytical, and numerical analysis and synthesis. Linkages, cams, reciprocating engines, gear trains, and flywheels."
MEC ENG 131,1,"Physical understanding of automotive vehicle dynamics including simple lateral, longitudinal and ride quality models. An overview of active safety systems will be introduced including the basic concepts and terminology, the state-of-the-art development, and basic principles of systems such as ABS, traction control, dynamic stability control, and roll stability control. Passive, semi-active and active suspension systems will be analyzed. Concepts"
MEC ENG 132,1,"Physical understanding of dynamics and feedback. Linear feedback control of dynamic systems. Mathematical tools for analysis and design. Stability. Modeling systems with differential equations. Linearization. Solution to linear, time-invariant differential equations."
MEC ENG 133,1,"An introduction to the theory of mechanical vibrations including topics of harmonic motion, resonance, transient and random excitation, applications of Fourier analysis and convolution methods. Multidegree of freedom discrete systems including principal mode, principal coordinates and Rayleigh's principle."
MEC ENG C134,1,"Analysis and synthesis of linear feedback control systems in transform and time domains. Control system design by root locus, frequency response, and state space methods. Applications to electro-mechanical and mechatronics systems."
MEC ENG 135,1,"This course provides preparation for the conceptual design and prototyping of mechanical systems that use microprocessors to control machine activities, acquire and analyze data, and interact with operators. The architecture of microprocessors is related to problems in mechanical systems through study of systems, including electro-mechanical components, thermal components and a variety of instruments. Laboratory exercises lead through studies"
MEC ENG 136,1,"This course introduces students to the control of unmanned aerial vehicles (UAVs). The course will cover modeling and dynamics of aerial vehicles, and common control strategies. Laboratory exercises allow students to apply knowledge on a real system, by programming a microcontroller to control a UAV."
MEC ENG 138,1,"This hands-on laboratory course focuses on the mechanical engineering principles that underlie the design, fabricaton, and operation of micro/nanoscale mechanical systems, including devices made by nanowire/nanotube syntheses; photolithography/soft lithography; and molding processes. Each laboratory will have different focuses for basic understanding of MEMS/NEMS systems from prototype constructions to experimental testings using mechanical"
MEC ENG 140,1,"Fundamentals of combustion, flame structure, flame speed, flammability, ignition, stirred reaction, kinetics and nonequilibrium processes, pollutant formation. Application to engines, energy production and fire safety."
MEC ENG 146,1,"This course covers the fundamental principles of energy conversion processes, followed by development of theoretical and computational tools that can be used to analyze energy conversion processes. The course also introduces the use of modern computational methods to model energy conversion performance characteristics of devices and systems. Performance features, sources of inefficiencies, and optimal design strategies are explored for a variety"
MEC ENG 150A,1,"This course addresses all aspects of design, analysis, construction and economics of solar-powered vehicles. It begins with an examination of the fundamentals of photovoltaic solar power generation, and the capabilities and limitations that exist when using this form of renewable energy. The efficiency of energy conversion and storage will be evaluated across an entire system, from the solar energy that is"
MEC ENG 151,1,"Basic principles of heat transfer and their application. Subject areas include steady-state and transient system analyses for conduction, free and forced convection, boiling, condensation and thermal radiation."
MEC ENG 151A,1,"Fundamentals of conductive heat transfer. Analytical and numerical methods for heat conduction in rigid media. Fundamentals of radiative transfer. Radiative properties of solids, liquids and gas media. Radiative transport modeling in enclosures and participating media."
MEC ENG 151B,1,The transport of heat and mass in fluids in motion; free and forced convection in laminar and turbulent flow over surfaces and within ducts. Fundamentals of computational methods used for solving the governing transport equations will also be covered.
