source,target,type,weight
MEDIAST 10,MEDIAST 84,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST H194,MEDIAST H195,directed,3
MEDIAST 10,MEDIAST C196A,directed,3
MEDIAST C196A,MEDIAST C196B,directed,3
MEDIAST 10,MEDIAST 84,directed,3
MEDIAST 10,MEDIAST 104B,directed,3
MEDIAST 10,MEDIAST 130,directed,3
MEDIAST 10,MEDIAST 150,directed,3
MEDIAST 190,MEDIAST 150,directed,3
MEDIAST H194,MEDIAST H195,directed,3
MEDIAST C196B,MEDIAST C196A,directed,3
MEDIAST 10,MEDIAST C196A,directed,3
MEDIAST C196A,MEDIAST C196B,directed,3
