name,size,about
MEDIAST 10,1,"The objective of this class is to enhance students' knowledge of media's industrial and cultural functions by introducing them to key perspectives and methods of study that stress a) how media systems have and continue to develop in the United States and across the globe as well as b) how we use and make meaning with media as part of our everyday lived experiences. To consider media's social, economic, political, and cultural impact, the course"
MEDIAST N10,1,The objective of this class is to enhance students' knowledge of media's industrial and cultural functions by introducing them to key perspectives and methods of study that stress a) how media systems have and continue to develop in the United States and across the globe as well as b) how we use and make meaning with media as part of our everyday lived experiences. To consider media's social
MEDIAST W10,1,"This class enhances your knowledge of media’s industrial and cultural functions by introducing you to key perspectives and methods of study that stress the impact of media systems and practices at both the societal and individual levels--and vice versa. To consider media’s social, economic, and political significance, we will investigate a number of ways of understanding its production, form, reception, and influence, being careful to recognize how"
MEDIAST 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen."
MEDIAST 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
MEDIAST 101,1,"Our highly mediated culture provides an ever-intensifying richness of visual information. Using a mix of film, television, photography, advertising, and/or the internet, this class will explore cultural and social theoretical approaches to critically analyzing visual media and viewing practices from a Media Studies perspective. The course is designed to foster a critical understanding of media images, inviting students to question and critique"
MEDIAST 103,1,"In this course, students learn why sound journalism is so important to a healthy, working democracy. Journalism is rapidly changing. The class will give a context to those changes and provide an overview of comtemporary journalistic institutions. Students will examine how news is made, who decides what news is, who makes it, who profits by it, and what rules guide how reporters and editors work. Central issues affecting journalism, such as bias and professionalism"
MEDIAST 104A,1,"The course considers the history and contemporary meaning of the First Amendment guarantees of freedom of speech and the press. Emphasizing the real world implications of major Supreme Court decisions, the course examines restrictions on speech and press imposed by national security, libel, injurious speech, and privacy, as well as issues of access to information and government regulation of new media."
MEDIAST 104B,1,"The history of journalism is a broad subject--far broader than can comprehensively be covered in a single course. So necessarily, this course takes an idiosyncratic approach. This course examines how news has been defined, discovered, and communicated from its early modern origins to the present. It will also focus on particular areas of journalism. The class will take a critical look at how wars get reported on, including the current war in"
MEDIAST 104D,1,"This course examines issues of privacy in contemporary society, with an emphasis on how privacy is affected by technological change. After an introduction to features of the American legal system and the theoretical underpinnings of privacy law, we will consider privacy in the context of law enforcement and national security investigations; government records and databases; commercial enterprises; and the freedoms of speech and press."
