source,target,type,weight
PLANTBI 10,PLANTBI 84,directed,3
PLANTBI 10,PLANTBI 99,directed,3
PLANTBI 10,PLANTBI C112,directed,3
PLANTBI C112,PLANTBI C112L,directed,3
PLANTBI 10,PLANTBI C112L,directed,3
PLANTBI C112,PLANTBI C116,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 10,PLANTBI C148,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 10,PLANTBI 190,directed,3
PLANTBI 10,PLANTBI 84,directed,3
PLANTBI 10,PLANTBI 99,directed,3
PLANTBI 160,PLANTBI 101L,directed,3
PLANTBI 10,PLANTBI C112,directed,3
PLANTBI C112,PLANTBI C112L,directed,3
PLANTBI 10,PLANTBI C112L,directed,3
PLANTBI C112,PLANTBI C116,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 10,PLANTBI C148,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 10,PLANTBI 190,directed,3
PLANTBI 10,PLANTBI 84,directed,3
PLANTBI 10,PLANTBI 99,directed,3
PLANTBI 160,PLANTBI 101L,directed,3
PLANTBI 10,PLANTBI C112,directed,3
PLANTBI C112,PLANTBI C112L,directed,3
PLANTBI 10,PLANTBI C112L,directed,3
PLANTBI C112,PLANTBI C116,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 10,PLANTBI C148,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 10,PLANTBI 190,directed,3
PLANTBI 10,PLANTBI 84,directed,3
PLANTBI 10,PLANTBI 99,directed,3
PLANTBI 160,PLANTBI 101L,directed,3
PLANTBI 10,PLANTBI C112,directed,3
PLANTBI C112,PLANTBI C112L,directed,3
PLANTBI 10,PLANTBI C112L,directed,3
PLANTBI C112,PLANTBI C116,directed,3
PLANTBI 120L,PLANTBI 120,directed,3
PLANTBI 120,PLANTBI 120L,directed,3
PLANTBI 10,PLANTBI C148,directed,3
PLANTBI 20,PLANTBI 165,directed,3
PLANTBI 10,PLANTBI 190,directed,3
