source,target,type,weight
MCELLBI 32,MCELLBI 32L,directed,3
MCELLBI 102,MCELLBI C103,directed,3
MCELLBI 102,MCELLBI 104,directed,3
MCELLBI C100A,MCELLBI 110,directed,3
MCELLBI 100B,MCELLBI 110,directed,3
MCELLBI 110,MCELLBI C110L,directed,3
MCELLBI C112,MCELLBI C112L,directed,3
MCELLBI C100A,MCELLBI C114,directed,3
MCELLBI C112,MCELLBI C116,directed,3
MCELLBI 104,MCELLBI 118,directed,3
MCELLBI 102,MCELLBI 130,directed,3
MCELLBI 104,MCELLBI 130,directed,3
MCELLBI 104,MCELLBI 132,directed,3
MCELLBI 104,MCELLBI 140L,directed,3
MCELLBI 102,MCELLBI 141,directed,3
MCELLBI 110,MCELLBI 141,directed,3
MCELLBI 130,MCELLBI 141,directed,3
MCELLBI C100A,MCELLBI 143,directed,3
MCELLBI 104,MCELLBI 143,directed,3
MCELLBI 140,MCELLBI 143,directed,3
MCELLBI 102,MCELLBI C148,directed,3
MCELLBI 104,MCELLBI 149,directed,3
MCELLBI 102,MCELLBI 150,directed,3
MCELLBI 150,MCELLBI 150L,directed,3
MCELLBI 160,MCELLBI 160L,directed,3
MCELLBI 160,MCELLBI 161,directed,3
MCELLBI 160,MCELLBI 163L,directed,3
MCELLBI 161,MCELLBI 163L,directed,3
MCELLBI 160,MCELLBI 165,directed,3
MCELLBI 110,MCELLBI 170L,directed,3
MCELLBI 140,MCELLBI 170L,directed,3
MCELLBI 132,MCELLBI 180C,directed,3
MCELLBI 32L,MCELLBI 180C,directed,3
MCELLBI 200B,MCELLBI 200A,directed,3
MCELLBI C100A,MCELLBI 206,directed,3
MCELLBI 110,MCELLBI 210,directed,3
MCELLBI C112,MCELLBI C216,directed,3
MCELLBI 110,MCELLBI 240,directed,3
MCELLBI 140,MCELLBI 240,directed,3
MCELLBI 150,MCELLBI 250,directed,3
MCELLBI 250,MCELLBI 251,directed,3
MCELLBI 291A,MCELLBI 293A,directed,3
MCELLBI 292,MCELLBI 293A,directed,3
