name,size,about
MCELLBI 15,1,"Students in this course will critically examine modern metho
ds of biological investigations and their social implication
s. Relevant literature will be used to present basic biologi
cal concepts that address the cultural, technological and he
alth aspects of current topics in the biological sciences. D
esigning and evaluating scientific questions will be stresse
d."
MCELLBI C31,1,"An introduction for students who do not intend to major in b
iology but who wish to satisfy their breadth requirement in 
Biological Sciences. Some major concepts of modern biology, 
ranging from the role of DNA and the way cells communicate, 
to interactions of cells and creatures with their environmen
t, will be discussed without jargon and with attention to th
eir relevance in contemporary life and culture."
MCELLBI 32,1,"A comprehensive introduction to human biology. The course wi
ll concentrate on basic mechanisms underlying human life pro
cesses, including cells and membranes; nerve and muscle func
tion; cardiovascular, respiratory, renal, and gastrointestin
al physiology; metabolism, endocrinology, and reproduction."
MCELLBI 32L,1,"Experiments and demonstrations are designed to amplify and r
einforce information presented in 32. Exercises include inve
stigations into the structure and function of muscle, nerve,
 cardiovascular, renal, respiratory, endocrine, and blood sy
stems."
MCELLBI 38,1,"Innovations in bioengineering and use of stem cells will sig
nificantly impact our ability to combat human disease, genet
ic disorders and physiological dysfunction. An understanding
 of human stem cell biology will be critical to make informe
d decisions on our health and public policy."
MCELLBI 41,1,"Basic communication of inheritance; gene mapping; gene expre
ssion and genetic disease in animals and humans; social inhe
ritance of genetics."
MCELLBI C44,1,"This is a Discovery Course for non-Biology majors designed t
o introduce lower-division college students to biology throu
gh the lens of the contemporary problems facing people, the 
planet and the species of the planet. Modern genetic contrib
utions will be presented on such issues as genetic engineeri
ng of plants and animals, the emergence of new pathogens, th
e role of genetic variation among individuals, and the exten
t to which DNA is and"
MCELLBI 50,1,"Course will discuss how the immune system resolves, prevents
, or causes disease. A general overview of the immune system
 will be covered in the first five weeks followed by five we
eks discussing infectious diseases including anthrax, mad co
w, herpes, malaria, tuberculosis, and HIV. In addition, othe
r lectures will focus on current immunology topics including
 vaccines, autoimmunity, allergy, transplantation, and cance
r."
MCELLBI 55,1,"Discussion of how infectious agents cause disease and impact
 society at large. We will examine historical and current ex
amples of plagues and pandemics and consider the question of
 what we should do to ameliorate the impact of infectious di
sease in the future. The course is intended for non-majors a
nd will begin by briefly providing necessary background in m
icrobiology and immunology. The primary focus in each subseq
uent week, however, will be"
MCELLBI C61,1,"Introduction to human brain mechanisms of sensation, movemen
t, perception, thinking, learning, memory, and emotion in te
rms of anatomy, physiology, and chemistry of the nervous sys
tem in health and disease. Intended for students in the huma
nities and social sciences and others not majoring in the bi
ological sciences."
MCELLBI W61,1,"This course deals with the structure and function of the hum
an nervous system, with an emphasis on how brain physiology 
and chemistry are related to human behavior. This is a compr
ehensive introduction to the exciting field of contemporary 
neuroscience for students of all backgrounds and interests, 
including those from the humanities and social sciences, as 
well as physical and"
MCELLBI C62,1,"The history, chemical nature, botanical origins, and effects
 on the human brain and behavior of drugs such as stimulants
, depressants, psychedelics, analgesics, antidepressants, an
tipsychotics, steroids, and other psychoactive substances of
 both natural and synthetic origin. The necessary biological
, chemical, and psychological background material for unders
tanding the content of this course will be contained within 
the course itself."
MCELLBI 63,1,"This course emphasizes beginning anatomy of the brain and sp
inal cord to individuals interested in understanding the dyn
amics of motor and sensory functions in the human body. Stud
ents in the Departments of Education, Psychology, and Integr
ative Biology, as well as students interested in medicine an
d the life sciences, are especially encouraged to attend."
MCELLBI 63L,1,"This lab course is an introduction to mammalian neuroanatomy
 for non-MCB majors. We will do dissections, explore physica
l anatomical models, and observe microscopic structures with
in preserved brain slices from a variety of mammalian specie
s. The hands-on exploration of anatomy is key to understandi
ng how the different functional regions of the nervous syste
m are interconnected. Besides gaining a better understanding"
MCELLBI C64,1,"This course will introduce lower division undergraduates to 
the fundamentals of neuroscience. The first part of the cour
se covers basic membrane properties, synapses, action potent
ials, chemical and electrical synaptic interactions, recepto
r potentials, and receptor proteins. The second part of the 
course covers networks in invertebrates, memory and learning
 behavior, modulation, vertebrate brain"
MCELLBI 84B,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
MCELLBI 88,1,"We will work with a variety of datasets that describe a mole
cular view of cells and how they divide. We will learn about
 the processes that cause cells to become specialized (diffe
rentiate) and to give rise to cancer (transform). We will an
alyze data on genetic mutations in cancer that distinguish t
umor cells from normal cells. We will learn how mutations ar
e detected by the immune system and the basis of cancer immu
notherapy. Finally we will analyze"
MCELLBI 90A,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Final assessment to be decided by the instructor when th
e class is offered."
MCELLBI 90B,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Final assessment to be decided by the instructor when th
e class is offered."
MCELLBI 90C,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Final assessment to be decided by the instructor when th
e class is offered."
MCELLBI 90D,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Final assessment to be decided by the instructor when th
e class is offered."
MCELLBI 90E,1,"The Berkeley Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Berke
ley Seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Final assessment to be decided by the instructor when th
e class is offered."
MCELLBI C95B,1,"This course offers an introduction to the field of biotechno
logy and will cover the history of the field, its impact on 
medicine and society, key methodologies, important therapeut
ic areas, and the range of career options available in the b
iopharmaceutical industry. In addition to lectures on innova
tion and entrepreneurship, students will hear from lecturers
 with expertise ranging from molecular biology to clinical t
rial design and interpretation. Several case studies"
MCELLBI C96,1,"Freshmen will be introduced to the ""culture"" of the biologic
al sciences, along with an in-depth orientation to the acade
mic life and the culture of the university as they relate to
 majoring in biology. Students will learn concepts, skills, 
and information that they can use in their major course, and
 as future science professionals. Restricted to freshmen in 
the biology scholars program."
MCELLBI 98,1,"Lectures and small group discussions focusing on topics of i
nterest, varying from semester to semester."
