name,size,about
NE STUD R1A,1,"Expository writing based on analysis of selected texts or literatures in translation or writings interpreting the material culture of the ancient Near or modern Middle East. Specific topics vary with instructor. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
NE STUD R1B,1,"Expository writing based on analysis of selected texts or literatures in translation or writings interpreting the material culture of the ancient Near or modern Middle East. Specific topics vary with instructor. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
NE STUD 10,1,"The background and present status of the ethnic and religious groups in the Arab states, Turkey, Israel, and Iran."
NE STUD 15,1,"The ancient Near East (present-day Iran, Iraq, Syria, Jordan, Lebanon, Israel, and Turkey) is considered the cradle of civilization. Here in Mesopotamia and its neighboring regions, the first cities arose, writing was invented, armies forged the earliest empires, and complex religious beliefs were expressed in art and architecture. This course surveys the major archaeological sites and monuments from the earliest settlements to the conquest"
NE STUD N16,1,The art and architecture of the Islamic lands from the seventh to the seventeenth centuries.
NE STUD 18,1,"A general introduction to ancient Egypt, providing overview coverage of ancient Egyptian culture and society (history, art, religion, literature, language, social structure), Egyptian archaeology (pyramids, tombs, mummies, temples, cities, monuments, daily life), and the history and development of the modern discipline of Egyptology. Assumes no prior knowledge of subject. Almost all lectures are illustrated"
NE STUD 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
NE STUD 25,1,"Man’s fate on earth, friendship, love, suffering, and evil—every civilization considers these themes. This course surveys legends and myths of ancient Mesopotamia (modern-day Iraq), a cradle of civilization, home to the world’s first cities and empires, and the first writing system. Students will read ancient literary masterpieces such as the Gilgamesh Epic, Creation and Flood Myths, and other Mesopotamian literary texts"
NE STUD C26,1,"This course will introduce the student not only to ancient and modern Central Asia, but also to the role played by the region in the shaping of the history of neighboring regions and regimes. The course will outline the history, languages, ethnicities, religions, and archaeology of the region and will acquaint the student with the historical foundations of some of the political, social and economic challenges for contemporary post-Soviet"
NE STUD 34,1,Readings from the Hebrew Bible in English translation.
NE STUD 39A,1,A freshmen and sophomore seminar course will be taught by NES faculty in Fall 2016.
NE STUD C92,1,"This course examines major aspects of Arab culture through literature, art, film, and other media. Questions of religious, political, and philosophical nature co-exist in Arab culture with literary conventions and aesthetic norms. The course explores the dynamic interaction among these abiding concerns of Arab culture from pre-Islamic times to the present."
NE STUD 98,1,Topics vary.
NE STUD 99,1,Topics vary.
NE STUD 101,1,Women have been ignored or marginalized in much of past scholarship on ancient Egypt despite their highly visible presence in and importance to ancient Egyptian society. This course examines the roles of women and gender in ancient Egyptian society and belief systems. It reviews sources of evidence and interpretive frameworks for understanding the public and private roles of women and the definition of gender in ancient Egypt. It also places
NE STUD 102B,1,"Archaeological survey of historical eras, major monuments and sites of ancient Egypt from the First Intermediate Period/Middle Kingdom to the end of the New Kingdom, incorporating methodological and theoretical issues and developments as relevant."
NE STUD 103,1,"A survey of the religious beliefs of the ancient Egyptians, based primarily upon the written sources."
NE STUD C103,1,"A survey of the religious beliefs of the ancient Egyptians, based primarily upon the written sources."
NE STUD 104,1,A survey of Babylonian religious beliefs and practices based on indigenous texts and monuments.
NE STUD C104,1,A survey of Babylonian religious beliefs and practices based on indigenous texts and monuments.
NE STUD 105A,1,"A representative survey of original 3rd-1st millennium Cuneiform texts in translation. The Sumerian religious and scholastic tradition; myths of creation, hymns, epics and early historical material."
NE STUD 106A,1,Stylistic and iconographic study of Egyptian art and architecture from Predynastic times through the end of the pharaonic period. Discussion sections will focus on Egyptian material in the Hearst Museum collection. Will cover the period from Predynastic times until the end of the First Intermediate Period (ca. 5000-2000 BC).
NE STUD 106B,1,Stylistic and iconographic study of Egyptian art and architecture from Predynastic times through the end of the pharaonic period. Discussion sections will focus on Egyptian material in the Hearst Museum collection. Will consider the period from the end of the First Intermediate Period through the Graeco-Roman Period (ca. 2000 BC - 1st century AD).
NE STUD 108,1,"The course focuses on ancient astronomy from Babylonia to the Greco-Roman world. Readings from primary texts, including Babylonian astronomical and astrological documents (MUL.APIN, Enuma Anu Enlil, etc.) and Greek treatises such as Geminos= Introduction to the Phenomena and Ptolemy's Almagest are used. Problems of the calendar and of planetary motion are of special interest. Two different approaches to celestial phenomena are covered, one from"
NE STUD 109,1,"Ancient Mesopotamian political, cultural, and economic history from the invention of script to the Persian conquest of Babylon will be presented in survey, and one topic will be selected for in-depth study."
NE STUD 110,1,"The material and written culture of ancient Egypt constitutes one of the best preserved and most robust archaeological corpora to survive from antiquity as well as one of the most popular avenues for public engagement within the Humanities. Digital initiatives have become crucial for the conservation, documentation, and dissemination of ancient Egyptian material and texts to the broadest possible audience. This course will introduce students"
NE STUD 112,1,A concise survey of Ancient Egyptian history from Late Predynastic times to the conquest of Alexander the Great.
NE STUD 113,1,"The most famous of Babylonian heroes is Gilgamesh, King of Uruk. The Gilgamesh Epic, recorded on twelve tablets in cuneiform, follows him in his quest for fame and eternal life. In this course, we will read the Gilgamesh Epic as well as several earlier texts around the same character. Moreover, we will read additional ancient texts that elucidate one or another aspect of the Epic. We will follow the traditions around Gilgamesh and see how his fame"
NE STUD 114,1,"Today, much of the information we gather on any topic comes from Internet sources. Goal of this class is to increase students' skills in critically evaluating the scholarly value of information on the Ancient Near East that is to be found in web pages, e-journals, and online books. We will consider the goal and context of sources of information (touristic, commercial, scholarly, religious, etc.) and how this influences and filters the information"
NE STUD 115,1,"Ancient Egypt was one of the earliest, most spectacular and most powerful of the world’s complex civilizations. Beginning as a series of Neolithic villages, it slowly transformed into a state and then a great kingdom with an all-powerful king. This course explores the first crucial journey of ancient Egypt, from the Neolithic through the Predynastic, Protodynastic, Early Dynastic and Old Kingdom eras. It overviews major aspects of the archaeology, art, history, and"
NE STUD 116,1,"Second Millennium BCE Egypt boasted powerful centralized kingdoms and an international empire alternating with weaker decentralized periods of provincial power and foreign subjugation. This course overviews selected aspects of archaeology, art, history and culture of First Intermediate Period, Middle Kingdom, Second Intermediate Period and New Kingdom Egypt, as well as related methodological and theoretical issues of interpretation. Middle and New Kingdom Egypt especially"
NE STUD C119,1,"This course examines the roles that Near Eastern archaeology plays within the context of recent Middle Eastern history and society, from 1800 to the present day. Topics include the discipline's entanglement with imperialism, nationalism, science, tourism, the antiquities trade, media, and war. Students will examine and discuss ethnographies, technical reports, memoirs, films, and images."
