source,target,type,weight
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 171,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
NUSCTX 103,NUSCTX 10,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 171,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
NUSCTX 103,NUSCTX 10,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 171,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
NUSCTX 103,NUSCTX 10,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 171,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
NUSCTX 103,NUSCTX 10,directed,3
NUSCTX 10,NUSCTX 104,directed,3
NUSCTX 10,NUSCTX 104AC,directed,3
NUSCTX 10,NUSCTX W104,directed,3
NUSCTX 108A,NUSCTX 108B,directed,3
NUSCTX 110,NUSCTX 121,directed,3
NUSCTX 161A,NUSCTX 145,directed,3
NUSCTX 161B,NUSCTX 145,directed,3
NUSCTX 103,NUSCTX 160,directed,3
NUSCTX 103,NUSCTX 161A,directed,3
NUSCTX 160,NUSCTX 161A,directed,3
NUSCTX 10,NUSCTX 166,directed,3
NUSCTX 103,NUSCTX 170,directed,3
NUSCTX 171,NUSCTX 170,directed,3
NUSCTX 110,NUSCTX 171,directed,3
NUSCTX 170,NUSCTX 171,directed,3
NUSCTX 103,NUSCTX 190,directed,3
NUSCTX 110,NUSCTX 193,directed,3
NUSCTX 110,NUSCTX 220,directed,3
NUSCTX 10,NUSCTX 299,directed,3
