source,target,type,weight
PHILOS 5,PHILOS 84,directed,3
PHILOS 10,PHILOS 84,directed,3
PHILOS 6,PHILOS 84,directed,3
PHILOS 2,PHILOS 100,directed,3
PHILOS 2,PHILOS 108,directed,3
PHILOS 3,PHILOS 108,directed,3
PHILOS 6,PHILOS 108,directed,3
PHILOS 2,PHILOS 108,directed,3
PHILOS 6,PHILOS 108,directed,3
PHILOS 3,PHILOS 110,directed,3
PHILOS 6,PHILOS 110,directed,3
PHILOS 3,PHILOS 114,directed,3
PHILOS 6,PHILOS 114,directed,3
PHILOS 115,PHILOS 116,directed,3
PHILOS 3,PHILOS 116,directed,3
PHILOS 3,PHILOS 121,directed,3
PHILOS 6,PHILOS 121,directed,3
PHILOS 2,PHILOS 121,directed,3
PHILOS 6,PHILOS 121,directed,3
PHILOS 12A,PHILOS 133,directed,3
PHILOS 3,PHILOS 133,directed,3
PHILOS 6,PHILOS 133,directed,3
PHILOS 12A,PHILOS 134,directed,3
PHILOS 3,PHILOS 134,directed,3
PHILOS 3,PHILOS 135,directed,3
PHILOS 6,PHILOS 135,directed,3
PHILOS 3,PHILOS 136,directed,3
PHILOS 12A,PHILOS 140B,directed,3
PHILOS 3,PHILOS 140B,directed,3
PHILOS 3,PHILOS 141,directed,3
PHILOS 6,PHILOS 141,directed,3
PHILOS 12A,PHILOS 143,directed,3
PHILOS 3,PHILOS 143,directed,3
PHILOS 25A,PHILOS 163,directed,3
PHILOS 3,PHILOS 163,directed,3
PHILOS 3,PHILOS 190,directed,3
PHILOS 3,PHILOS H195,directed,3
PHILOS 6,PHILOS H195,directed,3
PHILOS 100,PHILOS H196,directed,3
PHILOS 2,PHILOS H196,directed,3
PHILOS 6,PHILOS 198,directed,3
PHILOS 3,PHILOS R1B,directed,3
PHILOS 5,PHILOS 84,directed,3
PHILOS 10,PHILOS 84,directed,3
PHILOS 6,PHILOS 84,directed,3
PHILOS 2,PHILOS 100,directed,3
PHILOS 2,PHILOS 108,directed,3
PHILOS 3,PHILOS 108,directed,3
PHILOS 6,PHILOS 108,directed,3
PHILOS 2,PHILOS 108,directed,3
PHILOS 6,PHILOS 108,directed,3
PHILOS 3,PHILOS 110,directed,3
PHILOS 6,PHILOS 110,directed,3
PHILOS 3,PHILOS 114,directed,3
PHILOS 6,PHILOS 114,directed,3
PHILOS 115,PHILOS 116,directed,3
PHILOS 3,PHILOS 116,directed,3
PHILOS 3,PHILOS 121,directed,3
PHILOS 6,PHILOS 121,directed,3
PHILOS 2,PHILOS 121,directed,3
PHILOS 6,PHILOS 121,directed,3
PHILOS 12A,PHILOS 133,directed,3
PHILOS 3,PHILOS 133,directed,3
PHILOS 6,PHILOS 133,directed,3
PHILOS 12A,PHILOS 134,directed,3
PHILOS 3,PHILOS 134,directed,3
PHILOS 3,PHILOS 135,directed,3
PHILOS 6,PHILOS 135,directed,3
PHILOS 3,PHILOS 136,directed,3
PHILOS 12A,PHILOS 140B,directed,3
PHILOS 3,PHILOS 140B,directed,3
PHILOS 3,PHILOS 141,directed,3
PHILOS 6,PHILOS 141,directed,3
PHILOS 12A,PHILOS 143,directed,3
PHILOS 3,PHILOS 143,directed,3
PHILOS 25A,PHILOS 163,directed,3
PHILOS 3,PHILOS 163,directed,3
PHILOS 3,PHILOS 190,directed,3
PHILOS 3,PHILOS H195,directed,3
PHILOS 6,PHILOS H195,directed,3
PHILOS 100,PHILOS H196,directed,3
PHILOS 2,PHILOS H196,directed,3
PHILOS 6,PHILOS 198,directed,3
