name,size,about
PHILOS R1B,1,"Training in writing expository prose in conjunction with rea
ding philosophical texts. Satisfies the second half of the R
eading and Composition requirement."
PHILOS 2,1,Introduction to ethical and political philosophy.
PHILOS 3,1,"Introduction to the philosophy of mind. Topics to be conside
red may include the relation between mind and body; the stru
cture of action; the nature of desires and beliefs; the role
 of the unconscious."
PHILOS 4,1,Introduction to the theory of knowledge.
PHILOS 5,1,Introduction to the Philosophy of Science.
PHILOS 6,1,"Philosophical issues as expressed in poetry, drama, and the 
novel. This course will compare and contrast the Greek, Medi
eval, and modern worlds, as reflected in their greatest lite
rature, with special emphasis on the role of the community i
n reconciling conflicts between sub-groups in society and th
e individual's ability to understand and control his own lif
e. We will also follow man's realization that the changing a
nswers"
PHILOS 7,1,"Christian, agnostic, and atheistic existentialism as express
ed in the works of Dostoyevsky, Melville, Kafka, Antonioni, 
Goddard, etc."
PHILOS 10,1,"A comparative study of topics in Chinese and Western ethical
 traditions. Topics include love, compassion, benevolence; r
ituals, filial obligations, the individual and the family; p
ride, shame, guilt; conscientiousness, courage, wisdom; trus
tworthiness, forms of integrity; concepts of the self; self-
cultivation; human nature, destiny, the cosmic order; the co
ncept of morality, morality and tradition. The course will c
onclude with a discussion of metaethical issues concerning"
PHILOS 11,1,"A survey of basic issues in contemporary philosophy of relig
ion, exploring arguments about God's existence, the status o
f religious experiences and beliefs, how souls might interac
t with bodies, and the relationship of God to morality."
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predic
ate logic."
PHILOS W12A,1,"Intended as a first course in logic for students with no pre
vious exposure to the subject, the course treats symbolic lo
gic. Students will learn to formalize reasoning in symbolic 
languages with precisely defined meanings and rules of infer
ence. Symbolic logic is by nature a mathematical subject, bu
t the course does not presuppose any prior coursework in mat
hematics—only an openness to mathematical"
PHILOS 13,1,"This course addresses the nature of ethical motivation and a
gency, with special attention to the individual's role in a 
business organization. Topics include theories of ethical mo
tivation; individual character and organizational culture; p
ersonal integrity; corporate agency; corporate responsibilit
y to society."
PHILOS 16,1,"This course is an introduction to some of the traditional qu
estions in metaphysics--the study of what there is in the wo
rld and how what there is is structured. Topics will include
 free will and determinism, the mind-body problem, and perso
nal identity. If time permits, we will also examine argument
s for the existence of God."
PHILOS 17,1,"In any culture, the way we act implies some view of what it 
is to be a person, and indeed what it is to be a particular 
kind of person, e.g., black or white, male or female, citize
n or non-citizen. This view determines what roles and privil
eges are available to specific individuals and how these ind
ividuals will think of themselves and evaluate their actions
 and obligations. We will focus on works of philosophy, lite
rature and film which have had a powerful and"
PHILOS 18,1,"The teachings of Confucius (6th to 5th century B.C.) have ha
d a profound influence on Chinese and East Asian cultures, a
nd have attracted significant interest throughout the world.
 In what ways are they still of relevance to life in the twe
nty-first century? The course will consider the contemporary
 implications of Confucius’ teachings for such topics as: fa
mily, rituals, life and death, fate, contentment and anxiety
, anger and resentment, courage"
PHILOS 24,1,"The Freshman Seminar Program has been designed to provide ne
w students with the opportunity to explore an intellectual t
opic with a faculty member in a small-seminar setting. Fresh
man seminars are offered in all campus departments, and topi
cs vary from department to department and semester to semest
er. Enrollment is limited to 15 freshmen."
PHILOS 25A,1,"The history of ancient philosophy with special emphasis on t
he Presocratics, Plato, and Aristotle."
PHILOS 25B,1,"The history of modern philosophy from Descartes through Kant
."
PHILOS 39,1,"Study of various fields of philosophy of special interest to
 freshman. Topics will vary from semester to semester and wi
ll be individually announced. Freshman seminars are restrict
ed to fifteen students each."
PHILOS 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
PHILOS 98,1,Directed study on special topics.
