name,size,about
PHYSICS 5A,1,"Kinematics, dynamics, work and energy, rotational motion, oscillations, fluids and relativity. Use of calculus and vector algebra will be emphasized. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics, or related disciplines. Successor to the Physics H7 series. Start of three semester 5A-5B-5C sequence."
PHYSICS 5B,1,"Electric fields and potential, circuits, magnetism and induction. Introduction to optics including light propagation, reflection, refraction and interference. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics, or related disciplines. Successor to the Physics H7 series. Continuation of 5A-5B-5C sequence."
PHYSICS 5BL,1,"Part one of a two-semester laboratory sequence to introduce students to experimental physics and prepare them for research. Covers a variety of modern and historical experiments, emphasizing data analysis, clear scientific communication, and development of skills on modern equipment. Successor to the Physics H7 series."
PHYSICS 5C,1,"Temperature, kinetic theory, entropy; particle/wave nature of matter, Schrodinger equation, hydrogen atom, applications of quantum physics. Intended for students with an interest in pursuing a major in physics, astrophysics, engineering physics or related disciplines. Continuation of 5A-5B-5C sequence. Successor to the Physics H7 series."
PHYSICS 5CL,1,"Part two of a two-semester laboratory sequence to introduce students to experimental physics and prepare them for research. Covers a variety of modern and historical experiments, emphasizing iterative experimental design, clear scientific communication, and development of skills on modern equipment. Successor to the Physics H7 series."
PHYSICS 7A,1,Mechanics and wave motion.
PHYSICS 7B,1,"Heat, electricity, and magnetism."
PHYSICS 7C,1,"Electromagnetic waves, optics, relativity, and quantum physics."
PHYSICS H7A,1,"Honors sequence corresponding to 7A-7B-7C, but with a greater emphasis on theory as opposed to problem solving. Recommended for those students who have had advanced Physics on the high school level and who are intending to declare a major in physics. Entrance into H7A is decided on the basis of performance on an examination given during the first week of class or the consent of the instructor, and into H7B-H7C on performance in previous courses"
PHYSICS H7B,1,"Honors sequence corresponding to 7A-7B-7C, but with a greater emphasis on theory as opposed to problem solving. Recommended for those students who have had advanced Physics on the high school level and who are intending to declare a major in physics. Entrance into H7A is decided on the basis of performance on an examination given during the first week of class or the consent of the instructor, and into H7B-H7C on performance in previous courses"
PHYSICS H7C,1,"Honors sequence corresponding to 7A-7B-7C, but with a greater emphasis on theory as opposed to problem solving. Recommended for those students who have had advanced Physics on the high school level and who are intending to declare a major in physics. Entrance into H7A is decided on the basis of performance on an examination given during the first week of class or the consent of the instructor, and into H7B-H7C on performance in previous courses"
PHYSICS 8A,1,"Introduction to forces, kinetics, equilibria, fluids, waves, and heat. This course presents concepts and methodologies for understanding physical phenomena, and is particularly useful preparation for upper division study in biology and architecture."
PHYSICS 8B,1,"Introduction to electricity, magnetism, electromagnetic waves, optics, and modern physics. The course presents concepts and methodologies for understanding physical phenomena, and is particularly useful preparation for upper division study in biology and architecture."
PHYSICS 10,1,"The most interesting and important topics in physics, stressing conceptual understanding rather than math, with applications to current events. Topics covered may vary and may include energy and conservation, radioactivity, nuclear physics, the Theory of Relativity, lasers, explosions, earthquakes, superconductors, and quantum physics."
PHYSICS C10,1,"The most interesting and important topics in physics, stressing conceptual understanding rather than math, with applications to current events. Topics covered may vary and may include energy and conservation, radioactivity, nuclear physics, the Theory of Relativity, lasers, explosions, earthquakes, superconductors, and quantum physics."
PHYSICS 21,1,"Physical principles encountered in the study of music. The applicable laws of mechanics, fundamentals of sound, harmonic content, principles of sound production in musical instruments, musical scales. Numerous illustrative lecture demonstrations will be given. Only the basics of high school algebra and geometry will be used."
PHYSICS C21,1,"What can we learn about the nature of reality and the ways that we humans have invented to discover how the world works? An exploration of these questions through the physical principles encountered in the study of music. The applicable laws of mechanics, fundamentals of sound, harmonic content, principles of sound production in musical instruments, musical scales. Numerous illustrative lecture demonstrations will be given. Only the basics"
PHYSICS 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
PHYSICS 39,1,Enrollment limited to 20 students per section. Physics seminar course designed for both non major students and students considering a major in physics. Topics vary from semester to semester.
PHYSICS 49,1,"Students with partial credit in lower division physics courses may, with consent of instructor, complete the credit under this heading."
PHYSICS 77,1,"Introductory scientific programming in Python with examples from physics. Topics include: visualization, statistics and probability, regression, numerical integration, simulation, data modeling, function approximation, and algebraic systems. Recommended for freshman physics majors."
PHYSICS 88,1,"Introduction to data science with applications to physics. Topics include: statistics and probability in physics, modeling of the physical systems and data, numerical integration and differentiation, function approximation. Connector course for Data Science 8, room-shared with Physics 77. Recommended for freshmen intended to major in physics or engineering with emphasis on data science."
PHYSICS 89,1,"Complex numbers, linear algebra, ordinary differential equations, Fourier series and transform methods, introduction to partial differential equations, introduction to tensors. Applications to physics will be emphasized. This course or an equivalent course required for physics major."
PHYSICS 98,1, 
PHYSICS 98BC,1,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department"
PHYSICS 99,1, 
PHYSICS 100,1,"For undergraduate and graduate students interested in improving their ability to communicate scientific knowledge by teaching science in K-12 schools. The course will combine instruction in inquiry-based science teaching methods and learning pedagogy with 10 weeks of supervised teaching experience in a local school. Students will practice, with support and mentoring, communicating scientific knowledge through presentations and hands-on activities."
PHYSICS 105,1,"Newtonian mechanics, motion of a particle in one, two, and three dimensions, Lagrange’s equations, Hamilton's equations, central force motion, moving coordinate systems, mechanics of continuous media, oscillations, normal modes, rigid body dynamics, tensor analysis techniques. Some knowledge of Python required for homework assignments. Students who have not taken Physics 77 or Data Science 8 are encouraged to complete the Python tutorials provided"
PHYSICS 110A,1,"Part I. A course emphasizing electromagnetic theory and applications; charges and currents; electric and magnetic fields; dielectric, conducting, and magnetic media; relativity, Maxwell equations. Wave propagation in media, radiation and scattering, Fourier optics, interference and diffraction, ray optics and applications."
PHYSICS 110B,1,"Part II. A course emphasizing electromagnetic theory and applications; charges and currents; electric and magnetic fields; dielectric, conducting, and magnetic media; relativity, Maxwell equations. Wave propagation in media, radiation and scattering, Fourier optics, interference and diffraction, ray optics and applications."
PHYSICS 111A,1,"The instrumentation lab (formerly Basic Semiconductor Circuits) is an introductory course in basic design, analysis and modeling of circuits, and data analysis and control. Topics include but not limited to:"
PHYSICS 111B,1,"In the advanced experimentation lab students complete four of 20+ advanced experiments. These include many experiments in atomic, nuclear, particle physics, biophysics, and solid-state physics, among others."
PHYSICS 112,1,"Basic concepts of statistical mechanics, microscopic basis of thermodynamics and applications to macroscopic systems, condensed states, phase transformations, quantum distributions, elementary kinetic theory of transport processes, fluctuation phenomena. Some knowledge of Python required for homework assignments. Students who have not taken Physics 77 or Data Science 8 are encouraged to complete the Python tutorials provided by the Physics"
PHYSICS 129,1,"Tools of particle and nuclear physics. Properties, classification, and interaction of particles including the quark-gluon constituents of hadrons. High energy phenomena analyzed by quantum mechanical methods. Course will survey the field including some related topics in nuclear physics. Some knowledge of Python required. Students who have not taken Physics 77 or Data Science 8 are encouraged to complete the Python tutorials provided by the Physics"
PHYSICS 130,1,"Detailed theory and experimental basis of quantum and nonlinear optics, exhibiting concepts of quantum measurement, noise, stochastic processes and dissipative quantum systems. Topics include second-quantization of electromagnetic fields, photodetection, coherence properties, light-atom interactions, cavity quantum electrodynamics, nonlinear optical systems, squeezed light, aspects of quantum information science, and contemporary researc"
PHYSICS 137A,1,"Part I. Introduction to the methods of quantum mechanics with applications to atomic, molecular, solid state, nuclear and elementary particle physics."
PHYSICS 137B,1,"Part II. Introduction to the methods of quantum mechanics with applications to atomic, molecular, solid state, nuclear and elementary particle physics."
PHYSICS 138,1,"This course covers atomic, molecular, and optical physics as a quantitative description of atoms and fields, a generalized toolbox for controlling quantum systems, and a vibrant research area. Topics covered include atomic structure and spectra, atom-field interactions, topics in quantum electrodynamics, methods of resonant manipulation of quantum systems, resonance optics, and experimental techniques."
PHYSICS 139,1,"Historical and experimental foundations of Einstein's special theory of relativity; spatial and temporal measurements, particle dynamics, electrodynamics, Lorentz invariants. Introduction to general relativity. Selected applications. Designed for advanced undergraduates in physics and astronomy."
PHYSICS 141A,1,"Part I. A thorough introductory course in modern solid state physics. Crystal symmetries; classification of solids and their bonding; electromagnetic, elastic, and particle waves in periodic lattices; thermal magnetic and dielectric properties of solids; energy bands of metals and semi-conductors; superconductivity; magnetism; ferroelectricity; magnetic resonances."
