source,target,type,weight
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196A,POLECON C196B,directed,3
POLECON 100,POLECON 101,directed,3
POLECON N100,POLECON N101,directed,3
POLECON 100,POLECON 155,directed,3
POLECON 101,POLECON 155,directed,3
POLECON 100,POLECON 160,directed,3
POLECON 100,POLECON 160,directed,3
POLECON C196B,POLECON C196A,directed,3
POLECON C196A,POLECON C196B,directed,3
