name,size,about
POLECON 24,1,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen."
POLECON 84,1,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores."
POLECON 98,1,Student-directed course under the supervision of a faculty member. Subject matter to change from semester to semester.
POLECON 100,1,"One-semester lecture course offered each semester. In-depth analysis of the classical political economy literature, including such authors as Locke, Smith, Marx, Mills, and Weber to Veblen and Polanyi. Strong emphasis is placed on providing appropriate background for understanding the evolution of the literature that has emanated from the various social science disciplines which forms the basis of modern political economy."
POLECON N100,1,"In-depth analysis of the classical political economy literature, including such authors as Locke, Smith, Marx, Mills, and Weber to Veblen and Polanyi. Strong emphasis is placed on providing appropriate background for understanding the evolution of the literature that has emanated from the various social science disciplines which forms the basis of modern political economy."
POLECON 101,1,"This course is designed to introduce students to modern theoretical works of central intellectual debates on 20th century international political economy. The course explores alternative explanations for inequality in economic development among nations and economic declines of of the dominate powers. It will also examine tensions between the increasing ""globalization"" of that economy and continued fragmentation of the international"
POLECON N101,1,"This course is designed to introduce students to modern theoretical works of central intellectual debates on 20th century international political economy. The course explores alternative explanations for inequality in economic development among nations and economic declines of of the dominate powers. It will also examine tensions between the increasing ""globalization"""
POLECON 106,1,"This course is designed as a comprehensive overview of intermediate microeconomic theory. It covers the basic supply and demand model. Topics include consumer choice, choice under uncertainty and information, demand theory, firm, production and cost theory, competitive market theory, imperfect competition, and market failure. The course is structured for majors in Political Economy and other non-economic social science majors."
POLECON 107,1,"This course is designed as a comprehensive overview of intermediate macroeconomic theory focusing on economic growth and international economics. It covers a number of topics including history of economic growth, industrial revolution, post-industrial revolution divergence, flexible-price and sticky-price macroeconomics, and macroeconomic policy. Course is structured for majors in Political Economy and other non-economic social science majors."
POLECON 111,1,"This course investigates the nature, extent, and persistence of poverty and inequality, and examines the effects of program and policy responses. Throughout the course we will look at proposed explanations for the causes of poverty and will observe how underlying values and assumptions have influenced the development of policies aimed at poverty alleviation. While emphasizing poverty and policy responses"
POLECON 130,1,"This course is designed to accommodate cross-listed courses offered through other departments, the content of which is applicable to PE majors. Content and unit values vary from course to course."
POLECON 133,1,"These small research and writing seminars will focus on the research area of the faculty member teaching the course and will provide students the opportunity to engage in conversation, research, and writing in greater depth than is possible in a larger class."
POLECON C138,1,"The 21st century has seen powerful critiques of both growing economic inequality and the troubling persistence of domination based on gender, race and other categorical differences. Gender has a distinctive role here for many reasons: the centrality of gender to social reproduction; the historical coproduction of male domination and capitalism; and the way gender operates in the constitution of selves. Insofar as capitalism is organized and distributes"
POLECON 140,1,A short course designed to provide a vehicle to take advantage of short-term visitors coming to campus who have considerable expertise in areas of interest to political economy of industrial societies. Topics will vary from semester to semester.
POLECON 150,1,Advanced multidisciplinary research in current issues of political economy and industrialization. Seminars will focus on specific geographical areas or topics with appropriate comparative material included. A major research project is required as well as class presentations. Topics change each semester.
POLECON 155,1,This course focuses on the relationship of politics and economics in modern societies. Special attention is given to problems and issues in social science or public policy best examined from an interdisciplinary perspective with an eye toward building students' knowledge of recently developed analytical tools in political economy.
