source,target,type,weight
PSYCH 2,PSYCH 1,directed,3
PSYCH 2,PSYCH N1,directed,3
PSYCH 2,PSYCH W1,directed,3
PSYCH W1,PSYCH 2,directed,3
PSYCH 1,PSYCH 99,directed,3
PSYCH 1,PSYCH 101,directed,3
PSYCH 101,PSYCH 101D,directed,3
PSYCH 102,PSYCH 101D,directed,3
PSYCH 101,PSYCH 102,directed,3
PSYCH 101,PSYCH 109,directed,3
PSYCH N110,PSYCH 110,directed,3
PSYCH C61,PSYCH N110,directed,3
PSYCH 110,PSYCH N110,directed,3
PSYCH 110,PSYCH C113,directed,3
PSYCH C127,PSYCH 115,directed,3
PSYCH C61,PSYCH 117,directed,3
PSYCH C61,PSYCH N117,directed,3
PSYCH 101,PSYCH 122,directed,3
PSYCH 101,PSYCH N122,directed,3
PSYCH 1,PSYCH 124,directed,3
PSYCH 2,PSYCH 124,directed,3
PSYCH C127,PSYCH 125,directed,3
PSYCH 101,PSYCH C126,directed,3
PSYCH C61,PSYCH C127,directed,3
PSYCH 1,PSYCH C129,directed,3
PSYCH 1,PSYCH 130,directed,3
PSYCH 2,PSYCH 130,directed,3
PSYCH 1,PSYCH N130,directed,3
PSYCH 130,PSYCH 131,directed,3
PSYCH 130,PSYCH N135,directed,3
PSYCH N130,PSYCH N135,directed,3
PSYCH 1,PSYCH 140,directed,3
PSYCH 1,PSYCH N140,directed,3
PSYCH 9,PSYCH 141,directed,3
PSYCH 1,PSYCH 150,directed,3
PSYCH 101,PSYCH 150,directed,3
PSYCH 1,PSYCH N150,directed,3
PSYCH 1,PSYCH 160,directed,3
PSYCH 1,PSYCH N160,directed,3
PSYCH 160,PSYCH 162,directed,3
PSYCH 160,PSYCH N162,directed,3
PSYCH 150,PSYCH 164,directed,3
PSYCH 160,PSYCH 164,directed,3
PSYCH 160,PSYCH 166AC,directed,3
PSYCH 1,PSYCH 167AC,directed,3
PSYCH 2,PSYCH 1,directed,3
PSYCH 2,PSYCH N1,directed,3
PSYCH 2,PSYCH W1,directed,3
PSYCH W1,PSYCH 2,directed,3
PSYCH 1,PSYCH 99,directed,3
PSYCH 1,PSYCH 101,directed,3
PSYCH 101,PSYCH 101D,directed,3
PSYCH 102,PSYCH 101D,directed,3
PSYCH 101,PSYCH 102,directed,3
PSYCH 101,PSYCH 109,directed,3
PSYCH N110,PSYCH 110,directed,3
PSYCH C61,PSYCH N110,directed,3
PSYCH 110,PSYCH N110,directed,3
PSYCH 110,PSYCH C113,directed,3
PSYCH C127,PSYCH 115,directed,3
PSYCH C61,PSYCH 117,directed,3
PSYCH C61,PSYCH N117,directed,3
PSYCH 101,PSYCH 122,directed,3
PSYCH 101,PSYCH N122,directed,3
PSYCH 1,PSYCH 124,directed,3
PSYCH 2,PSYCH 124,directed,3
PSYCH C127,PSYCH 125,directed,3
PSYCH 101,PSYCH C126,directed,3
PSYCH C61,PSYCH C127,directed,3
PSYCH 1,PSYCH C129,directed,3
PSYCH 1,PSYCH 130,directed,3
PSYCH 2,PSYCH 130,directed,3
PSYCH 1,PSYCH N130,directed,3
PSYCH 130,PSYCH 131,directed,3
PSYCH 130,PSYCH N135,directed,3
PSYCH N130,PSYCH N135,directed,3
PSYCH 1,PSYCH 140,directed,3
PSYCH 1,PSYCH N140,directed,3
PSYCH 9,PSYCH 141,directed,3
PSYCH 1,PSYCH 150,directed,3
PSYCH 101,PSYCH 150,directed,3
PSYCH 1,PSYCH N150,directed,3
PSYCH 1,PSYCH 160,directed,3
PSYCH 1,PSYCH N160,directed,3
PSYCH 160,PSYCH 162,directed,3
PSYCH 160,PSYCH N162,directed,3
PSYCH 150,PSYCH 164,directed,3
PSYCH 160,PSYCH 164,directed,3
PSYCH 160,PSYCH 166AC,directed,3
PSYCH 1,PSYCH 167AC,directed,3
PSYCH 2,PSYCH 1,directed,3
PSYCH 2,PSYCH N1,directed,3
PSYCH 2,PSYCH W1,directed,3
