name,size,about
PSYCH 1,1,"Introduction to the principal areas, problems, and concepts of psychology. This course is required for the major; students not considering a psychology major are directed to 2."
PSYCH N1,1,"Introduction to the principal areas, problems, and concepts of psychology. This course is required for the major; students not considering a psychology major are directed to 2."
PSYCH W1,1,"Introduction to the principal areas, problems, and concepts of psychology."
PSYCH 2,1,An overview of psychology for students who will not major in the field. This course satisfies the prerequisite for upper division decade courses.
PSYCH 3,1,"This course will give a rigorous yet accessible overview of our current understanding of how the brain works and how it is altered by experience. Specifically, the class provides: an introduction to the structure and function of the sensory and motor systems; discussions of disorders and phenomena such as blindsight, synaesthesia, color blindness, and phantom limbs; and a lecture"
PSYCH 4,1,"This course will examine research on emotional intelligence and techniques for developing emotional intelligence. We will discuss various components of emotional intelligence, including the ability to identity and manage one’s emotions, successfully motivate oneself to achieve one’s goals, read other people’s emotions accurately, and use emotions to navigate social relationships"
PSYCH 5,1,"Most people have an online alter ego that is stronger and sexier but also angrier, more impulsive, and less ethical. These traits can become incorporated into offline personality, turning us into our avatar. Other psychological damage comes from the lack of online privacy and our new relationship with information. But the “Net” effect is not all bad; technology can also contribute"
PSYCH 6,1,"This course is designed to provide students with an in-depth analysis of the various areas within the field of psychology that address topics related to stress and coping. In particular, we will cover the biological, social, personality, cognitive, and clinical factors that play a role in the development of stress and subsequent coping techniques that can be used to deal with"
PSYCH 7,1,"This course will introduce students to the basic principles and methods of personality and social psychology as applied to a rapidly growing topic of modern society--the collection and analysis of online social “big data.” Students will learn about the ways in which big data has historically been defined, collected, and utilized, as well as fundamental concepts in person perception"
PSYCH 8,1,This course will explore mental processes that allow listeners to perceive music and performers to produce it. We will compare music from various traditions to examine shared cognitive principles and emotional responses; comparisons to language will highlight neural specializations for music. Developmental psychology will inform discussion of learned vs. innate components of musical behavior. Students will design
PSYCH 9,1,"In this course, we will examine behavior change – in you, and in those others you wish you could change -- by looking at basic principles that apply across species: operant conditioning, classical conditioning, motivation, stress and development. Animal trainers rely on very specific principles when modifying behavior, and those principles apply to every animal, human and non-human animals alike. Come learn what training animals can tell you"
PSYCH 14,1,"Examination of various factors in the development of feminine and masculine roles, including personality, social processes, biology, and culture."
PSYCH 18,1,"This course will explore current questions of industrial and organizational psychology. It will look at the following topics: modern organizational models & its requirements, performance & motivation, job satisfaction & positive psychology, teams in organizations & psychological safety, leadership & corporate culture, special track in creativity and innovation."
PSYCH 24,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
PSYCH 39E,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 39I,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 39J,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 39K,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 39L,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 39M,1,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.
PSYCH 48,1,This is an introductory survey course on brain and cognitive development. It gives an overview of brain structure and function and how it changes throughout life. Topics include: effect of pre-natal maternal and paternal behavior in brain development; critical periods; experience-dependent changes in the brain; the adolescent brain; and the aging brain. We will also discuss developmental disorders such as Down syndrome
PSYCH C61,1,"Introduction to human brain mechanisms of sensation, movement, perception, thinking, learning, memory, and emotion in terms of anatomy, physiology, and chemistry of the nervous system in health and disease. Intended for students in the humanities and social sciences and others not majoring in the biological sciences."
PSYCH C64,1,"This course will introduce lower division undergraduates to the fundamentals of neuroscience. The first part of the course covers basic membrane properties, synapses, action potentials, chemical and electrical synaptic interactions, receptor potentials, and receptor proteins. The second part of the course covers networks in invertebrates, memory and learning behavior, modulation, vertebrate brain"
PSYCH 88,1,"The human brain is a complex information processing system and is currently the topic of multiple fascinating branches of research. Understanding how it works is a very challenging scientific task. In recent decades, multiple techniques for imaging the activity of the brain at work have been invented, which has allowed the field of cognitive neuroscience to flourish. Cognitive neuroscience is concerned with studying the neural mechanisms underlying various aspects"
PSYCH 98,1,Group study of selected topics. Enrollment restricted. See Introduction to Courses and Curriculum section of this catalog.
PSYCH 99,1,Intended for freshmen and sophomores who wish to undertake a program of individual inquiry on a topic in psychology.
PSYCH 101,1,"The course will concentrate on hypothesis formulation and testing, tests of significance, analysis of variance (one-way analysis), simple correlation, simple regression, and nonparametric statistics such as chi-square and Mann-Whitney U tests. Majors intending to be in the honors program must complete 101 by the end of their junior year."
