source,target,type,weight
RHETOR R1A,RHETOR R1B,directed,3
RHETOR R1A,RHETOR R1B,directed,3
RHETOR 2,RHETOR 39,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 10,RHETOR 129AC,directed,3
RHETOR 129,RHETOR 133T,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 2,RHETOR H190B,directed,3
RHETOR H190A,RHETOR H190B,directed,3
RHETOR 2,RHETOR H190B,directed,3
RHETOR R1A,RHETOR R1B,directed,3
RHETOR R1A,RHETOR R1B,directed,3
RHETOR 2,RHETOR 39,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103A,directed,3
RHETOR 10,RHETOR 103B,directed,3
RHETOR 10,RHETOR 114,directed,3
RHETOR 10,RHETOR 121,directed,3
RHETOR 139,RHETOR 129,directed,3
RHETOR 10,RHETOR 129AC,directed,3
RHETOR 129,RHETOR 133T,directed,3
RHETOR 10,RHETOR 138,directed,3
RHETOR 20,RHETOR 138,directed,3
RHETOR 10,RHETOR 151,directed,3
RHETOR 20,RHETOR 151,directed,3
RHETOR 10,RHETOR 160,directed,3
RHETOR 160,RHETOR 166,directed,3
RHETOR 10,RHETOR 176,directed,3
RHETOR 20,RHETOR 176,directed,3
RHETOR 2,RHETOR H190B,directed,3
RHETOR H190A,RHETOR H190B,directed,3
RHETOR 2,RHETOR H190B,directed,3
